0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,6,18,36,64,98,141,183,227,275,326,373,421,463,509,552,600,638,680,732,774,805,826,868,866,849,832,829,823,799,810
1,4,16,32,62,96,138,184,220,256,277,309,321,339,361,385,408,420,443,465,491,510,532,553,579,599,620,640,665,690,715
1,6,19,39,66,100,129,167,198,223,243,263,288,302,323,345,370,387,412,433,454,476,495,524,549,579,600,619,641,655,665
1,5,18,42,68,103,142,181,226,265,310,363,413,467,514,564,613,649,697,741,779,825,866,905,944,994,1039,1091,1134,1189,1231
1,5,13,22,36,56,78,100,125,150,170,187,204,225,233,247,262,279,288,298,317,331,349,362,383,395,413,423,432,444,457
1,8,19,39,75,112,154,197,246,292,332,372,414,460,506,550,595,652,694,738,785,833,883,923,966,1017,1062,1109,1152,1192,1246
1,4,8,17,28,44,65,88,112,138,164,188,213,235,260,274,295,320,338,366,390,418,442,462,487,506,525,552,577,602,628
1,8,23,43,73,109,150,193,236,282,326,364,411,451,492,541,586,637,679,725,773,816,862,902,955,972,978,970,958,937,904
1,4,15,33,57,92,130,177,214,262,307,351,394,436,488,527,571,603,641,666,686,706,716,734,755,783,800,805,816,817,808
1,6,19,43,71,109,149,191,233,276,321,363,410,458,503,545,592,638,683,731,779,820,872,916,959,992,1040,1074,1086,1121,1155
1,5,17,35,60,89,126,162,192,219,247,271,290,309,337,359,378,403,431,456,470,491,515,533,553,565,594,614,632,668,681
1,6,18,39,68,103,142,193,238,278,325,363,418,462,508,559,594,646,686,724,756,764,772,762,745,729,720,711,709,722,724
1,7,20,37,63,95,138,178,219,266,314,364,405,450,496,536,586,609,633,655,663,672,664,677,690,700,711,735,754,777,799
1,7,20,36,55,73,91,108,122,136,146,164,180,196,210,226,243,260,279,294,309,324,345,361,374,384,400,411,424,431,451
1,6,14,27,41,60,82,106,129,150,174,197,221,239,262,284,305,329,350,374,400,420,450,473,499,523,543,576,592,617,641
1,6,16,42,70,106,149,199,247,293,339,382,431,474,518,554,598,641,669,683,712,731,754,768,786,811,827,843,855,881,896
1,3,12,30,53,84,121,167,214,257,299,344,393,439,485,532,581,626,665,706,751,800,841,887,935,980,1029,1065,1107,1153,1203
1,5,16,33,58,89,128,176,220,264,312,359,405,454,501,551,595,639,681,722,765,809,859,902,951,997,1045,1084,1125,1167,1197
1,5,20,42,68,102,146,192,237,280,332,377,418,468,512,554,597,647,698,733,782,811,849,864,885,908,913,915,889,872,851
1,6,19,40,69,103,142,183,233,280,323,368,416,458,503,542,591,635,676,734,780,829,869,923,968,1004,1048,1096,1142,1171,1221
1,5,18,37,63,97,134,178,223,267,312,356,402,448,487,538,587,634,684,729,775,824,863,904,955,999,1045,1083,1132,1180,1220
1,8,19,37,67,101,145,188,237,286,330,372,413,462,505,542,584,636,682,729,762,813,861,911,959,1000,1053,1106,1156,1197,1235
1,6,17,33,52,78,105,128,148,169,191,211,231,252,278,294,311,327,339,353,364,377,391,408,427,444,458,476,484,499,508
1,5,20,40,70,106,151,201,246,292,337,381,425,463,509,550,587,642,674,713,752,782,800,816,837,834,813,797,795,764,750
1,5,17,35,59,94,136,174,214,260,303,345,383,423,470,508,559,607,651,690,722,747,762,769,787,788,785,774,763,760,743
1,8,20,40,67,103,144,181,219,268,311,358,403,449,502,547,589,632,675,732,781,825,876,921,972,1014,1059,1099,1148,1201,1241
1,7,20,45,74,109,152,197,237,270,303,328,350,374,396,411,423,447,462,485,504,526,556,581,600,612,642,676,700,718,754
