0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
10,19,38,68,106,155,225,294,370,426,505,581,677,766,870,957,1029,1112,1209,1309,1385,1447,1497,1479,1413,1412,1446,1464,1443,1393,1347,1258,1202,1156,1109,1046,972,922,865,842,795,716,616,543,499,461,427,421,413,385,336,302,264,266,259,258,214,181,148,131,107,88,68,46,25,9,4,0
10,29,61,85,128,188,256,324,394,468,529,593,663,709,765,817,895,955,1008,1061,1126,1189,1223,1210,1201,1177,1138,1120,1118,1126,1087,1066,1020,1020,987,991,960,948,938,914,908,861,845,820,817,811,775,732,648,590,515,485,446,451,435,431,394,348,285,249,202,157,103,65,36,17,7,2
10,16,36,67,107,158,197,275,336,394,465,534,625,690,765,824,873,898,943,968,1033,1072,1099,1124,1148,1194,1186,1168,1123,1102,1066,1021,964,936,917,921,859,817,745,738,727,728,714,685,668,637,629,621,600,537,468,438,411,399,376,357,325,299,301,305,312,322,329,325,305,277,257,245
10,23,47,76,121,173,226,286,357,436,517,592,665,724,758,789,805,822,830,818,835,856,904,928,971,1022,1069,1114,1116,1159,1146,1166,1174,1165,1180,1155,1165,1125,1090,1017,1004,937,890,824,782,752,692,662,649,611,574,524,477,434,391,351,325,301,282,246,204,180,162,143,128,110,105,89
10,26,56,90,135,175,226,277,361,427,475,513,547,592,621,640,669,681,700,713,763,797,826,802,819,824,827,826,843,859,877,878,913,944,951,927,873,885,892,920,883,902,921,946,914,857,810,783,746,689,614,535,482,439,413,403,404,409,392,378,384,375,378,351,350,316,301,272
10,22,47,70,121,170,235,285,349,409,469,545,597,652,671,733,783,844,872,908,971,1009,1061,1102,1153,1153,1096,1054,1003,962,912,865,844,824,811,796,780,780,806,822,821,796,772,742,722,698,697,684,667,645,592,548,513,496,481,456,428,402,392,384,373,348,331,312,285,236,204,188
10,18,44,73,116,164,231,300,339,405,477,568,636,724,791,862,914,977,1001,1031,1058,1100,1117,1146,1160,1204,1221,1223,1184,1151,1110,1107,1090,1082,1036,1008,987,934,910,893,915,932,903,863,791,738,675,594,528,469,429,390,370,345,319,288,258,239,214,190,173,164,175,184,179,160,130,105
10,24,63,110,188,241,304,350,424,505,567,624,649,692,705,721,743,785,800,860,887,918,905,914,927,930,952,976,977,955,937,920,904,920,946,968,969,940,913,864,858,840,863,862,857,804,781,750,737,696,677,664,636,590,536,497,450,386,329,294,277,246,209,174,144,131,123,114
10,29,67,117,160,203,252,316,400,441,473,506,596,663,744,779,845,868,868,903,913,934,899,895,918,927,936,927,926,946,933,946,890,885,879,879,862,840,826,811,813,829,857,842,835,813,778,751,704,669,639,612,584,524,495,490,463,413,359,329,336,321,316,294,290,278,265,232
10,21,46,86,149,228,303,382,460,549,625,671,702,757,800,859,878,913,928,940,982,1007,1050,1059,1081,1112,1161,1209,1207,1202,1154,1152,1123,1128,1088,1075,1016,1002,953,924,877,813,760,708,681,652,604,583,574,584,552,513,473,442,398,344,298,270,237,216,197,171,147,121,110,95,93,90
