0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
10,16,24,40,50,59,76,88,102,125,128,138,153,163,187,198,214,236,255,293,327,363,379,406,411,409,446,447,480,502,503,513,517,536,580,612,659,691,697,735,725,733,764,806,855,905,936,942,965,970,956,1009,1012,1022,1054,1033,1023,1026,1041,1018,1012,1016,990,1008,1015,998,1027,1008
10,16,27,43,51,62,70,77,86,95,109,131,150,171,189,202,226,248,268,279,286,298,313,334,340,351,382,403,450,493,510,541,546,546,566,569,603,613,632,638,646,689,671,678,683,652,655,657,650,670,683,701,696,710,741,751,794,802,826,848,858,877,857,876,894,903,912,893
10,14,24,36,43,65,91,106,126,139,146,166,178,195,224,240,271,300,321,354,378,390,405,405,412,422,450,482,520,554,568,592,586,590,592,602,651,689,728,760,777,798,815,834,832,821,824,816,832,838,840,847,837,857,871,884,895,890,875,880,870,896,930,918,943,923,907,922
10,19,36,55,71,92,107,129,140,155,170,192,216,232,250,266,287,306,327,348,360,386,392,390,403,397,431,474,503,526,541,515,508,521,530,562,597,623,640,681,684,705,735,740,758,761,761,747,753,742,717,721,723,739,749,734,724,745,768,803,833,827,847,839,827,822,791,815
10,21,41,61,70,91,111,132,159,175,180,184,190,197,213,226,239,239,235,266,280,296,326,334,334,341,343,314,316,337,326,352,373,370,402,416,419,434,434,423,422,426,447,470,483,497,502,500,519,512,521,548,568,597,616,634,640,658,660,655,657,684,698,727,743,751,780,795
10,13,26,39,46,67,78,98,122,135,174,193,216,240,245,253,268,291,306,346,362,368,379,393,425,455,508,513,512,521,504,524,541,553,562,586,595,619,634,640,664,681,705,720,751,763,796,831,830,843,866,860,858,885,868,898,934,971,1000,1024,1000,994,981,939,958,955,954,987
10,20,34,50,59,75,91,103,124,138,151,178,193,226,256,285,309,338,350,359,373,383,413,458,502,546,585,600,633,637,675,710,736,794,797,810,812,782,789,802,803,817,816,773,754,752,755,770,789,791,783,788,772,735,716,693,686,674,670,655,632,635,615,598,578,549,554,562
10,17,28,41,48,60,65,79,81,93,109,118,142,160,172,181,192,196,212,232,224,231,224,235,268,279,298,298,304,324,343,371,381,388,416,403,419,432,430,446,451,445,431,441,418,435,456,462,499,516,533,539,528,521,527,541,572,589,606,617,612,625,642,671,714,743,754,750
10,17,29,43,49,68,87,98,109,123,124,135,149,154,172,187,204,219,236,249,258,257,268,279,286,315,305,319,335,344,376,416,453,480,500,504,506,511,534,554,589,630,636,660,666,664,676,687,690,698,724,717,745,745,734,736,706,724,743,750,784,811,833,874,891,873,856,845
10,14,28,35,34,52,54,64,76,80,87,90,96,94,105,114,125,138,153,180,201,209,229,241,255,275,278,280,285,299,314,328,360,367,381,410,408,440,455,438,444,451,464,485,497,489,486,489,496,505,512,524,538,541,557,556,566,584,571,589,578,570,577,574,579,598,584,576
10,18,34,51,63,78,84,91,99,111,130,148,163,191,207,219,248,252,263,288,305,328,364,393,418,454,482,522,530,559,585,609,657,684,714,727,742,768,812,839,841,855,837,844,851,856,872,882,942,941,949,951,941,950,959,945,962,977,977,996,989,992,1029,1064,1083,1108,1095,1079
10,21,28,42,53,67,88,110,121,138,163,177,196,216,224,235,249,266,290,304,319,317,319,338,360,400,426,429,439,434,428,451,468,484,517,519,521,534,531,539,556,569,577,598,619,625,637,641,644,642,657,666,656,666,657,661,679,701,735,770,766,769,774,748,721,727,722,738
10,19,28,38,48,60,77,100,116,141,160,177,196,209,229,258,287,328,350,368,388,384,408,429,447,489,509,525,533,509,507,507,529,547,577,613,616,667,682,702,742,749,783,804,806,805,831,843,864,891,868,868,915,945,963,984,987,1017,1087,1129,1142,1152,1145,1165,1155,1143,1127,1098
10,15,29,42,59,76,89,112,121,149,168,183,201,211,220,253,275,295,326,333,348,367,379,408,427,443,451,467,486,514,543,586,621,637,666,679,696,723,769,765,773,795,793,805,844,882,876,890,883,891,906,946,975,953,997,988,967,962,909,894,901,901,915,903,897,912,928,951
