0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
10,71,195,372,574,738,845,910,935,911,884,830,761,708,624,512,385,240,120,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,79,220,395,590,758,864,929,963,947,917,857,768,644,494,365,257,194,152,120,80,46,21,2,0,0,0,0,0,0,0,0,0,0,0
10,82,228,428,659,860,1006,1096,1148,1147,1057,931,763,561,374,213,88,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,74,198,355,537,685,787,849,889,879,854,809,723,656,580,499,417,323,222,141,86,49,27,15,7,2,0,0,0,0,0,0,0,0,0
10,82,225,419,657,851,994,1074,1090,1080,993,877,717,537,386,249,162,101,63,48,32,17,7,1,0,0,0,0,0,0,0,0,0,0,0
10,83,227,424,654,852,964,1010,1003,930,835,703,567,457,374,331,292,250,211,171,130,94,57,29,12,2,0,0,0,0,0,0,0,0,0
10,72,211,395,598,779,919,1028,1099,1118,1038,902,730,548,407,291,210,143,90,52,21,8,3,0,0,0,0,0,0,0,0,0,0,0,0
10,76,206,381,577,719,798,833,829,772,679,569,460,392,347,312,279,252,235,221,209,199,187,176,164,153,142,131,121,100,74,45,19,5,0
10,83,235,438,667,867,989,1042,1036,964,874,773,659,554,439,333,248,173,116,74,46,27,15,8,2,0,0,0,0,0,0,0,0,0,0
10,84,233,446,716,973,1152,1225,1173,1036,859,679,534,409,300,229,175,128,102,79,58,38,22,10,2,0,0,0,0,0,0,0,0,0,0
10,80,222,405,619,794,894,933,939,917,860,807,731,605,504,408,317,258,185,115,52,14,3,0,0,0,0,0,0,0,0,0,0,0,0
10,83,239,445,687,902,1064,1164,1154,1084,960,825,700,551,379,222,114,48,26,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,79,224,421,650,845,977,1056,1043,958,841,698,586,504,423,350,281,219,170,130,95,63,33,13,3,0,0,0,0,0,0,0,0,0,0
10,86,227,420,638,815,945,1034,1079,1077,979,823,657,492,382,304,234,174,127,86,50,24,8,1,0,0,0,0,0,0,0,0,0,0,0
10,75,210,401,626,838,1003,1111,1166,1138,1037,882,709,552,388,263,155,65,30,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,72,214,416,648,839,930,970,978,951,931,868,756,607,457,331,226,172,126,81,50,27,10,2,0,0,0,0,0,0,0,0,0,0,0
10,86,239,444,668,843,945,990,974,896,795,645,518,417,328,287,248,224,204,186,169,150,129,106,80,52,28,10,1,0,0,0,0,0,0
10,81,225,431,678,896,1020,1067,1030,916,803,686,587,516,443,369,298,230,167,113,65,29,10,2,0,0,0,0,0,0,0,0,0,0,0
10,85,232,440,671,839,929,955,938,917,881,813,714,593,458,345,260,188,141,102,71,46,27,13,4,0,0,0,0,0,0,0,0,0,0
10,78,191,343,500,608,661,674,671,654,645,634,621,599,537,473,410,356,338,312,276,237,195,160,134,111,93,71,46,25,8,1,0,0,0
10,80,218,405,621,792,895,912,888,837,773,737,686,636,551,450,355,257,195,145,100,64,36,19,8,2,0,0,0,0,0,0,0,0,0
10,80,231,443,708,948,1104,1200,1198,1101,948,770,612,475,354,241,136,63,31,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,82,237,452,683,844,912,914,893,862,807,741,656,572,498,423,347,268,203,137,79,40,11,1,0,0,0,0,0,0,0,0,0,0,0
10,76,215,412,660,901,1066,1165,1164,1091,980,828,670,502,356,242,158,98,51,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,81,229,433,654,809,887,878,818,748,669,613,571,531,485,432,381,332,286,251,208,157,110,61,26,10,2,0,0,0,0,0,0,0,0
10,83,223,428,670,896,1098,1215,1254,1146,931,693,460,321,243,195,166,137,109,90,76,65,53,43,31,20,11,4,1,0,0,0,0,0,0
10,78,219,415,657,880,1023,1086,1054,951,811,670,556,453,383,326,274,233,188,147,106,70,44,24,11,3,0,0,0,0,0,0,0,0,0
10,80,224,407,573,692,754,771,778,762,702,640,586,533,496,457,413,369,327,287,247,201,151,101,61,31,14,5,0,0,0,0,0,0,0
