0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
10,82,218,362,501,641,770,870,928,958,1005,1025,1021,1040,1053,1044,1030,1032,1052,1086,1122,1090,1047,982,794,670,648,577,458,386,372,363,355,347,337,327,319,315,313,310,305,300,294,288,284,280,268,256,252,248,244,240,235,230,226,221,215,209,202,195,189,183,177,170,163,157,151,145,139,132,125,119,113,107,101,94,87,81,75,65,53,45,38,31,25
10,88,237,394,544,694,844,984,1120,1257,1371,1461,1461,1380,1336,1291,1259,1263,1238,1143,1051,968,877,786,690,639,607,582,559,538,516,494,476,461,448,435,423,410,400,384,353,305,255,233,229,226,222,217,211,201,186,171,157,139,116,96,80,64,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,89,237,389,534,679,819,951,1079,1193,1263,1322,1406,1490,1560,1586,1588,1620,1643,1593,1558,1537,1350,1126,1038,1002,965,914,773,614,526,460,382,259,150,111,105,99,93,87,80,74,69,63,57,49,35,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,89,240,401,558,707,856,1007,1136,1244,1306,1317,1348,1408,1421,1343,1260,1208,1158,1128,1072,1016,1000,988,954,895,828,778,683,593,569,538,494,438,394,362,331,302,275,250,232,220,211,206,201,195,190,186,182,177,172,167,117,63,53,47,41,33,24,16,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,82,220,361,489,606,708,811,922,1016,1104,1204,1298,1389,1467,1525,1570,1558,1544,1437,1254,1196,1197,1195,1110,997,951,923,909,824,707,644,586,538,483,404,344,310,277,244,170,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,89,240,397,545,687,824,960,1079,1146,1174,1188,1188,1210,1256,1302,1345,1339,1300,1188,1006,863,787,753,735,724,716,690,624,579,562,545,529,510,493,475,454,440,432,423,410,398,390,342,251,198,187,178,168,156,146,136,125,115,105,94,85,77,67,58,50,42,32,20,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,87,237,395,540,682,814,909,977,1047,1117,1180,1232,1254,1254,1263,1263,1219,1156,1121,1108,1021,935,921,905,889,851,812,791,742,657,579,509,462,446,428,406,382,358,330,286,248,232,218,203,187,170,157,150,145,139,132,125,119,113,106,98,89,80,72,64,57,49,40,32,24,16,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,86,232,381,496,588,661,731,817,903,991,1081,1146,1123,1026,981,1006,1015,983,903,845,841,845,842,815,790,779,769,758,748,736,720,705,691,638,584,567,550,528,474,397,346,314,283,267,262,258,254,248,238,224,212,206,202,196,190,186,182,178,173,163,150,86,24,16,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,85,236,394,542,693,845,994,1104,1158,1211,1292,1374,1450,1493,1474,1470,1506,1543,1581,1577,1459,1255,1058,931,874,812,698,593,523,455,407,373,339,308,287,274,267,261,244,221,199,176,156,136,106,73,47,31,23,17,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,90,239,399,554,698,841,959,1053,1148,1230,1294,1344,1359,1371,1387,1383,1379,1365,1348,1347,1353,1270,1138,1062,993,902,816,770,750,656,553,521,483,414,357,329,292,237,189,164,144,121,96,71,52,41,32,24,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,87,235,394,548,671,767,875,965,1009,1050,1107,1158,1185,1191,1211,1245,1249,1195,1130,1075,987,907,858,803,773,778,786,793,793,787,772,750,685,548,433,392,378,345,312,301,293,285,275,265,256,250,195,138,131,124,116,108,100,92,84,76,68,60,52,44,36,28,20,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,84,220,359,492,610,713,821,932,1025,1091,1152,1206,1217,1220,1236,1243,1234,1172,1073,1004,960,923,898,869,843,831,828,813,768,719,687,657,622,568,488,425,394,374,357,339,322,306,289,272,255,238,224,215,208,202,195,185,176,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,88,233,383,532,685,830,957,1048,1109,1167,1211,1224,1239,1262,1270,1285,1315,1298,1172,1041,996,981,939,858,790,765,718,673,665,658,652,624,572,535,519,496,464,422,390,377,364,311,256,241,225,201,169,136,105,80,58,34,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,85,236,398,554,703,830,943,1046,1127,1198,1266,1321,1347,1334,1279,1142,1039,1025,994,954,859,767,746,732,701,670,661,646,611,562,514,477,457,446,436,427,417,404,389,375,361,347,335,322,308,295,270,236,210,192,176,159,143,130,120,113,107,101,94,86,77,69,62,54,46,38,29,21,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,88,236,396,558,708,847,976,1088,1197,1297,1349,1364,1379,1411,1442,1455,1399,1281,1220,1187,1145,1105,1034,922,843,807,761,716,658,605,579,561,538,498,445,393,329,256,205,169,135,114,105,99,93,88,82,75,70,64,58,52,46,40,31,22,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
