0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
10,52,166,341,569,827,1068,1309,1515,1688,1819,1907,2002,2061,2115,2158,2144,2130,2064,1939,1782,1573,1370,1198,1047,940,861,777,706,645,586,532,498,455,419,395,359,339,317,291,276,251,223,208,191,175,168,151,127,107,78,55,35,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,60,172,357,592,847,1066,1251,1413,1509,1583,1613,1606,1556,1467,1380,1287,1244,1219,1209,1218,1207,1213,1204,1165,1150,1148,1113,1060,955,813,703,619,570,540,500,478,461,441,441,422,409,406,397,388,378,362,342,326,308,293,283,269,261,252,246,242,231,217,184,154,114,69,38,12,1,0,0,0
10,56,175,359,593,869,1118,1365,1621,1811,1960,2069,2064,2045,2000,1877,1761,1628,1505,1432,1391,1367,1351,1339,1333,1317,1295,1216,1124,1031,929,874,808,738,637,516,397,284,202,148,116,89,75,61,43,26,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55,167,337,567,823,1079,1315,1570,1814,2022,2195,2274,2287,2231,2197,2127,2045,1963,1787,1646,1498,1353,1259,1160,1070,1003,936,854,769,674,584,495,427,365,316,281,250,226,202,179,153,132,108,87,69,46,25,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55,164,339,577,837,1077,1303,1508,1660,1817,1916,2013,2094,2091,2056,1937,1832,1746,1656,1560,1440,1318,1230,1160,1104,1070,1020,983,931,870,811,735,664,588,517,448,394,332,276,237,191,157,123,88,59,31,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,53,159,356,598,875,1158,1389,1599,1774,1898,2006,2120,2168,2190,2194,2109,2039,1969,1872,1792,1719,1624,1542,1477,1388,1283,1160,981,795,639,485,398,343,285,226,161,101,55,31,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,56,174,353,610,903,1182,1440,1642,1790,1906,1960,1972,1977,1934,1881,1849,1749,1643,1553,1433,1383,1332,1255,1173,1095,1020,975,960,904,838,775,695,626,581,522,458,390,321,272,237,214,202,180,155,130,103,82,63,44,25,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62,188,368,608,876,1126,1376,1617,1849,2031,2164,2231,2245,2264,2250,2248,2205,2132,2042,1866,1695,1500,1337,1182,1030,890,765,698,628,574,502,425,358,298,248,213,188,168,147,122,101,80,58,41,24,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,51,156,330,551,781,998,1186,1373,1506,1604,1647,1638,1655,1679,1707,1726,1736,1744,1776,1807,1809,1767,1667,1546,1422,1301,1188,1076,963,842,746,662,600,537,470,403,339,296,267,243,226,210,195,174,149,119,81,52,24,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,57,164,344,565,821,1077,1313,1555,1761,1944,2067,2113,2137,2107,2110,2103,2074,2031,1936,1833,1716,1615,1480,1306,1126,947,808,737,663,583,500,428,381,335,321,298,273,256,219,184,157,135,120,101,78,59,41,28,17,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,177,349,598,864,1092,1338,1519,1685,1856,1981,2081,2124,2126,2080,1946,1792,1591,1400,1260,1133,1023,912,833,769,741,710,688,664,611,577,527,489,468,441,428,411,395,383,367,351,343,328,321,305,286,279,261,248,233,214,197,188,175,162,148,131,118,93,73,49,26,14,4,0,0,0,0
10,55,166,339,566,817,1041,1242,1415,1571,1712,1843,1956,2035,2104,2143,2143,2096,1984,1848,1681,1477,1292,1119,970,870,791,724,668,633,610,585,562,545,524,498,482,447,417,392,364,352,328,309,291,271,253,209,152,92,39,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,54,166,343,589,836,1080,1314,1490,1639,1772,1924,2060,2199,2285,2298,2295,2248,2168,2060,1953,1845,1759,1654,1511,1345,1134,938,751,602,495,404,337,284,246,216,195,170,152,110,70,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
