0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
10,76,147,195,226,238,262,262,256,242,245,246,243,227,199,195,190,188,182,168,162,155,140,125,117,111,103,95,89,82,76,71,67,63,59,55,50,46,42,38,35,32,30,29,26,24,14,8,2,0,0,0,0,0,0,0,0,0
10,79,156,226,296,357,393,426,409,406,362,292,273,248,225,204,189,160,148,135,125,118,112,106,101,81,73,61,50,40,31,23,15,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,73,135,187,213,253,287,314,324,335,326,316,308,291,288,265,228,205,183,154,140,126,120,114,108,102,93,84,76,65,55,46,38,30,22,14,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,72,151,212,282,329,354,334,310,308,291,288,284,290,284,282,236,178,172,165,154,147,140,127,105,79,71,61,53,45,37,31,24,18,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,74,149,209,270,322,363,386,371,371,363,332,304,282,275,263,257,228,170,140,117,85,64,57,51,45,39,37,35,33,31,29,27,25,23,20,20,17,13,11,9,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77,153,213,257,286,293,319,335,341,341,342,331,316,283,246,208,197,188,177,145,131,119,111,61,51,46,43,41,39,37,34,33,29,26,25,23,20,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,70,135,193,246,298,345,394,419,427,424,434,446,418,374,319,231,199,166,134,92,76,55,16,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77,153,216,276,320,360,381,407,425,346,328,327,302,286,247,224,190,163,129,110,92,85,80,67,54,46,42,38,34,30,26,22,18,14,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,74,151,221,270,324,334,357,349,320,310,263,264,262,259,258,258,251,232,212,174,164,152,142,131,91,52,33,15,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,76,154,225,295,337,369,362,363,377,386,381,361,332,311,220,186,169,162,140,129,122,113,84,63,48,42,38,34,25,16,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,75,146,200,244,276,307,334,368,359,373,379,360,355,301,279,245,226,196,163,133,120,110,80,67,61,55,50,37,18,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69,149,210,260,287,314,346,375,387,369,326,308,292,271,244,206,173,152,149,141,134,122,105,92,79,67,57,50,44,38,32,26,20,14,9,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,119,171,220,259,294,325,327,339,357,369,365,293,240,229,221,211,204,174,136,121,115,109,99,91,85,78,69,60,50,38,31,25,20,14,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,76,152,226,287,336,356,356,364,385,377,364,360,314,288,266,223,169,145,131,117,108,77,68,60,53,47,42,36,28,22,19,17,15,13,11,9,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77,135,170,202,238,270,301,319,314,312,323,336,347,348,351,295,264,253,150,135,125,114,99,91,81,70,51,44,37,30,26,20,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77,158,217,275,334,387,400,398,422,436,421,386,311,287,259,222,184,137,118,100,83,67,58,49,43,35,23,18,12,7,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,75,131,186,229,273,302,327,350,374,391,368,360,362,343,335,333,316,272,142,117,104,92,42,37,26,20,14,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
