0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,20,40,65,101,136,161,176,194,225,268,307,343,371,405,407,417,422,436,463,511,571,594,581,593,602,628,590,574,538,547
10,18,31,47,72,96,116,148,191,220,248,278,328,372,406,453,472,514,536,583,583,576,580,580,589,577,598,627,642,663,667
10,19,35,56,74,110,144,196,237,267,290,314,366,405,439,483,509,534,529,563,595,621,665,704,746,780,796,818,816,835,855
10,20,48,69,104,124,155,177,212,226,270,305,346,372,378,420,420,467,486,521,511,493,498,531,539,537,496,482,447,439,427
10,20,39,64,94,118,149,177,217,253,286,325,342,358,394,427,489,512,567,620,652,668,643,665,663,693,724,775,797,791,797
10,22,41,55,73,95,115,143,153,168,186,220,253,283,318,345,358,377,443,478,533,534,554,522,512,523,520,505,494,525,562
10,17,33,51,77,98,114,153,187,231,268,323,360,403,442,493,515,538,524,516,526,551,580,592,607,650,666,666,672,692,725
10,26,47,67,103,142,186,231,276,325,349,377,409,470,525,589,626,658,679,682,703,684,695,680,694,703,699,725,716,734,709
10,20,39,60,87,123,151,174,208,246,307,347,385,403,425,466,494,536,558,594,619,613,616,603,617,623,624,626,619,619,589
10,24,44,71,98,132,157,187,208,226,246,264,287,309,331,352,384,423,476,509,532,556,574,608,621,617,611,587,575,587,588
10,20,37,54,79,111,135,163,199,251,293,318,347,371,388,407,448,489,512,541,590,637,665,688,713,723,756,742,744,701,712
10,18,34,53,80,104,120,145,178,212,245,292,316,363,375,390,402,430,468,488,501,519,530,543,564,570,586,574,586,586,613
10,28,61,90,129,150,184,200,252,280,330,366,407,448,460,479,477,482,523,525,554,549,596,598,619,597,613,596,603,591,573
10,19,33,54,79,112,132,155,202,221,247,272,309,352,377,415,464,482,519,558,597,627,636,654,670,691,731,757,753,704,692
10,26,50,74,104,135,172,202,229,258,292,325,358,406,443,481,518,538,553,549,573,617,642,671,648,629,603,581,596,599,611
10,24,46,68,95,119,152,195,253,289,336,381,440,483,505,556,597,642,647,635,633,646,656,660,668,690,706,691,679,657,644
10,20,42,70,103,136,169,190,218,243,286,308,323,336,370,403,436,461,484,513,548,596,631,647,660,675,674,674,654,640,609
10,27,47,66,89,121,162,202,236,258,279,307,343,379,418,443,463,485,508,549,556,607,630,692,697,695,692,682,691,715,778
10,19,39,65,94,131,165,225,257,303,332,364,400,436,482,511,545,602,628,661,693,706,709,706,747,760,765,755,749,738,736
10,20,40,57,80,99,119,145,189,213,243,253,292,331,387,412,442,442,476,490,517,525,529,520,532,541,543,544,567,600,638
10,19,38,50,60,79,96,131,152,186,210,245,280,318,351,405,429,457,482,521,556,564,601,619,644,651,661,673,669,688,675
10,18,36,59,87,101,115,124,145,148,173,189,226,257,288,325,354,395,420,436,478,524,568,574,574,590,594,591,573,592,614
10,21,37,59,82,116,149,177,208,235,281,301,327,337,373,404,412,402,409,423,462,488,511,523,551,553,595,580,612,582,595
10,21,42,68,98,125,143,176,213,271,309,350,383,418,434,472,512,554,580,603,644,667,678,684,693,700,714,697,695,686,707
10,24,42,71,95,127,148,175,196,226,267,302,339,358,402,420,451,474,495,556,597,642,647,680,713,727,713,695,656,632,625
10,20,42,64,97,115,153,176,233,256,302,327,339,360,375,410,469,501,508,479,482,523,541,555,551,540,505,484,455,445,438
10,18,38,59,94,128,159,184,206,227,269,327,368,393,414,454,504,538,565,592,622,704,734,773,764,763,776,782,815,802,798
10,19,40,58,87,115,146,171,221,250,299,312,359,408,456,509,530,568,585,634,652,684,699,696,730,746,793,790,787,782,765
10,25,50,72,108,142,174,191,221,256,305,340,365,395,419,444,437,456,464,479,481,480,498,500,520,532,542,547,546,526,519
10,18,29,42,54,78,95,124,148,183,223,250,283,325,360,402,421,483,507,526,524,551,573,605,602,602,605,653,696,732,729
10,18,35,50,73,96,117,146,173,213,259,320,376,432,471,508,514,537,559,591,619,650,666,678,710,736,733,720,746,776,780
10,18,34,49,67,87,115,151,187,226,274,319,349,373,392,421,446,490,506,519,526,559,620,646,663,625,622,636,680,688,666
10,25,45,70,93,126,156,184,209,230,271,305,352,372,406,431,441,462,475,521,547,570,564,549,531,555,569,594,574,578,580
10,24,42,59,74,98,121,145,162,186,210,251,303,340,350,357,390,444,500,535,555,564,579,582,597,593,603,625,653,674,647
10,16,27,44,66,88,104,132,182,217,255,282,333,369,403,426,468,494,512,526,527,536,521,560,598,638,652,662,667,659,650
10,18,31,45,79,124,162,201,241,277,320,329,356,385,425,447,461,497,532,593,611,633,655,691,693,678,661,669,620,592,577
10,22,43,66,96,138,167,198,219,242,273,303,350,375,403,451,480,520,525,548,552,559,589,614,641,648,691,699,701,666,686
10,16,31,48,82,107,129,153,196,242,293,348,401,433,457,492,524,557,576,628,669,680,679,682,694,695,698,705,730,741,774
10,27,52,78,102,131,155,186,213,241,292,347,398,443,479,533,593,612,620,617,643,652,630,619,609,627,652,674,672,661,661
10,17,42,56,80,85,107,139,168,208,226,271,295,326,346,360,391,412,443,441,442,467,497,536,535,555,549,557,543,560,569
