0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
10,38,116,217,355,496,664,800,904,944,1000,1056,1112,1154,1153,1176,1144,1137,1118,1139,1121,1102,1071,1082,1074,1102,1109,1112,1026,960,855,796,742,715,690,637,582,535,507,501,471,424,387,352,326,299,282,261,235,225,219,208,187,171
10,40,121,248,388,514,640,781,915,1021,1060,1048,1027,1011,1030,1015,1045,1030,1034,1006,996,951,945,953,1004,951,908,840,817,805,782,768,739,709,709,691,702,677,653,624,603,594,556,524,487,475,471,454,438,395,383,357,335,298
10,38,115,243,411,578,751,904,1072,1190,1299,1386,1485,1586,1650,1731,1735,1749,1681,1633,1554,1532,1502,1412,1240,1061,922,821,739,657,587,515,482,443,419,391,367,356,338,330,310,289,255,221,195,179,165,150,138,133,121,104,88,81
10,43,120,232,361,488,604,720,815,938,1066,1188,1265,1327,1372,1426,1470,1503,1560,1567,1591,1548,1502,1483,1488,1459,1376,1226,1088,961,865,826,769,746,715,701,672,588,474,350,275,240,203,156,112,73,48,18,5,0,0,0,0,0
10,49,133,257,406,552,697,828,958,1061,1159,1248,1334,1369,1410,1434,1448,1440,1378,1330,1278,1245,1210,1122,1041,938,879,845,838,821,793,754,708,666,632,604,562,538,502,475,440,429,404,383,350,325,284,229,192,164,153,145,143,139
10,45,120,240,392,538,694,815,927,1009,1063,1124,1170,1225,1285,1341,1403,1416,1419,1387,1367,1366,1377,1391,1383,1340,1274,1169,1083,986,909,810,717,601,525,457,429,414,398,379,363,341,313,278,269,263,249,230,210,195,185,164,149,119
10,42,127,254,403,553,686,829,958,1085,1180,1251,1322,1370,1468,1516,1512,1452,1408,1399,1373,1325,1251,1177,1104,1060,972,895,807,778,751,746,741,735,725,698,669,638,589,548,492,449,378,313,250,208,171,139,112,102,95,93,90,88
10,44,119,235,388,545,697,840,993,1113,1214,1300,1354,1429,1491,1580,1607,1610,1605,1582,1529,1459,1401,1334,1261,1162,1114,1042,962,792,654,532,463,394,351,343,326,320,291,284,268,261,253,237,220,211,217,220,216,203,201,196,190,180
10,49,127,243,391,551,710,848,976,1114,1285,1413,1520,1534,1551,1536,1564,1582,1592,1573,1553,1542,1494,1429,1359,1302,1250,1191,1127,1046,940,828,725,622,529,460,407,362,306,250,208,171,147,109,69,26,6,0,0,0,0,0,0,0
10,38,112,229,388,551,689,842,969,1091,1180,1271,1366,1413,1458,1497,1543,1578,1543,1439,1319,1233,1215,1150,1074,974,898,804,706,611,551,497,449,392,367,358,361,351,329,323,307,310,294,290,275,264,255,245,247,246,246,238,224,223
10,42,111,206,315,417,542,660,784,836,897,951,1004,1037,1061,1094,1140,1160,1189,1167,1154,1103,1079,1066,1091,1118,1101,1050,981,932,904,873,855,830,795,759,705,639,570,540,519,495,449,412,357,326,317,328,326,300,279,266,261,255
10,39,111,221,369,530,691,824,938,1010,1040,1062,1093,1155,1182,1219,1268,1307,1333,1305,1324,1296,1283,1230,1190,1116,1055,986,928,856,784,742,703,688,670,672,667,651,619,569,520,440,398,362,362,340,324,293,277,253,238,212,196,170
