0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
10,15,19,24,33,35,42,48,60,68,71,71,75,77,69,69,72,77,73,74,79,76,71,71,72,64,74,76,73,73,75,71,69,76,79,80,77,84,82,88,90,93,89,89,86,83,76,76,77,75,65,60
10,16,21,25,33,34,38,45,49,47,51,52,53,57,62,59,59,57,56,59,65,71,70,77,72,72,72,85,77,81,90,89,89,105,104,104,104,106,93,101,97,101,88,91,90,93,89,96,103,102,98,108
10,15,25,33,45,51,57,58,60,62,64,62,63,65,65,57,56,58,56,56,53,59,56,66,72,79,80,77,71,66,67,72,75,72,77,84,81,85,88,85,78,80,77,77,79,80,73,74,73,71,71,72
10,14,18,23,27,25,26,29,34,36,35,36,43,40,40,44,45,36,38,45,47,52,56,54,50,42,41,39,44,41,47,49,49,52,56,60,58,61,57,59,58,54,54,50,43,38,38,37,40,47,45,43
10,15,20,26,34,34,39,40,43,46,43,45,48,54,58,62,65,74,73,71,76,72,69,65,63,62,62,62,66,67,63,66,68,67,60,61,58,52,52,53,55,50,51,44,49,41,44,41,41,36,35,30
10,11,14,19,24,17,20,21,23,29,36,42,52,54,52,55,59,50,46,49,45,41,42,49,42,45,44,46,43,46,44,42,44,43,39,38,40,39,36,41,39,37,38,44,47,51,54,54,53,54,55,57
10,12,18,26,33,36,41,48,54,63,60,74,73,71,72,71,74,81,87,85,95,97,99,98,105,98,89,84,80,75,74,69,64,63,65,72,74,75,78,75,73,75,79,73,68,59,57,49,47,46,51,48
10,14,21,29,38,38,48,49,50,56,55,51,51,51,47,50,52,57,55,54,52,51,48,52,52,49,47,46,45,46,51,49,45,44,47,44,44,48,47,40,34,36,35,36,39,43,46,47,46,44,47,48
10,13,16,23,30,25,34,37,43,49,54,56,62,60,61,63,61,60,61,61,65,67,71,72,77,79,82,86,93,98,97,96,96,96,91,94,98,97,101,98,102,103,105,101,107,100,88,82,80,79,82,93
10,16,19,28,33,26,25,31,26,27,32,36,34,38,39,40,39,46,50,55,61,62,57,52,49,49,50,49,52,50,47,48,53,54,58,56,60,62,67,67,73,71,68,65,63,57,55,56,53,56,56,52
10,13,18,23,31,31,39,48,53,55,63,64,66,71,77,76,85,89,103,110,116,127,137,136,141,140,137,135,127,124,118,112,101,99,94,94,89,95,102,103,106,110,112,110,107,105,105,105,101,100,104,99
10,11,16,25,34,31,36,40,43,44,49,54,58,59,62,58,57,53,52,46,44,38,39,33,29,25,26,22,22,27,30,30,30,35,34,33,33,34,29,25,26,23,21,22,23,22,27,25,22,24,28,29
10,14,17,24,27,27,31,35,39,45,40,46,53,49,54,65,63,66,72,73,67,71,67,74,71,72,74,78,77,78,87,84,85,84,86,77,79,76,72,69,67,71,73,78,82,87,88,96,97,102,108,111
10,14,18,25,30,26,28,31,30,32,31,33,33,34,35,40,41,46,45,47,46,38,38,41,41,43,52,52,57,59,58,61,58,56,56,59,55,57,52,55,55,60,60,61,59,57,51,60,66,61,61,68
10,16,19,24,33,33,34,41,43,42,43,45,46,45,47,48,51,48,57,57,55,54,63,65,71,74,78,80,76,76,77,73,67,66,61,62,67,70,71,73,76,77,69,68,65,59,52,55,50,51,51,59
10,15,22,31,41,45,51,52,55,56,52,49,53,58,62,69,75,83,85,91,103,104,103,97,84,70,76,72,74,80,79,78,81,79,79,83,82,82,83,91,89,86,86,88,80,74,71,63,61,58,62,61
10,15,19,21,26,26,31,32,41,45,43,42,46,47,54,57,56,55,53,48,45,45,46,43,45,45,43,39,41,38,41,42,50,50,47,40,40,37,35,43,44,48,46,48,45,48,48,50,51,48,50,44
10,14,16,20,26,26,32,39,47,49,59,62,69,72,72,63,59,52,44,48,44,38,38,42,40,41,47,50,51,53,56,59,62,60,54,53,59,55,56,58,63,68,73,78,89,86,78,83,78,71,71,72
10,12,18,24,30,29,37,40,47,57,55,56,59,57,50,55,59,59,60,62,63,65,69,73,82,97,100,106,110,111,101,105,100,96,95,102,101,107,114,116,110,113,111,102,101,109,97,94,96,97,87,86
10,14,17,23,31,33,42,47,53,55,56,61,67,67,73,74,75,73,78,77,81,77,76,70,69,63,63,67,68,65,70,73,68,68,73,66,55,62,63,59,60,68,59,59,57,59,54,62,62,63,65,68
10,13,18,21,26,24,31,35,44,49,53,52,48,46,45,43,44,45,43,43,41,43,44,43,40,38,36,37,38,39,39,36,34,33,31,28,27,27,30,31,33,35,33,31,29,30,28,30,33,35,32,34
10,11,18,24,27,22,25,24,24,26,27,32,31,33,32,39,40,48,53,58,59,53,44,42,40,35,39,43,46,49,52,57,61,60,60,62,58,57,53,50,47,47,43,41,39,33,30,34,32,37,38,36
10,15,21,28,36,34,38,37,48,47,50,57,64,63,73,76,81,87,88,90,98,95,92,90,82,80,79,78,80,81,77,75,73,71,72,69,70,75,71,68,73,67,68,67,67,65,65,58,56,59,54,61
10,11,15,19,25,25,28,35,37,37,34,39,39,40,44,41,46,48,56,64,72,74,73,69,64,61,53,52,49,41,40,39,35,37,40,39,41,45,43,47,49,49,53,62,58,62,62,60,58,56,52,48
10,14,18,25,32,29,29,33,36,38,36,40,37,35,31,33,33,35,36,37,37,39,44,43,43,43,47,42,41,45,44,37,37,48,44,53,59,63,56,58,54,48,49,40,38,35,34,24,26,24,18,13
10,16,23,28,35,33,35,36,45,44,46,50,49,45,51,51,49,56,53,56,60,63,62,75,78,83,84,89,82,83,79,80,78,80,71,70,69,69,68,71,68,64,65,65,68,68,66,68,74,75,76,88
10,16,22,28,35,37,39,38,41,49,44,47,50,51,49,56,55,59,61,64,62,66,70,69,62,60,62,56,52,48,47,44,41,42,46,46,43,45,47,50,51,51,55,54,53,51,49,43,40,37,35,32
10,10,18,26,34,36,47,54,60,63,69,75,77,80,87,79,74,83,79,75,85,98,89,88,93,91,88,86,92,98,94,89,84,82,77,85,86,92,95,97,89,91,100,102,105,103,99,87,80,70,74,69
10,17,20,28,32,32,36,39,38,43,41,40,37,36,38,35,36,39,40,36,42,42,44,47,44,40,33,37,29,27,24,24,18,21,26,27,28,27,29,24,25,25,23,20,23,24,21,22,22,21,15,14
10,11,16,21,26,23,27,29,31,34,40,42,41,42,42,40,42,44,45,42,40,41,46,44,48,47,48,43,45,49,47,40,38,36,28,33,37,39,38,38,33,35,37,36,37,37,36,38,39,39,41,41
10,15,19,21,28,26,27,31,36,37,37,38,40,44,49,53,53,52,56,58,62,65,69,70,71,69,66,61,51,44,40,43,47,46,49,50,46,42,42,44,40,42,41,48,42,44,45,51,46,49,48,46
10,11,15,20,25,19,28,30,38,37,43,51,63,64,74,83,88,92,93,92,91,83,75,80,90,84,79,83,77,68,67,69,68,75,80,90,101,104,109,111,106,109,110,107,116,124,119,116,112,106,107,104
10,13,18,26,32,27,26,26,22,21,22,23,23,27,30,36,40,41,43,47,45,43,47,45,45,46,49,52,53,48,50,57,56,61,69,69,75,73,76,82,80,77,84,87,81,87,89,84,79,77,76,68
10,12,22,28,37,44,60,65,79,85,85,82,86,86,84,91,88,83,82,89,83,91,96,102,106,105,102,110,102,89,93,88,80,75,75,71,76,69,69,71,68,64,67,72,78,77,69,63,54,48,49,53
10,13,20,29,37,47,61,67,68,73,67,56,55,56,60,56,55,49,45,36,38,39,41,36,36,33,32,28,28,27,23,25,27,32,31,32,34,34,37,38,38,36,34,32,32,31,33,36,34,33,34,29
10,14,16,20,33,29,34,46,50,48,56,60,58,61,70,64,59,55,59,46,53,54,56,53,59,52,58,60,61,59,59,55,60,53,48,54,54,50,51,55,53,56,56,56,57,52,46,47,48,50,59,68
10,13,18,23,35,35,42,45,54,51,56,60,63,60,66,72,72,84,94,97,93,106,104,100,104,116,114,110,119,119,121,115,121,121,117,106,107,103,93,94,91,82,80,75,73,70,68,69,67,59,55,56
10,14,19,28,36,34,34,37,40,38,37,40,49,45,52,59,65,65,74,78,85,85,85,89,89,78,82,78,67,60,55,48,47,50,50,58,62,66,67,81,86,89,82,83,76,69,68,66,65,60,56,52
10,15,20,28,33,33,32,37,39,46,45,54,54,56,53,54,52,52,49,50,47,48,45,47,42,42,35,39,35,42,40,41,38,43,41,41,44,48,44,42,47,50,45,48,49,45,43,44,42,43,46,46
10,12,14,18,24,22,27,28,30,33,32,29,32,36,35,36,37,44,43,42,41,43,37,36,32,34,36,36,37,40,40,38,39,37,44,42,46,48,52,52,58,55,57,52,51,48,49,42,46,39,40,38
10,13,17,26,38,39,41,53,58,55,54,61,60,56,53,62,62,63,71,80,80,84,82,76,82,75,71,72,75,68,75,77,79,82,82,74,81,87,80,78,82,77,73,77,76,80,82,75,74,80,69,65
10,18,29,36,49,49,56,58,60,57,56,61,60,62,66,66,53,49,46,42,40,46,47,53,47,49,44,40,31,37,33,31,32,35,30,30,32,30,29,30,30,28,27,24,21,20,21,22,23,22,24,23
10,12,14,22,32,33,35,41,46,46,48,57,65,66,74,82,81,78,73,74,63,66,63,66,66,69,64,63,61,61,68,67,69,78,80,70,74,76,68,63,67,66,69,69,61,66,66,65,69,76,71,71
10,12,21,29,41,44,53,53,50,48,45,44,49,52,53,58,61,64,70,78,80,82,76,76,73,66,62,64,61,58,56,55,52,59,57,59,58,56,43,42,43,39,35,34,30,25,30,35,35,37,43,41
10,12,15,19,23,21,22,24,27,30,27,31,33,30,29,31,36,39,40,45,45,39,38,42,37,35,37,37,40,44,46,48,48,51,49,53,52,55,53,55,54,58,55,58,62,63,65,74,70,65,68,62
