0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
10,37,85,169,282,403,532,666,808,953,1131,1280,1444,1578,1670,1778,1850,1929,2007,2119,2197,2316,2420,2491,2590,2665,2734,2760,2777,2759,2768,2779,2787,2812,2728,2674,2529,2396,2305,2170,2067,1958,1833,1712,1585,1462,1345,1247,1163,1094,1054,995,952,896,849,817,793,739,718,680,645,611,546,513,489,466,437,400,353,313,281,255,225,201,181,152,143,129,118,109
10,31,82,157,262,409,558,713,859,982,1119,1286,1416,1545,1655,1734,1821,1944,2038,2111,2221,2262,2338,2399,2433,2455,2410,2411,2394,2389,2446,2444,2505,2628,2661,2742,2759,2690,2659,2591,2457,2332,2164,2013,1919,1838,1786,1719,1632,1548,1474,1381,1312,1236,1139,1040,937,796,682,595,515,460,416,365,295,236,177,123,89,59,38,18,6,2,0,0,0,0,0,0
10,32,79,170,306,455,618,768,904,1054,1186,1286,1416,1512,1629,1805,1904,2040,2163,2258,2343,2452,2538,2613,2739,2777,2794,2836,2878,2937,2963,2947,2906,2830,2788,2674,2527,2376,2227,2088,1962,1856,1705,1571,1438,1333,1262,1226,1176,1131,1090,1037,1017,978,917,846,755,682,629,608,574,528,485,441,409,376,349,313,286,257,234,210,187,168,144,118,88,55,34,21
10,36,97,183,314,464,616,800,932,1089,1263,1385,1578,1749,1884,2034,2152,2250,2392,2464,2529,2618,2649,2741,2822,2835,2859,2855,2799,2776,2737,2699,2652,2540,2421,2294,2190,2100,1974,1801,1608,1414,1245,1114,996,905,793,707,643,583,561,542,533,532,526,532,512,496,490,468,480,475,461,456,433,425,412,404,396,382,382,390,390,389,388,365,357,354,341,323
10,33,75,157,260,375,531,682,826,966,1110,1247,1379,1542,1649,1754,1840,1916,1982,2067,2128,2152,2198,2225,2248,2321,2356,2374,2439,2436,2454,2471,2429,2441,2400,2344,2328,2255,2217,2193,2179,2166,2129,2111,2046,2014,2017,1939,1894,1806,1686,1585,1483,1370,1233,1133,1025,923,870,776,687,617,540,482,423,347,283,230,182,147,108,71,35,14,3,0,0,0,0,0
10,36,99,203,332,482,636,775,913,1056,1207,1341,1487,1625,1716,1831,1953,2041,2135,2268,2317,2411,2476,2538,2642,2712,2839,2818,2812,2780,2702,2679,2626,2552,2465,2380,2331,2304,2280,2267,2218,2176,2128,2045,1934,1803,1662,1578,1485,1414,1365,1284,1248,1179,1090,982,842,730,635,530,435,343,261,213,183,163,124,99,69,31,18,8,2,1,1,0,0,0,0,0
10,31,70,133,231,361,528,693,866,1024,1139,1280,1388,1509,1651,1732,1811,1887,1968,2093,2202,2257,2288,2339,2371,2476,2547,2580,2613,2585,2564,2526,2505,2484,2452,2409,2339,2240,2142,2072,2008,1947,1889,1833,1779,1727,1685,1619,1569,1502,1402,1293,1168,1065,986,930,872,811,755,702,657,621,598,587,568,537,497,442,385,362,333,275,230,182,155,144,149,145,137,123
10,37,93,184,301,444,605,751,922,1099,1248,1443,1585,1719,1877,1968,2133,2282,2385,2533,2629,2705,2800,2883,2928,3013,3076,3118,3186,3204,3216,3217,3177,3125,3084,2960,2827,2739,2555,2440,2293,2090,1923,1756,1617,1445,1300,1132,960,840,743,652,580,511,452,413,378,334,292,251,211,175,145,110,85,69,42,26,16,7,2,1,0,0,0,0,0,0,0,0
10,28,69,157,281,432,597,771,918,1056,1199,1359,1503,1649,1802,1970,2142,2341,2512,2653,2806,2900,2994,3005,2981,2939,2914,2862,2863,2874,2801,2756,2673,2589,2585,2549,2542,2505,2427,2375,2267,2177,2040,1920,1807,1681,1591,1491,1368,1266,1108,970,857,751,668,578,494,398,339,275,221,174,138,113,84,69,53,35,22,10,2,0,0,0,0,0,0,0,0,0
10,32,83,171,283,411,537,678,815,960,1096,1226,1343,1436,1516,1618,1719,1774,1847,1881,1942,2017,2086,2151,2209,2309,2436,2513,2587,2653,2681,2707,2687,2636,2519,2424,2336,2262,2285,2287,2309,2255,2152,2048,1872,1785,1640,1515,1427,1312,1250,1186,1106,1035,959,867,810,739,686,668,622,618,605,564,555,501,471,455,423,410,385,359,320,287,253,219,202,182,158,141
10,34,81,163,272,412,562,725,866,1011,1157,1310,1465,1623,1780,1904,2055,2147,2283,2435,2544,2678,2721,2784,2878,2892,2935,2934,2878,2851,2826,2788,2744,2738,2641,2555,2465,2351,2250,2064,1894,1706,1577,1460,1328,1242,1131,1062,1007,929,860,790,725,663,619,583,565,548,528,514,497,479,460,450,424,405,392,390,387,392,390,372,371,350,333,300,263,230,192,161
10,37,87,170,279,429,576,723,877,987,1107,1219,1306,1435,1563,1684,1811,1869,1940,2023,2070,2140,2236,2315,2383,2445,2454,2433,2426,2431,2442,2435,2427,2405,2432,2440,2473,2500,2419,2393,2308,2202,2126,2029,1953,1895,1839,1781,1731,1671,1592,1548,1473,1375,1291,1175,1076,1022,950,860,792,680,571,489,376,275,189,109,65,41,27,15,5,2,0,0,0,0,0,0
10,29,69,138,227,344,492,636,808,1019,1196,1413,1593,1758,1961,2127,2289,2393,2496,2571,2671,2784,2835,2858,2821,2770,2738,2700,2691,2663,2612,2592,2493,2390,2281,2177,2095,2004,1917,1827,1761,1722,1701,1647,1596,1538,1451,1405,1395,1358,1327,1272,1212,1147,1104,1033,949,858,772,719,647,621,541,461,377,277,208,151,113,91,90,91,85,73,50,23,8,2,0,0
10,35,85,169,274,414,547,684,822,937,1078,1239,1377,1523,1623,1708,1805,1937,2060,2165,2300,2364,2452,2534,2528,2565,2540,2523,2536,2486,2480,2424,2354,2300,2217,2145,2066,1999,1945,1869,1797,1720,1607,1529,1470,1361,1295,1181,1072,1015,958,964,970,952,944,914,885,864,852,839,797,766,723,675,661,624,595,583,554,539,522,495,467,437,402,373,364,356,346,333
10,35,83,168,277,432,570,714,875,992,1146,1285,1417,1556,1727,1850,1949,2063,2163,2334,2502,2649,2745,2783,2776,2753,2675,2575,2502,2415,2373,2337,2281,2214,2169,2111,2027,1952,1838,1724,1650,1575,1497,1462,1454,1420,1428,1428,1389,1390,1362,1332,1287,1236,1155,1102,1058,998,976,918,849,811,731,659,612,557,517,484,447,397,372,323,278,243,203,171,148,122,97,78
10,29,68,150,265,401,565,714,876,1021,1169,1316,1431,1550,1647,1707,1777,1864,1939,2027,2062,2060,2054,2031,2053,2033,2000,1990,1973,1982,1997,2024,2039,2045,2060,2029,1995,1966,1934,1931,1914,1886,1854,1782,1697,1678,1616,1587,1577,1531,1499,1465,1419,1366,1307,1268,1202,1118,1063,954,893,843,786,774,737,714,697,650,620,584,548,513,483,463,419,400,368,316,286,254
10,28,83,165,262,401,535,680,833,992,1149,1289,1445,1594,1716,1846,1964,2039,2127,2185,2227,2304,2354,2407,2426,2448,2467,2510,2577,2594,2653,2695,2693,2723,2723,2716,2721,2673,2632,2556,2455,2409,2326,2295,2267,2106,1972,1804,1646,1562,1468,1361,1232,1098,927,774,643,537,445,354,291,222,185,158,123,96,70,41,25,15,9,5,1,0,0,0,0,0,0,0
