0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,51,158,297,488,689,877,1025,1135,1180,1189,1177,1141,1103,1077,1060,1029,999,924,824,736,636,522,465,418,350,316,282,238,212,199,173,146,116,81,47
10,48,142,287,459,657,865,1063,1234,1402,1524,1608,1627,1601,1502,1349,1177,987,817,675,593,516,432,333,242,147,66,29,8,0,0,0,0,0,0,0
10,45,143,315,537,787,1030,1234,1363,1446,1463,1468,1437,1377,1307,1269,1189,1102,1000,875,689,521,352,223,115,62,27,12,2,0,0,0,0,0,0,0
10,47,141,268,433,618,775,919,1022,1082,1108,1165,1155,1150,1117,1081,995,919,807,711,630,560,505,480,466,442,418,382,346,304,257,221,186,156,134,114
10,48,141,289,507,735,978,1194,1354,1418,1430,1366,1260,1133,1021,934,856,789,724,673,623,572,511,463,402,337,288,251,216,182,158,142,117,96,76,53
10,50,157,315,524,778,1052,1303,1518,1690,1815,1834,1764,1642,1495,1269,1072,859,668,477,345,230,172,123,90,63,42,25,14,4,0,0,0,0,0,0
10,54,160,339,560,835,1073,1270,1389,1472,1463,1461,1423,1354,1274,1194,1074,947,823,698,578,475,389,318,247,190,139,90,57,29,10,4,1,0,0,0
10,54,153,316,522,766,1018,1221,1352,1439,1469,1455,1400,1345,1269,1166,1023,907,771,646,559,495,428,372,316,250,200,157,119,87,59,34,14,5,1,1
10,55,158,327,532,773,1020,1241,1419,1590,1704,1737,1690,1597,1422,1207,1011,848,671,519,407,312,230,179,155,138,120,99,82,62,41,25,14,5,0,0
9,42,123,261,439,643,855,1043,1186,1296,1368,1401,1417,1397,1329,1236,1119,945,783,663,567,492,453,415,361,302,251,214,182,155,134,111,82,55,36,21
10,53,161,309,517,757,985,1168,1315,1389,1397,1367,1316,1242,1214,1165,1128,1046,976,859,747,613,502,401,289,202,134,87,37,12,2,0,0,0,0,0
10,52,158,312,520,772,1056,1282,1453,1564,1598,1530,1420,1297,1157,1033,927,840,745,666,571,483,408,339,271,220,176,133,111,89,70,54,39,23,13,6
10,50,156,313,530,775,1064,1306,1495,1639,1709,1675,1568,1430,1256,1095,953,845,748,648,547,439,341,256,186,134,97,64,38,21,10,2,0,0,0,0
10,57,159,325,553,818,1077,1273,1398,1457,1464,1440,1387,1301,1209,1112,993,899,815,738,651,567,480,401,309,219,146,82,40,14,6,0,0,0,0,0
10,54,158,313,539,800,1065,1298,1483,1554,1544,1511,1422,1315,1231,1152,1028,895,752,603,472,361,287,234,208,192,180,170,157,140,110,81,50,26,5,0
10,46,144,311,546,825,1129,1411,1654,1812,1922,1908,1798,1603,1397,1146,923,723,571,432,322,245,190,134,91,55,29,14,7,2,0,0,0,0,0,0
10,54,162,332,559,812,1076,1297,1457,1546,1614,1624,1579,1515,1412,1263,1082,907,736,589,456,367,288,222,169,125,77,47,18,5,0,0,0,0,0,0
10,48,145,296,481,680,871,1015,1146,1262,1362,1426,1473,1432,1336,1225,1093,944,820,712,591,501,428,370,323,285,250,208,170,135,110,86,66,46,31,17
10,58,172,332,540,777,999,1159,1279,1366,1418,1416,1373,1294,1195,1039,910,816,725,623,563,508,446,398,369,338,294,255,214,166,128,94,59,38,21,7
10,54,152,295,495,726,927,1095,1235,1295,1304,1311,1250,1171,1092,1003,904,848,795,749,708,650,592,520,458,392,339,282,230,172,130,94,61,34,19,7
10,48,133,266,452,653,849,1028,1172,1301,1387,1480,1539,1560,1513,1445,1329,1184,1028,850,691,531,381,253,164,94,43,15,1,0,0,0,0,0,0,0
