0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
10,72,201,381,572,755,926,1073,1224,1384,1554,1712,1869,2014,2124,2199,2235,2167,2019,1856,1768,1727,1704,1688,1689,1688,1689,1678,1566,1346,1099,931,815,677,538,450,414,392,373
10,74,222,441,690,928,1132,1310,1477,1639,1799,1917,2039,2096,2135,2155,2213,2229,2151,2032,1884,1733,1486,1284,1128,1067,1026,996,969,942,915,888,840,784,725,680,646,602,555
10,78,225,441,659,864,1052,1243,1427,1614,1795,1948,2041,2073,2102,2112,2087,2005,1917,1826,1713,1565,1410,1286,1187,1137,1095,1066,1012,941,875,834,810,794,762,701,640,598,595
10,74,223,423,639,839,1061,1262,1445,1590,1734,1846,1957,2042,2127,2155,2139,2109,2054,1988,1909,1857,1824,1800,1769,1763,1740,1709,1554,1347,1127,966,821,688,572,476,377,278,189
10,75,217,428,645,844,996,1113,1177,1239,1299,1372,1416,1446,1465,1483,1501,1516,1529,1523,1531,1524,1521,1469,1366,1266,1186,1185,1186,1182,1157,1135,1132,1141,1142,1060,961,848,811
10,73,225,444,675,881,1078,1273,1469,1655,1835,1961,2042,2072,2049,2022,1979,1933,1860,1801,1722,1610,1478,1409,1364,1302,1225,1167,1111,1007,889,786,730,676,629,591,563,533,504
10,73,224,434,670,899,1123,1337,1514,1669,1763,1850,1905,1971,1986,1982,1935,1900,1872,1851,1840,1771,1688,1574,1505,1410,1318,1202,1122,1044,998,961,936,891,817,718,620,541,477
10,79,228,429,625,796,963,1114,1233,1332,1400,1481,1520,1556,1568,1616,1619,1576,1495,1453,1428,1414,1404,1399,1364,1308,1236,1150,1077,1018,968,905,833,768,714,680,664,645,631
10,69,212,414,629,817,972,1114,1238,1362,1479,1579,1650,1689,1705,1691,1674,1670,1698,1721,1731,1743,1725,1718,1678,1630,1548,1473,1412,1317,1212,1111,1059,1020,963,882,800,736,694
10,72,220,439,678,918,1140,1351,1536,1696,1853,1981,2082,2155,2138,2070,1965,1918,1862,1806,1747,1710,1641,1562,1469,1415,1363,1350,1291,1189,1075,988,913,827,716,626,538,469,404
10,76,224,434,657,866,1047,1220,1360,1486,1599,1686,1716,1713,1719,1762,1810,1838,1860,1869,1888,1907,1930,1929,1875,1739,1597,1484,1432,1386,1339,1293,1223,1067,841,621,479,396,329
10,75,219,445,690,910,1096,1268,1433,1595,1729,1862,1962,2063,2119,2152,2181,2180,2124,2016,1887,1686,1447,1206,1079,994,942,876,796,711,624,557,507,478,458,450,444,435,419
10,70,205,400,607,782,936,1085,1228,1338,1421,1498,1575,1632,1666,1693,1717,1714,1705,1679,1632,1559,1467,1376,1280,1197,1129,1060,971,857,762,692,662,640,632,631,627,623,623
10,70,219,429,657,834,986,1114,1250,1371,1488,1577,1646,1671,1672,1679,1689,1685,1630,1540,1469,1413,1374,1319,1265,1216,1170,1126,1089,1053,1027,1009,1005,1015,1013,1016,1003,1006,999
10,63,201,401,619,819,992,1146,1288,1428,1550,1634,1705,1751,1767,1779,1819,1893,1948,1985,1953,1862,1679,1528,1422,1398,1386,1369,1341,1306,1267,1164,1052,931,860,772,696,604,507
10,80,229,445,679,917,1129,1317,1458,1589,1701,1803,1908,1972,2018,2020,2018,1997,1965,1907,1827,1735,1648,1580,1519,1454,1357,1204,1018,862,770,730,694,657,618,580,545,511,481
10,80,227,440,656,847,1023,1184,1345,1490,1615,1701,1692,1659,1600,1570,1507,1447,1399,1338,1240,1143,1089,1087,1083,1069,1041,1016,989,964,924,892,861,844,823,798,785,767,765
10,79,233,454,687,918,1152,1376,1552,1689,1775,1843,1907,1989,2053,2095,2121,2109,2070,1998,1919,1850,1774,1704,1580,1433,1246,1079,952,893,860,817,758,685,612,553,504,463,426
10,73,217,423,642,850,1031,1201,1356,1510,1633,1751,1862,1992,2095,2154,2155,2126,2093,2057,2012,1953,1897,1851,1784,1720,1650,1621,1570,1416,1240,1008,860,723,580,427,264,187,145
10,75,216,420,649,862,1079,1278,1484,1672,1859,2033,2172,2290,2335,2356,2336,2330,2324,2319,2250,2154,2043,1981,1869,1636,1329,1060,899,811,738,672,610,556,505,447,390,287,196
10,74,221,449,695,938,1170,1401,1626,1843,2027,2160,2235,2283,2313,2354,2393,2450,2464,2439,2342,2252,2117,1874,1571,1250,1052,898,805,716,621,535,449,377,315,271,237,209,185
10,72,220,441,683,917,1142,1345,1512,1657,1784,1899,1977,2067,2115,2167,2157,2169,2149,2139,2130,2059,1934,1752,1570,1384,1217,1106,1037,967,872,772,677,608,552,498,438,379,319
10,72,219,425,648,845,1046,1241,1413,1533,1588,1580,1563,1520,1446,1363,1302,1318,1340,1356,1333,1271,1225,1186,1156,1110,1070,1051,1037,1030,1017,1008,992,977,968,955,948,925,904
10,80,229,454,680,898,1081,1274,1459,1634,1777,1884,1965,2027,2061,2086,2073,2078,2076,2109,2139,2119,2065,2004,1950,1854,1592,1269,930,717,581,511,467,443,419,401,384,365,343
