0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
10,31,81,171,300,460,629,792,959,1113,1248,1382,1528,1672,1799,1913,1983,2048,2071,2124,2165,2227,2303,2383,2455,2489,2514,2489,2421,2279,2106,1909,1648,1426,1212,1046,891,785,668,575,501,440,386,334,295,273,244,230,215,194,155,126,93,65,39,19
10,28,76,157,272,421,605,801,1000,1192,1393,1565,1695,1833,1984,2059,2160,2226,2204,2187,2163,2094,2083,2084,2023,1986,1953,1871,1817,1742,1661,1560,1454,1319,1220,1112,1036,979,945,908,866,779,683,594,493,412,363,332,300,264,223,186,145,102,82,71
10,34,86,173,298,451,606,777,906,1027,1148,1252,1341,1455,1572,1633,1711,1763,1815,1847,1914,1949,1964,1956,1908,1860,1794,1745,1701,1622,1515,1411,1276,1147,1089,1007,944,879,805,723,674,613,596,555,526,488,472,442,432,417,420,417,422,410,385,368
10,37,89,163,296,456,617,798,977,1142,1306,1481,1620,1760,1905,2018,2080,2159,2245,2270,2292,2359,2352,2334,2290,2237,2171,2113,1977,1877,1723,1534,1360,1219,1061,941,831,730,650,573,521,483,446,419,391,370,354,340,335,341,335,320,314,269,226,167
10,31,78,165,282,423,603,778,944,1110,1291,1462,1594,1739,1890,2005,2089,2164,2196,2213,2181,2127,2084,2052,1966,1900,1811,1705,1570,1458,1338,1252,1166,1075,986,944,881,834,803,792,736,703,688,673,650,620,597,565,534,493,486,459,422,385,357,304
10,27,72,150,259,395,581,762,930,1086,1251,1376,1474,1573,1693,1772,1835,1920,1968,1955,1937,1895,1837,1774,1723,1649,1604,1532,1479,1424,1393,1352,1318,1279,1227,1145,1078,1018,925,877,849,782,718,699,658,628,617,607,570,532,486,461,428,406,393,386
10,31,65,123,217,335,481,637,796,927,1079,1186,1306,1404,1537,1626,1735,1847,1937,1992,2064,2115,2099,2083,2070,2024,1962,1931,1921,1894,1833,1760,1637,1477,1302,1129,985,862,753,665,599,544,517,508,496,487,482,465,448,420,414,384,367,345,334,323
10,45,105,209,342,502,674,849,995,1163,1327,1462,1591,1718,1846,1890,1959,1994,2012,1976,1952,1908,1846,1792,1742,1753,1722,1692,1625,1528,1410,1288,1177,1087,1025,945,908,892,900,872,868,835,798,745,745,699,657,599,532,456,409,366,345,322,288,260
10,26,66,139,245,346,484,617,731,870,1006,1139,1268,1425,1512,1603,1674,1719,1714,1715,1709,1700,1674,1664,1658,1656,1642,1639,1621,1603,1584,1551,1542,1564,1553,1537,1518,1477,1371,1311,1234,1151,1079,1045,958,852,760,660,551,470,431,395,363,339,308,275
10,36,83,166,287,432,593,784,950,1142,1291,1453,1615,1764,1869,2007,2142,2229,2330,2433,2534,2602,2638,2677,2727,2716,2669,2609,2460,2198,1945,1667,1415,1222,1074,940,809,678,550,442,345,295,249,204,180,147,109,78,59,33,18,10,7,3,0,0
10,24,68,149,257,386,555,739,940,1146,1351,1569,1780,1940,2133,2296,2437,2564,2698,2753,2787,2794,2752,2681,2593,2498,2345,2174,1983,1778,1587,1425,1297,1174,1085,968,847,706,578,462,367,288,237,197,150,119,94,67,45,28,16,7,1,0,0,0
10,29,81,161,281,424,580,745,902,1057,1234,1421,1555,1683,1796,1872,1941,2047,2151,2244,2335,2389,2390,2432,2407,2340,2265,2231,2089,1979,1864,1747,1576,1424,1275,1128,982,831,712,607,510,427,395,348,322,306,302,274,264,235,217,186,170,157,134,111
10,30,69,154,269,414,576,777,968,1146,1310,1449,1539,1605,1669,1722,1732,1756,1789,1789,1741,1782,1799,1798,1790,1861,1870,1877,1866,1876,1856,1849,1809,1736,1634,1499,1347,1205,1094,990,901,807,713,645,602,549,505,473,416,359,315,287,259,248,214,178
10,39,99,188,323,475,656,817,998,1153,1313,1406,1521,1620,1742,1838,1970,2046,2053,2052,2037,2013,2006,1975,1911,1831,1742,1628,1548,1437,1334,1216,1151,1079,995,931,883,780,691,648,589,542,518,508,492,482,468,454,453,443,431,416,412,398,401,393
10,34,69,143,248,385,532,684,826,975,1118,1255,1366,1444,1500,1511,1503,1483,1471,1447,1428,1383,1369,1341,1325,1302,1334,1332,1359,1362,1367,1341,1311,1285,1236,1202,1164,1154,1119,1089,1053,1027,1006,982,990,1026,1021,1017,1021,1018,970,945,916,839,756,679
10,34,78,156,260,400,573,738,910,1101,1245,1347,1455,1524,1547,1603,1636,1652,1705,1727,1718,1731,1727,1719,1718,1721,1713,1702,1624,1594,1563,1512,1497,1510,1468,1376,1312,1199,1069,961,906,853,807,784,749,722,675,651,618,599,551,523,475,435,394,358
10,31,76,161,271,398,575,761,936,1130,1299,1431,1577,1699,1782,1883,2000,2089,2168,2244,2298,2293,2258,2216,2181,2129,2057,1975,1898,1795,1679,1609,1544,1470,1361,1291,1208,1111,1012,919,819,723,625,540,478,421,346,287,231,194,143,106,79,52,29,15
10,34,83,169,300,445,601,775,952,1101,1295,1474,1615,1771,1917,2042,2183,2333,2408,2474,2538,2546,2494,2423,2345,2207,2055,1928,1835,1714,1559,1407,1250,1083,950,841,753,695,650,593,552,524,480,444,416,400,382,366,338,304,268,238,217,190,172,156
10,38,94,175,306,478,676,849,1024,1187,1367,1509,1699,1871,2030,2139,2265,2321,2378,2392,2366,2310,2282,2185,2096,1985,1871,1736,1656,1543,1481,1414,1347,1257,1208,1147,1074,995,922,823,723,647,578,511,470,419,371,314,265,218,183,139,115,102,82,68
10,30,82,157,274,409,554,680,812,927,1040,1158,1278,1416,1554,1646,1718,1803,1847,1882,1917,1920,1901,1877,1838,1792,1776,1735,1691,1641,1576,1499,1426,1327,1191,1084,974,890,840,787,735,708,673,620,610,599,576,536,501,446,420,398,383,373,369,356
10,34,79,159,280,431,600,791,975,1151,1326,1471,1601,1736,1850,1939,2021,2089,2143,2184,2228,2283,2306,2268,2210,2139,2081,1997,1934,1876,1778,1659,1540,1412,1273,1170,1058,971,888,812,741,641,552,476,409,338,300,260,227,203,179,152,137,121,102,83
10,36,76,144,250,380,542,719,865,1016,1110,1201,1272,1358,1422,1493,1553,1636,1695,1755,1853,1907,1962,2022,2059,2073,2089,2068,2025,1953,1848,1754,1658,1571,1497,1469,1434,1365,1281,1210,1123,1021,929,855,776,676,579,503,412,324,254,198,149,118,98,79
10,30,77,142,248,361,503,655,824,940,1097,1218,1327,1409,1539,1594,1662,1705,1764,1764,1791,1818,1829,1823,1831,1855,1882,1900,1927,1958,1952,1898,1884,1801,1683,1546,1446,1304,1209,1148,1099,1038,971,898,809,720,630,548,466,387,313,236,174,116,77,46
10,40,95,192,326,477,672,860,1041,1236,1416,1553,1695,1860,2016,2161,2273,2373,2401,2405,2393,2374,2361,2328,2258,2177,2108,1953,1838,1699,1562,1401,1288,1171,1089,1028,975,928,855,780,687,607,520,453,406,360,318,283,234,166,110,63,29,12,4,4
10,36,87,168,281,415,573,731,906,1097,1275,1489,1699,1887,2020,2182,2235,2300,2314,2372,2377,2390,2320,2256,2139,2019,1916,1797,1725,1662,1558,1485,1436,1355,1282,1238,1149,1094,1015,924,838,745,655,595,518,420,338,255,161,90,53,29,11,3,0,0
10,35,84,164,287,440,625,809,986,1171,1350,1483,1652,1800,1909,2000,2127,2172,2236,2320,2411,2442,2505,2519,2467,2385,2292,2140,1966,1776,1536,1279,1082,903,781,681,617,559,513,476,438,429,406,393,375,365,347,329,320,299,296,290,279,269,248,238
10,30,74,146,260,410,574,736,920,1083,1228,1395,1549,1697,1843,2000,2141,2221,2294,2327,2301,2234,2204,2136,2088,2048,2003,1967,1929,1882,1813,1726,1615,1469,1336,1217,1125,1025,923,807,700,587,493,432,375,334,290,278,270,257,230,216,175,143,116,92
10,29,76,147,273,426,601,791,994,1151,1317,1464,1600,1740,1860,1997,2126,2213,2253,2312,2327,2319,2310,2288,2258,2174,2082,1986,1902,1820,1759,1672,1593,1461,1316,1167,1036,904,815,721,646,587,534,488,430,371,316,253,195,160,131,108,95,82,71,55
10,29,75,152,254,393,538,702,857,1010,1140,1270,1370,1484,1596,1700,1772,1858,1895,1926,1971,2024,2051,2108,2125,2104,2041,1955,1819,1694,1593,1524,1431,1375,1306,1224,1174,1142,1082,1050,1011,939,878,837,768,702,617,566,489,428,360,320,252,205,167,131
10,37,87,171,310,475,643,829,1020,1175,1335,1454,1568,1633,1687,1729,1789,1843,1911,2013,2082,2168,2190,2249,2260,2245,2222,2186,2122,2011,1931,1812,1714,1616,1567,1484,1427,1370,1281,1137,971,767,566,365,219,121,65,31,16,5,1,0,0,0,0,0
10,30,81,178,290,428,617,830,1009,1190,1400,1575,1704,1842,1978,2064,2100,2138,2122,2053,1983,1907,1792,1717,1660,1619,1557,1516,1466,1451,1362,1354,1342,1330,1296,1301,1239,1158,1103,1030,956,906,875,764,695,616,554,488,473,442,391,349,314,271,222,205
10,27,69,152,264,401,584,778,977,1191,1382,1566,1736,1892,1986,2092,2208,2254,2296,2362,2381,2329,2288,2204,2081,1945,1800,1657,1531,1412,1305,1208,1134,1045,974,914,856,807,759,736,697,665,631,600,560,527,488,464,438,402,362,333,287,253,216,199
