0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
10,19,39,77,110,148,188,208,248,294,304,334,380,430,461,494,517,529,572,593,597,630,673,711,733,700,715,749,795,830,828,871,891,925,931,855,835,868,846,843,863,864,831,786,711,631,646,651,624,606,574,533,483,472,460,450,441,409,405,377,359,342,305,276,264,267,243,229,237,217,196
10,28,52,82,120,157,199,243,301,376,437,521,601,631,669,702,716,716,738,784,760,755,793,781,782,788,804,835,840,830,815,838,872,923,940,921,935,974,996,968,954,906,829,781,707,620,587,571,538,502,434,396,374,344,346,341,340,334,286,265,267,253,232,229,233,215,187,160,141,121,103
10,30,56,101,146,198,260,326,370,433,505,572,639,704,727,710,738,778,824,848,854,867,889,919,943,962,993,1018,1047,1094,1102,1091,1104,1098,1049,1006,963,920,934,907,831,793,756,728,690,697,673,584,517,440,395,363,348,326,299,268,215,166,114,75,39,14,8,6,6,2,0,0,0,0,0
10,31,61,105,159,204,265,346,402,454,528,599,641,701,728,771,814,840,886,860,868,882,887,914,944,976,1021,1056,1053,1064,1038,997,954,923,907,895,870,844,844,770,666,568,478,410,354,323,305,300,295,274,247,234,237,228,218,216,215,212,212,216,208,204,187,186,191,181,183,188,200,184,163
10,29,58,109,159,208,267,335,407,472,536,595,653,727,780,820,871,908,908,926,960,946,940,935,925,952,933,934,937,901,905,916,946,937,939,933,881,857,856,859,828,781,762,725,673,629,585,550,508,474,447,393,333,283,227,173,157,148,119,111,109,101,90,79,78,94,92,67,48,44,48
10,32,59,101,157,230,280,329,418,486,546,605,692,751,801,902,974,1021,1036,1036,1023,1017,1009,965,978,1032,1020,1009,1021,994,944,888,865,865,849,873,918,900,823,780,758,684,619,569,533,533,502,442,394,351,326,313,294,269,234,199,204,197,161,147,128,117,117,96,77,73,80,80,70,57,46
10,29,60,98,138,180,231,314,386,445,481,539,607,659,724,764,761,768,823,866,952,1011,1017,1003,1006,1033,1011,950,936,965,937,913,888,852,894,936,917,879,826,786,734,680,637,596,616,599,519,498,450,403,410,392,377,364,338,296,271,263,247,250,241,216,190,172,157,121,95,84,69,65,58
10,30,60,113,179,235,298,371,434,501,573,640,696,786,845,885,930,976,1027,1031,1054,1082,1096,1097,1090,1050,1000,953,893,815,751,748,779,772,749,741,662,581,549,555,539,500,504,519,521,496,484,462,445,451,417,382,350,349,342,326,317,295,286,283,285,259,219,200,192,178,158,127,105,89,83
10,31,57,89,132,186,239,296,347,386,427,504,586,652,709,731,796,906,963,973,978,978,966,943,909,925,950,961,975,963,920,913,947,945,941,945,938,934,905,838,828,807,741,700,694,703,681,634,570,506,465,412,360,316,278,250,225,195,157,127,105,96,78,62,49,42,39,33,32,27,25
10,25,57,109,151,197,244,302,378,454,510,544,602,668,714,775,795,814,851,841,854,885,944,984,1003,1004,994,1004,989,968,906,871,874,837,792,772,788,773,775,755,693,682,672,657,632,614,577,515,477,459,451,417,374,365,353,310,263,233,213,215,213,199,183,166,159,138,116,109,93,83,82
10,31,59,90,133,199,264,323,385,462,540,587,643,686,704,750,806,847,886,932,988,1043,1069,1127,1176,1163,1206,1231,1214,1202,1196,1154,1114,1115,1062,990,942,875,810,734,630,542,514,486,423,381,330,294,273,261,249,252,241,219,198,191,189,166,167,167,145,151,160,141,109,77,65,61,54,48,38
10,26,53,92,136,203,278,332,388,473,535,580,642,726,806,823,800,823,875,886,940,975,955,952,971,957,969,1007,1008,1040,1027,982,903,812,742,722,737,720,716,712,739,743,697,645,584,545,516,509,471,413,394,344,314,300,270,256,231,216,218,220,209,189,183,170,154,147,128,116,109,107,98
10,31,68,105,146,209,267,327,381,413,469,556,597,636,674,688,739,791,834,883,946,948,928,976,999,1008,1015,1007,988,954,918,923,951,968,942,927,940,931,908,820,731,651,579,560,571,574,528,469,427,385,351,341,335,304,287,278,245,224,200,158,150,152,139,133,127,131,132,115,106,95,91
10,27,63,107,144,200,262,324,395,466,519,546,602,672,723,771,810,804,800,843,872,920,954,946,946,933,935,930,954,1011,1018,989,930,864,834,802,785,792,755,732,710,693,613,532,515,462,450,443,393,367,373,370,336,302,283,275,263,245,232,219,219,212,214,209,196,182,159,150,147,146,122
10,31,70,114,166,227,271,299,323,381,454,540,610,664,714,749,771,781,773,808,842,838,858,862,880,887,884,913,938,908,903,934,918,906,909,922,883,784,748,765,736,696,687,671,648,650,612,544,510,466,417,353,321,299,281,276,237,218,225,198,179,182,191,205,184,165,162,161,142,115,105
10,32,67,107,156,211,268,348,419,444,474,532,565,597,639,654,677,695,720,766,802,824,806,803,829,807,774,789,832,864,851,859,879,898,892,843,833,825,809,806,805,814,810,780,745,703,721,777,779,737,731,729,669,601,537,449,385,345,271,196,148,115,97,78,50,34,21,11,3,1,0
10,30,57,108,151,195,252,327,389,442,550,644,723,773,799,859,931,953,946,955,949,930,925,920,898,893,891,900,896,876,884,868,823,806,796,778,754,724,689,637,641,637,576,543,523,515,503,479,476,457,417,386,364,331,299,274,267,262,243,229,223,208,194,191,195,192,161,149,147,137,129
10,29,54,86,139,196,242,294,348,419,532,606,629,687,748,807,819,829,884,855,836,861,863,894,896,858,853,812,778,836,864,839,848,837,817,831,813,775,768,786,757,693,690,709,687,657,620,537,483,443,416,390,324,279,256,260,259,249,254,260,223,203,207,184,165,151,151,145,121,110,101
10,32,70,113,160,203,267,346,378,432,507,544,599,628,653,713,756,808,833,846,855,828,832,849,865,881,901,947,962,964,939,894,875,844,828,804,745,659,604,610,592,562,528,493,470,460,454,458,432,402,398,389,411,378,314,313,319,310,303,284,251,217,204,204,194,179,166,175,190,184,170
10,27,56,94,141,196,275,353,386,445,482,531,614,676,716,751,790,809,867,887,946,1019,1025,1046,1064,1027,960,898,886,889,844,829,778,735,696,673,679,662,634,582,540,537,542,537,539,490,444,424,406,398,398,382,340,311,290,272,256,265,269,255,231,210,202,203,202,200,196,183,166,148,156
10,29,67,125,193,253,314,392,454,505,554,614,674,700,735,835,881,866,882,903,929,954,961,956,921,892,889,851,881,930,905,868,856,858,873,899,905,868,787,725,685,646,609,592,591,587,540,506,493,459,447,421,388,361,357,340,304,289,246,200,170,149,124,102,98,113,115,93,75,64,59
10,32,64,103,144,197,258,317,385,448,523,586,663,758,768,741,749,792,819,844,880,879,850,905,921,905,951,938,926,940,980,961,905,844,778,762,706,647,606,573,552,540,539,494,452,435,411,391,427,463,456,415,378,352,308,305,319,332,316,273,252,246,229,215,208,191,189,166,146,142,131
