0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
10,55,131,207,258,320,340,346,336,312,293,273,261,256,212,192,163,147,143,130,114,113,103,104,97,93,88,86,90,81,79,67,57,50,38,37,31,27,24,18,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,59,137,216,280,331,360,372,393,400,417,401,323,273,241,223,189,163,113,105,108,109,99,101,96,83,70,49,31,22,14,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,62,145,226,273,328,368,347,351,359,351,334,273,244,207,186,157,140,138,127,126,128,126,116,111,84,81,73,73,56,47,40,31,26,21,15,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,61,136,219,268,301,346,351,353,346,359,371,346,332,294,261,243,212,188,180,133,93,81,68,62,46,37,33,22,17,12,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,67,145,228,289,342,352,366,382,391,404,430,388,325,249,196,172,156,135,122,114,88,64,59,51,45,38,38,33,31,26,21,19,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,57,129,215,267,291,301,324,346,364,382,393,405,381,343,311,298,233,212,174,113,92,66,39,26,15,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,59,131,207,254,308,351,391,408,443,458,461,459,397,338,267,211,172,141,110,79,61,41,22,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,57,136,210,266,312,336,332,341,332,288,269,254,245,187,162,157,149,141,134,129,127,116,116,107,105,97,94,89,79,76,63,60,50,39,32,27,23,18,14,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,55,122,189,251,309,363,404,394,364,346,340,331,307,267,245,181,165,159,154,145,133,114,100,94,75,60,46,35,23,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,68,146,211,265,314,356,380,354,362,360,322,318,315,293,276,250,210,186,146,128,109,97,84,72,60,51,36,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,59,137,204,248,268,309,338,342,366,374,373,358,342,330,296,262,240,191,164,148,98,60,50,41,35,35,27,23,21,18,15,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,59,137,201,265,330,374,438,446,461,479,447,411,329,258,215,189,171,143,100,80,58,46,38,30,26,21,15,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,59,139,203,259,312,363,373,398,410,385,361,359,328,315,295,266,217,191,120,82,51,43,41,36,31,28,25,23,20,17,14,11,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
