0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
10,37,113,236,425,647,892,1142,1353,1563,1711,1813,1891,1925,1981,1996,2002,1971,1877,1808,1752,1708,1671,1642,1631,1627,1642,1635,1594,1547,1509,1490,1437,1398,1343,1308,1279,1244,1214,1152,1097,1036,1011,995,989,1003,960,930,902,875,862,848,825,794,766,704,643,589,534,490,470,429,381,345,296,249,227
10,38,113,244,391,573,778,979,1212,1441,1645,1873,2078,2282,2478,2607,2714,2785,2849,2899,2933,2968,2918,2869,2759,2573,2477,2348,2216,2094,1901,1702,1544,1440,1366,1345,1328,1301,1232,1118,1016,871,756,663,550,467,378,291,215,154,102,56,28,7,1,0,0,0,0,0,0,0,0,0,0,0,0
10,41,120,255,441,645,856,1049,1239,1447,1629,1832,2004,2166,2334,2499,2666,2809,2913,2994,3018,3033,3068,3064,3009,2955,2826,2681,2535,2272,2057,1800,1597,1485,1317,1178,1009,822,677,556,480,429,394,354,333,311,294,281,274,257,246,243,224,218,196,168,136,99,66,40,19,5,1,0,0,0,0
10,52,142,286,470,686,883,1053,1203,1317,1441,1555,1681,1775,1862,1941,1973,2052,2073,2144,2186,2206,2295,2303,2380,2429,2423,2442,2446,2426,2419,2344,2223,2059,1870,1693,1495,1372,1236,1163,1094,1005,935,832,771,713,665,615,561,512,459,429,374,311,249,179,122,79,42,15,5,0,0,0,0,0,0
10,44,127,258,432,643,863,1086,1316,1531,1703,1819,1877,1887,1871,1896,1888,1919,1922,1888,1836,1766,1713,1670,1687,1689,1710,1705,1720,1687,1687,1692,1621,1590,1529,1456,1428,1382,1319,1263,1173,1105,1042,989,976,951,935,917,889,883,879,874,876,860,838,805,732,641,535,428,339,266,208,160,123,102,87
10,47,131,268,454,665,871,1077,1255,1465,1689,1914,2113,2285,2446,2545,2672,2786,2806,2818,2760,2656,2573,2458,2349,2247,2117,1972,1827,1652,1525,1423,1322,1220,1120,1041,964,926,878,833,797,744,692,645,583,531,477,445,454,431,432,421,412,413,400,385,359,358,349,344,335,301,280,244,212,193,172
10,44,125,251,394,580,746,935,1138,1292,1500,1689,1865,2073,2225,2339,2424,2512,2574,2602,2628,2586,2529,2483,2391,2278,2162,2063,2025,1986,1940,1857,1768,1700,1608,1574,1488,1365,1277,1134,1001,932,871,813,787,730,634,539,440,361,328,307,293,279,255,234,211,178,149,124,100,81,62,47,31,17,9
10,40,108,227,385,568,792,997,1208,1433,1611,1773,1937,2022,2128,2224,2269,2342,2350,2293,2235,2178,2107,2077,1988,1871,1782,1692,1657,1628,1570,1509,1420,1331,1267,1221,1169,1113,1071,1001,966,930,894,855,793,737,659,617,577,537,511,479,469,463,443,439,437,429,422,404,392,392,404,406,401,388,366
10,36,100,221,386,588,808,1017,1223,1419,1623,1780,1891,1983,2023,2081,2129,2186,2252,2298,2380,2423,2449,2517,2526,2497,2432,2320,2230,2169,2123,2085,2035,1973,1918,1864,1805,1760,1682,1580,1453,1295,1152,986,795,599,404,235,130,66,28,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,43,124,274,463,664,870,1025,1153,1263,1347,1436,1535,1650,1734,1817,1883,1953,2045,2081,2108,2065,2037,2013,2002,1999,1959,1940,1877,1864,1815,1793,1744,1630,1545,1402,1280,1198,1115,1049,992,921,854,798,729,700,662,621,612,572,549,527,512,504,493,490,488,463,457,438,429,437,416,428,400,374,359
10,50,136,275,479,705,936,1148,1342,1544,1723,1895,2041,2168,2267,2374,2430,2413,2428,2399,2347,2317,2245,2188,2166,2138,2092,2026,1985,1928,1871,1820,1712,1611,1558,1467,1389,1305,1180,1071,980,899,842,802,777,754,727,682,619,560,499,445,385,331,268,227,204,178,173,155,124,93,49,20,4,0,0
10,37,105,238,407,618,825,1014,1205,1410,1586,1764,1916,2034,2155,2285,2399,2477,2563,2599,2620,2681,2706,2742,2795,2768,2782,2755,2697,2670,2572,2487,2394,2217,1965,1652,1337,1091,962,882,766,644,506,376,305,239,188,144,102,85,67,49,40,23,12,7,1,0,0,0,0,0,0,0,0,0,0
10,43,122,249,413,601,802,998,1199,1366,1540,1736,1881,1992,2052,2072,2074,2150,2198,2213,2254,2205,2152,2066,2001,1926,1817,1737,1614,1525,1474,1411,1333,1251,1170,1099,1042,997,965,925,911,900,877,862,822,774,736,695,671,644,610,588,553,529,509,484,474,462,431,411,374,342,327,312,317,313,302
10,43,124,244,422,600,801,1011,1174,1338,1445,1523,1570,1663,1747,1816,1930,1980,2027,2075,2107,2138,2195,2266,2306,2340,2356,2374,2354,2308,2237,2109,2034,1946,1835,1751,1643,1550,1470,1380,1270,1174,1079,986,929,863,818,771,693,603,497,399,334,293,267,228,183,141,93,60,35,14,3,1,0,0,0
