0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
10,24,60,99,157,224,299,378,471,551,621,657,701,745,758,762,753,764,779,805,861,938,972,987,938,932,907,913,877,857,860,846,846,832,841,864,891,911,923,904,924,931,950,961,958,934,902,880,880,892,883,863,834,809,794,798,818,829,825,815,825,814,820,797,766,702,630,561,521,509,521,501,474,449,433,420,404,386,364,307,237,178,149,137,121,116,101,88,65,53,45,39,35,28,21,15,9,5
10,28,62,103,168,239,311,380,455,531,592,659,698,762,837,914,967,974,1029,1078,1122,1161,1216,1273,1287,1260,1259,1236,1285,1273,1263,1226,1214,1198,1151,1111,1066,1071,1078,1082,1054,1036,1040,993,984,950,959,918,884,837,780,751,724,701,686,665,662,671,670,665,622,588,553,531,486,448,422,415,402,357,327,282,252,226,179,139,85,56,35,21,14,9,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,25,64,115,180,248,302,366,433,504,597,655,750,814,890,976,1030,1131,1196,1269,1315,1343,1410,1389,1412,1384,1396,1364,1330,1341,1334,1331,1318,1332,1339,1305,1242,1144,1089,1008,984,924,881,840,806,815,800,787,738,698,673,655,647,611,579,534,490,443,411,396,390,366,364,344,339,305,294,283,274,267,251,256,239,236,220,207,198,183,175,165,155,144,116,98,79,72,55,44,34,29,27,23,18,10,4,2,1,0
10,26,66,127,215,298,389,455,523,592,682,780,855,957,1045,1159,1207,1250,1317,1386,1452,1474,1482,1508,1508,1554,1532,1503,1453,1447,1446,1411,1402,1342,1310,1216,1185,1163,1137,1111,1046,1008,979,972,953,900,823,757,687,644,607,584,547,497,451,398,378,342,321,292,256,238,214,218,208,186,165,160,154,149,142,136,132,125,122,116,103,98,99,97,90,74,57,50,41,39,26,16,7,4,2,1,1,1,1,1,0,0
10,25,57,101,165,232,304,382,470,568,644,717,797,870,913,941,973,1030,1071,1069,1068,1043,1074,1089,1082,1067,1049,1049,1072,1055,1058,1020,1004,1006,1034,1074,1079,1085,1062,1028,973,953,931,883,846,810,791,764,779,757,734,693,688,672,636,604,608,601,607,573,571,558,555,540,531,499,492,469,482,453,445,407,396,369,355,340,343,350,347,337,302,278,232,182,127,83,61,45,36,31,23,19,14,11,6,4,2,1
10,28,65,109,156,228,314,392,455,526,625,705,762,801,851,862,913,959,1035,1074,1118,1170,1169,1185,1155,1144,1126,1106,1102,1032,979,934,926,939,893,866,809,824,805,799,787,765,756,734,749,747,772,768,768,726,692,685,648,594,515,479,470,461,454,457,466,449,436,425,439,423,421,396,390,381,378,381,360,368,373,386,368,335,303,284,271,268,269,272,261,254,238,229,221,215,211,201,196,181,162,147,152,168
10,31,66,117,175,246,332,447,558,647,739,808,908,975,1083,1164,1252,1317,1405,1458,1475,1493,1481,1545,1568,1605,1590,1564,1535,1496,1418,1433,1410,1431,1372,1353,1295,1231,1119,1018,906,842,792,761,718,667,597,547,494,474,454,427,390,354,342,328,302,276,264,270,268,262,248,238,229,218,207,205,204,210,220,213,210,201,198,190,179,181,167,146,116,114,106,104,93,87,78,68,68,68,60,46,33,25,21,15,13,7
10,27,60,104,157,218,295,387,473,550,611,709,783,856,917,967,1011,1039,1096,1159,1219,1224,1257,1265,1308,1322,1361,1396,1361,1318,1261,1264,1253,1219,1199,1186,1196,1144,1086,1054,1036,994,948,913,899,876,878,876,866,807,752,721,715,692,647,610,586,549,534,500,493,463,428,382,334,285,250,231,226,201,182,172,167,157,151,152,151,151,149,142,140,134,125,114,95,91,75,75,58,52,37,31,20,17,11,10,7,5
10,21,52,96,167,235,312,382,461,523,578,630,687,738,776,813,862,899,951,988,1017,1022,1046,1090,1122,1139,1183,1192,1217,1189,1232,1229,1257,1263,1285,1290,1264,1244,1212,1196,1163,1129,1094,1033,1001,977,1012,1010,998,936,860,761,711,664,627,575,546,499,462,435,435,407,382,382,377,362,342,340,330,314,303,315,294,278,248,245,220,197,173,141,132,119,124,115,97,88,69,63,60,55,53,46,43,41,35,30,23,19
10,33,74,134,186,258,323,413,480,551,613,675,746,859,993,1067,1129,1165,1241,1285,1350,1435,1490,1494,1473,1473,1470,1482,1413,1408,1375,1426,1423,1407,1384,1341,1321,1259,1201,1145,1081,1006,892,811,783,746,677,588,519,519,513,488,441,402,406,407,401,411,414,421,384,350,323,326,327,323,311,290,273,254,239,225,207,193,183,174,167,148,129,117,112,98,85,71,70,61,59,51,49,42,41,30,20,9,5,1,0,0
