0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,0,0,0,0,1,6,18,36,64,98,142,189,245,311,390,471,563,652,754,863,990,1109,1243,1384,1528,1668,1816,1977,2109
0,0,0,0,0,0,1,4,16,32,62,96,139,188,236,288,339,405,460,527,597,673,747,825,903,992,1088,1183,1279,1378,1482
0,0,0,0,0,0,1,6,19,39,66,100,130,173,217,262,309,363,418,475,540,607,679,750,830,908,994,1083,1174,1274,1379
0,0,0,0,0,0,1,5,18,42,68,103,143,186,244,307,378,466,556,653,758,871,991,1115,1253,1394,1537,1696,1857,2020,2197
0,0,0,0,0,0,1,5,13,22,36,56,79,105,138,172,206,243,283,330,371,419,468,522,571,628,688,750,817,884,954
0,0,0,0,0,0,1,8,19,39,75,112,155,205,265,331,407,484,569,665,771,881,1002,1136,1263,1403,1556,1714,1885,2059,2229
0,0,0,0,0,0,1,4,8,17,28,44,66,92,120,155,192,232,279,327,380,429,487,552,617,693,770,847,929,1014,1104
0,0,0,0,0,0,1,8,23,43,73,109,151,201,259,325,399,473,562,652,751,866,985,1110,1241,1377,1524,1682,1847,2012,2196
0,0,0,0,0,0,1,4,15,33,57,92,131,181,229,295,364,443,525,617,717,822,935,1046,1166,1283,1403,1528,1651,1780,1921
0,0,0,0,0,0,1,6,19,43,71,109,150,197,252,319,392,472,560,655,755,864,984,1110,1243,1386,1534,1684,1856,2026,2202
0,0,0,0,0,0,1,5,17,35,60,89,127,167,209,254,307,360,417,476,546,613,685,763,848,932,1016,1104,1200,1296,1401
0,0,0,0,0,0,1,6,18,39,68,103,143,199,256,317,393,466,561,661,764,876,987,1112,1247,1385,1520,1640,1759,1874,1992
0,0,0,0,0,0,1,7,20,37,63,95,139,185,239,303,377,459,544,635,735,839,963,1068,1177,1290,1398,1511,1627,1745,1867
0,0,0,0,0,0,1,7,20,36,55,73,92,115,142,172,201,237,272,311,352,398,444,497,551,605,661,722,789,858,925
0,0,0,0,0,0,1,6,14,27,41,60,83,112,143,177,215,257,304,351,405,461,520,586,654,725,805,881,970,1059,1153
0,0,0,0,0,0,1,6,16,42,70,106,150,205,263,335,409,488,581,679,781,889,1007,1129,1250,1362,1493,1620,1761,1897,2036
0,0,0,0,0,0,1,3,12,30,53,84,122,170,226,287,352,428,515,609,711,819,933,1054,1180,1315,1462,1619,1774,1941,2115
0,0,0,0,0,0,1,5,16,33,58,89,129,181,236,297,370,448,534,635,737,848,965,1087,1215,1357,1502,1657,1824,1989,2166
0,0,0,0,0,0,1,5,20,42,68,102,147,197,257,322,400,479,565,665,769,876,997,1126,1263,1398,1551,1687,1846,1990,2148
0,0,0,0,0,0,1,6,19,40,69,103,143,189,252,320,392,471,559,647,755,862,983,1106,1235,1381,1535,1691,1852,2029,2203
0,0,0,0,0,0,1,5,18,37,63,97,135,183,241,304,375,453,537,631,728,842,962,1087,1221,1360,1503,1666,1825,1991,2176
0,0,0,0,0,0,1,8,19,37,67,101,146,196,256,323,397,473,559,658,761,865,981,1109,1241,1387,1523,1678,1842,2020,2200
0,0,0,0,0,0,1,6,17,33,52,78,106,134,165,202,243,289,337,386,443,496,554,616,676,739,807,873,945,1024,1103
0,0,0,0,0,0,1,5,20,40,70,106,152,206,266,332,407,487,577,669,775,882,994,1129,1251,1382,1527,1664,1794,1945,2088
0,0,0,0,0,0,1,5,17,35,59,94,137,179,231,295,362,439,520,602,701,803,921,1046,1171,1292,1423,1550,1683,1815,1958
0,0,0,0,0,0,1,8,20,40,67,103,145,189,239,308,378,461,548,638,741,855,967,1093,1223,1370,1522,1680,1843,2014,2195
0,0,0,0,0,0,1,7,20,45,74,109,153,204,257,315,377,437,503,578,653,726,800,884,965,1063,1157,1252,1356,1465,1565
0,0,0,0,0,0,1,6,19,40,70,101,143,195,251,312,380,459,549,644,743,851,962,1089,1225,1348,1463,1584,1709,1832,1951
0,0,0,0,0,0,1,8,20,35,53,77,104,135,166,202,243,284,335,386,439,501,563,637,707,782,862,945,1033,1126,1217
0,0,0,0,0,0,1,3,10,23,46,71,100,136,169,211,257,304,358,418,477,537,600,662,728,799,873,952,1031,1112,1191
0,0,0,0,0,0,1,7,20,38,69,107,153,199,249,299,353,409,472,537,612,684,760,840,919,1001,1090,1181,1282,1384,1486
0,0,0,0,0,0,1,6,19,38,70,102,144,196,254,313,378,461,551,641,745,857,971,1088,1224,1377,1519,1673,1809,1951,2107
0,0,0,0,0,0,1,7,18,36,67,103,146,192,252,319,392,474,557,645,735,825,922,1022,1116,1218,1326,1429,1534,1643,1752
0,0,0,0,0,0,1,4,13,32,59,91,136,183,239,306,381,461,547,641,743,855,966,1090,1226,1363,1513,1667,1832,2002,2180
0,0,0,0,0,0,1,8,21,40,67,99,144,194,246,309,383,469,553,643,730,845,962,1093,1229,1363,1513,1645,1788,1941,2094
0,0,0,0,0,0,1,8,20,38,66,95,140,190,236,283,336,393,451,525,592,664,734,811,900,975,1063,1157,1253,1351,1458
