0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,0,0,10,19,38,78,125,193,303,419,563,729,924,1144,1406,1690,2014,2363,2719,3126,3572,4028,4511,5019,5525,5990,6432,6937,7436,7896,8380,8829,9243,9638,10031,10399,10747,11077,11371,11669,11942,12213,12464,12658,12829,13007,13157,13290,13434,13578,13703,13819,13914,14005,14083,14180,14264,14341,14394,14445,14489,14525,14552,14577,14593,14598,14602
0,0,0,10,29,61,95,157,249,351,481,643,819,1010,1236,1482,1719,2001,2299,2614,2956,3307,3675,4082,4496,4898,5292,5697,6075,6430,6817,7193,7556,7904,8259,8576,8924,9246,9567,9884,10194,10505,10798,11102,11366,11643,11922,12183,12454,12697,12915,13102,13287,13430,13587,13733,13881,14022,14164,14275,14370,14449,14524,14572,14606,14627,14637,14642
0,0,0,10,16,36,77,123,194,274,398,530,668,863,1064,1293,1553,1829,2117,2426,2727,3060,3394,3760,4132,4493,4884,5280,5687,6070,6448,6810,7172,7514,7831,8136,8450,8748,9057,9309,9565,9802,10047,10292,10530,10761,10977,11198,11398,11606,11819,11998,12143,12287,12436,12554,12686,12812,12911,13011,13111,13212,13316,13423,13534,13645,13748,13839
0,0,0,10,23,47,86,144,220,312,430,577,748,947,1169,1413,1671,1927,2202,2476,2749,3032,3294,3584,3888,4198,4512,4859,5220,5581,5973,6336,6740,7119,7502,7914,8284,8682,9069,9449,9807,10159,10466,10811,11096,11356,11635,11878,12108,12327,12540,12757,12938,13114,13281,13415,13548,13672,13766,13873,13973,14048,14119,14177,14228,14281,14320,14356
0,0,0,10,26,56,100,161,231,326,438,592,753,913,1105,1300,1505,1726,1940,2174,2407,2640,2887,3170,3437,3713,3972,4256,4537,4799,5082,5380,5658,5959,6258,6571,6903,7209,7498,7776,8094,8390,8696,8977,9292,9617,9923,10206,10474,10733,10989,11220,11422,11603,11755,11904,12042,12168,12307,12446,12577,12699,12824,12961,13074,13202,13312,13424
0,0,0,10,22,47,80,143,217,315,428,566,724,897,1111,1321,1549,1782,2054,2332,2626,2926,3240,3597,3935,4301,4699,5088,5454,5795,6142,6457,6757,7054,7322,7601,7878,8133,8397,8658,8913,9203,9480,9734,9999,10252,10476,10721,10950,11173,11405,11617,11818,11997,12165,12331,12493,12646,12787,12921,13048,13179,13305,13421,13527,13636,13733,13812
0,0,0,10,18,44,83,134,208,314,434,547,719,911,1115,1355,1635,1906,2217,2549,2883,3218,3580,3941,4318,4697,5087,5478,5901,6308,6701,7085,7459,7811,8192,8549,8893,9228,9557,9880,10162,10467,10773,11077,11399,11676,11940,12190,12414,12615,12784,12942,13084,13213,13332,13454,13558,13651,13742,13816,13890,13956,14006,14063,14120,14181,14247,14299
0,0,0,10,24,63,120,212,304,424,562,728,929,1129,1352,1578,1821,2057,2299,2564,2842,3099,3424,3729,4017,4329,4643,4944,5259,5595,5920,6236,6550,6857,7156,7454,7777,8102,8422,8746,9042,9335,9610,9900,10175,10473,10762,11032,11277,11543,11782,12014,12239,12459,12678,12875,13049,13214,13372,13499,13600,13701,13793,13877,13947,14002,14051,14091
0,0,0,10,29,67,127,189,270,379,505,670,820,978,1176,1416,1641,1920,2195,2486,2788,3063,3389,3701,3997,4288,4596,4915,5215,5532,5842,6141,6478,6775,7087,7368,7660,7966,8247,8522,8806,9073,9333,9619,9902,10190,10461,10737,11003,11239,11488,11707,11908,12127,12319,12492,12651,12814,12982,13114,13227,13341,13443,13563,13662,13759,13857,13952
0,0,0,10,21,46,96,170,274,399,552,734,948,1177,1405,1650,1934,2205,2509,2812,3118,3437,3752,4100,4444,4802,5159,5525,5914,6320,6734,7121,7522,7888,8273,8645,9016,9361,9720,10032,10363,10673,10956,11240,11486,11716,11948,12167,12368,12552,12750,12942,13136,13302,13455,13609,13744,13853,13953,14042,14123,14190,14258,14320,14361,14405,14441,14471
