0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,0,0,0,10,16,24,40,60,75,100,128,162,200,228,266,315,363,415,464,529,599,670,757,856,962,1049,1163,1267,1371,1495,1610,1747,1873,1998,2123,2264,2409,2578,2735,2923,3100,3275,3470,3648,3833,4039,4276,4503,4738,4975,5218,5468,5708,5931,6227,6480,6730,6985,7260,7503,7756,8026,8278,8515,8772,9016,9286
0,0,0,0,10,16,27,43,61,78,97,120,147,173,206,251,297,344,395,453,523,592,663,732,809,890,976,1066,1149,1241,1358,1469,1599,1734,1868,2010,2145,2280,2434,2579,2748,2893,3066,3217,3394,3582,3737,3895,4077,4234,4392,4552,4727,4904,5075,5253,5423,5614,5816,6004,6217,6416,6642,6852,7075,7293,7499,7728
0,0,0,0,10,14,24,36,53,79,115,142,179,218,261,308,357,413,485,548,628,713,806,902,1006,1103,1211,1307,1418,1525,1661,1789,1938,2079,2229,2381,2524,2669,2821,2983,3175,3358,3549,3743,3952,4156,4364,4577,4784,4977,5188,5393,5616,5815,6028,6240,6453,6672,6899,7124,7348,7562,7774,8004,8218,8458,8704,8922
0,0,0,0,10,19,36,55,81,111,143,184,221,266,313,376,437,498,563,642,724,804,890,990,1084,1190,1282,1380,1487,1587,1713,1854,1990,2113,2254,2369,2498,2634,2784,2931,3095,3257,3424,3612,3779,3962,4159,4352,4537,4723,4920,5099,5290,5465,5637,5820,6013,6204,6386,6554,6737,6949,7154,7357,7570,7776,8001,8196
0,0,0,0,10,21,41,61,80,112,152,193,239,287,332,377,429,484,545,603,668,723,780,869,948,1019,1106,1203,1282,1360,1449,1517,1598,1697,1775,1869,1971,2067,2177,2285,2390,2501,2611,2708,2812,2927,3058,3178,3295,3424,3560,3678,3814,3936,4081,4226,4382,4533,4697,4860,5022,5191,5357,5515,5679,5875,6055,6242
0,0,0,0,10,13,26,39,56,80,104,137,178,215,278,330,394,455,523,583,662,746,829,929,1024,1114,1208,1322,1449,1569,1716,1835,1961,2090,2220,2359,2502,2643,2782,2945,3097,3262,3416,3585,3761,3943,4121,4305,4512,4706,4917,5136,5342,5549,5783,5996,6200,6434,6651,6894,7134,7405,7651,7918,8134,8399,8632,8857
0,0,0,0,10,20,34,50,69,95,125,153,193,233,276,331,386,459,532,616,695,797,882,975,1068,1180,1295,1433,1570,1726,1880,2033,2203,2363,2555,2743,2939,3157,3352,3553,3751,3939,4141,4355,4554,4756,4957,5128,5308,5508,5712,5898,6097,6299,6495,6686,6869,7034,7211,7379,7555,7708,7881,8034,8187,8343,8496,8632
0,0,0,0,10,17,28,41,58,77,93,120,139,170,202,238,281,330,374,419,473,526,586,651,697,757,810,886,965,1036,1108,1184,1269,1360,1451,1555,1650,1748,1867,1958,2069,2180,2297,2404,2520,2625,2728,2845,2938,3060,3184,3307,3437,3576,3717,3846,3965,4097,4244,4387,4537,4686,4850,5004,5149,5311,5492,5675
0,0,0,0,10,17,29,43,59,85,116,141,168,208,240,276,317,362,412,463,521,581,648,712,779,838,916,991,1065,1153,1221,1310,1400,1497,1597,1726,1853,1977,2097,2230,2359,2488,2631,2784,2948,3118,3267,3444,3614,3782,3943,4131,4304,4480,4667,4848,5049,5225,5401,5584,5755,5949,6144,6334,6539,6760,6977,7208
0,0,0,0,10,14,28,35,44,66,82,99,120,146,169,189,216,240,274,303,341,378,427,483,542,587,656,724,797,862,934,1004,1082,1161,1248,1332,1442,1528,1629,1742,1850,1968,2084,2180,2294,2419,2548,2665,2791,2908,3034,3154,3287,3413,3546,3678,3825,3954,4103,4234,4391,4538,4674,4823,4969,5108,5251,5397
0,0,0,0,10,18,34,51,73,96,118,142,172,207,248,290,335,398,455,509,583,650,718,797,888,978,1082,1190,1306,1432,1564,1712,1836,1991,2149,2321,2493,2675,2863,3048,3235,3443,3675,3887,4076,4298,4512,4731,4927,5154,5384,5613,5869,6095,6333,6564,6810,7045,7292,7509,7772,8022,8269,8505,8761,9014,9298,9569
0,0,0,0,10,21,28,42,63,88,116,152,184,226,279,329,380,442,503,564,629,708,793,868,948,1025,1112,1206,1308,1425,1538,1635,1747,1859,1966,2086,2215,2343,2483,2605,2736,2877,3014,3144,3292,3446,3591,3742,3911,4071,4228,4383,4555,4713,4885,5049,5211,5379,5542,5710,5890,6080,6277,6480,6656,6849,7051,7228
0,0,0,0,10,19,28,38,58,79,105,138,174,220,265,315,370,429,494,573,657,757,844,941,1045,1141,1252,1370,1492,1630,1761,1895,2025,2139,2268,2402,2554,2686,2845,3015,3170,3353,3527,3717,3912,4102,4310,4521,4718,4907,5141,5364,5582,5798,6009,6232,6497,6743,6972,7216,7484,7760,8059,8345,8626,8912,9204,9510
0,0,0,0,10,15,29,42,69,91,118,154,190,240,286,337,391,451,506,590,666,746,832,923,1014,1113,1211,1331,1441,1556,1662,1798,1927,2070,2205,2384,2548,2707,2871,3063,3244,3430,3640,3828,4017,4225,4433,4633,4861,5107,5309,5523,5744,5998,6215,6469,6719,6951,7212,7457,7686,7913,8121,8351,8587,8814,9036,9254
