0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,0,0,10,51,133,262,461,712,1010,1335,1715,2133,2547,2969,3361,3746,4150,4500,4840,5142,5419,5675,5913,6129,6336,6530,6703,6878,7028,7171,7301,7419,7532,7638,7740,7840,7942,8042,8140,8228,8317,8408,8493,8581,8667,8748,8833,8910,8990,9058,9131,9185,9229,9281,9322,9358,9384,9409,9424,9432,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,44,129,266,460,741,1050,1400,1782,2183,2592,2996,3383,3771,4164,4534,4912,5260,5571,5877,6174,6452,6730,7000,7244,7434,7607,7764,7927,8070,8214,8359,8494,8617,8749,8851,8941,9038,9112,9169,9215,9252,9284,9322,9351,9386,9409,9423,9433,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,45,130,267,466,721,1001,1340,1696,2057,2459,2908,3367,3832,4311,4793,5264,5743,6185,6607,6994,7366,7717,7984,8232,8435,8635,8816,8975,9111,9196,9266,9324,9365,9395,9419,9430,9433,9434,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,44,130,273,464,686,949,1242,1561,1894,2233,2615,2980,3361,3737,4113,4500,4889,5288,5696,6136,6582,7001,7384,7742,8059,8328,8535,8723,8885,9015,9111,9176,9230,9273,9316,9345,9373,9399,9414,9424,9431,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,45,141,291,495,728,1026,1352,1743,2195,2662,3153,3666,4163,4658,5135,5625,6087,6541,6932,7284,7583,7852,8062,8242,8419,8568,8676,8760,8835,8907,8970,9031,9095,9152,9205,9252,9301,9333,9358,9380,9397,9416,9428,9433,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,53,155,285,467,688,948,1246,1581,1923,2277,2646,3027,3447,3849,4240,4625,5009,5350,5666,5919,6159,6387,6611,6830,7034,7246,7428,7608,7768,7918,8057,8194,8314,8427,8544,8650,8752,8858,8943,9018,9093,9157,9219,9273,9316,9356,9382,9400,9413,9424,9433,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,46,127,278,484,726,1025,1359,1759,2214,2676,3173,3665,4187,4670,5166,5607,6035,6397,6770,7098,7412,7701,7938,8143,8300,8431,8543,8635,8729,8811,8878,8949,9007,9061,9115,9168,9217,9255,9289,9323,9354,9376,9400,9416,9433,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,49,128,260,441,659,914,1244,1586,1959,2383,2836,3295,3765,4215,4676,5137,5570,5991,6369,6756,7124,7458,7744,7982,8182,8362,8515,8624,8710,8783,8851,8916,8979,9036,9090,9146,9191,9232,9278,9313,9354,9383,9404,9420,9429,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,46,121,269,477,714,996,1320,1671,2048,2434,2823,3211,3612,4019,4387,4718,5056,5392,5699,5995,6260,6540,6821,7084,7345,7600,7860,8088,8310,8521,8684,8812,8918,9000,9081,9139,9191,9229,9258,9282,9313,9341,9361,9382,9399,9413,9424,9432,9434,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,44,140,277,464,708,993,1292,1621,1946,2308,2618,2940,3272,3599,3892,4183,4481,4775,5043,5292,5545,5785,6022,6230,6422,6597,6765,6902,7039,7162,7288,7406,7531,7639,7754,7865,7975,8076,8179,8281,8390,8495,8595,8687,8775,8850,8922,9000,9067,9137,9185,9237,9276,9317,9348,9373,9399,9422,9429,9434,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,46,128,284,471,706,969,1274,1615,1991,2378,2798,3233,3688,4156,4625,5105,5567,6014,6477,6905,7323,7685,8024,8308,8543,8727,8868,8968,9051,9118,9175,9221,9266,9296,9321,9342,9359,9382,9400,9411,9421,9431,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,39,127,269,465,735,1031,1405,1787,2216,2639,3083,3523,3976,4429,4894,5316,5713,6094,6469,6815,7128,7417,7674,7885,8062,8227,8377,8505,8629,8750,8842,8930,9014,9082,9159,9228,9293,9366,9420,9433,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,43,119,254,440,689,954,1280,1633,2016,2445,2882,3358,3863,4388,4898,5406,5841,6245,6640,6991,7327,7638,7916,8144,8356,8526,8659,8778,8863,8938,9005,9057,9105,9142,9181,9213,9250,9278,9302,9330,9351,9375,9391,9409,9420,9431,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,42,125,274,470,706,1004,1326,1687,2074,2488,2958,3433,3886,4309,4734,5144,5539,5891,6220,6525,6823,7094,7345,7559,7735,7884,7996,8116,8233,8341,8444,8543,8632,8720,8809,8895,8965,9049,9128,9193,9254,9318,9356,9390,9416,9428,9432,9434,9434,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
0,0,0,10,37,118,265,448,678,942,1238,1563,1929,2339,2762,3254,3728,4209,4696,5156,5616,6031,6454,6830,7191,7494,7749,7935,8110,8237,8364,8471,8551,8633,8706,8774,8834,8890,8941,8996,9048,9104,9148,9194,9237,9272,9302,9328,9349,9369,9390,9406,9416,9426,9432,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435,9435
