0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,0,10,20,40,75,121,176,236,297,370,461,565,677,804,936,1082,1211,1353,1504,1647,1816,2015,2218,2410,2596,2811,3012,3224,3401
0,0,0,10,18,31,57,90,127,173,238,318,393,486,596,721,858,1002,1174,1330,1516,1710,1913,2099,2286,2493,2679,2875,3070,3277,3502
0,0,0,10,19,35,66,93,145,210,289,382,477,579,696,843,984,1135,1326,1493,1669,1855,2056,2264,2476,2721,2968,3222,3501,3764,4040
0,0,0,10,20,48,79,124,172,234,301,384,460,571,689,806,943,1067,1226,1363,1534,1712,1884,2045,2205,2382,2576,2744,2919,3072,3226
0,0,0,10,20,39,74,114,157,223,291,374,476,577,699,818,935,1093,1245,1424,1605,1812,2044,2257,2480,2687,2922,3143,3380,3646,3918
0,0,0,10,22,41,65,95,136,180,238,289,348,424,509,601,707,827,946,1065,1204,1389,1543,1737,1923,2097,2259,2435,2620,2779,2940
0,0,0,10,17,33,61,94,131,175,247,318,406,515,641,766,918,1083,1259,1433,1621,1783,1949,2147,2334,2529,2739,2941,3179,3405,3607
0,0,0,10,26,47,77,129,189,263,360,465,588,709,842,997,1179,1367,1586,1805,2025,2265,2487,2728,2949,3182,3408,3643,3885,4107,4368
0,0,0,10,20,39,70,107,162,221,281,370,467,588,717,852,991,1142,1318,1485,1678,1876,2079,2297,2489,2695,2900,3106,3318,3524,3732
0,0,0,10,24,44,81,122,176,238,309,384,464,555,648,751,864,979,1103,1248,1402,1579,1757,1934,2135,2331,2542,2756,2948,3153,3343
0,0,0,10,20,37,64,99,148,199,262,347,450,555,665,797,926,1053,1204,1374,1542,1716,1915,2132,2353,2580,2820,3066,3303,3576,3808
0,0,0,10,18,34,63,98,138,183,243,316,395,488,608,711,851,983,1101,1253,1413,1569,1741,1914,2088,2271,2457,2652,2841,3043,3226
0,0,0,10,28,61,100,157,211,284,357,463,564,687,829,971,1135,1289,1450,1612,1771,1973,2137,2325,2522,2733,2923,3141,3330,3536,3737
0,0,0,10,19,33,64,98,145,196,253,347,417,500,619,726,852,996,1141,1316,1478,1660,1874,2075,2287,2510,2729,2957,3201,3460,3714
0,0,0,10,26,50,84,130,185,256,332,414,514,624,739,872,1030,1182,1353,1548,1720,1906,2097,2293,2523,2739,2964,3171,3368,3567,3752
0,0,0,10,24,46,78,119,165,230,314,418,519,650,799,959,1133,1304,1515,1730,1946,2162,2365,2579,2808,3021,3239,3476,3711,3945,4167
0,0,0,10,20,42,80,123,178,249,313,396,492,599,704,815,935,1074,1218,1371,1535,1702,1884,2083,2298,2515,2730,2958,3190,3404,3632
0,0,0,10,27,47,76,116,168,238,318,404,496,597,711,839,976,1129,1282,1439,1614,1790,1988,2170,2397,2618,2862,3094,3313,3554,3776
0,0,0,10,19,39,75,113,170,240,338,427,543,670,791,943,1106,1273,1454,1651,1875,2082,2312,2568,2788,3021,3274,3535,3781,4039,4290
0,0,0,10,20,40,67,100,139,186,245,328,399,488,581,691,819,968,1103,1261,1410,1579,1751,1927,2104,2280,2447,2636,2821,2990,3180
0,0,0,10,19,38,60,79,117,156,210,269,342,420,514,622,738,865,1027,1167,1322,1509,1688,1878,2073,2289,2497,2717,2940,3158,3390
0,0,0,10,18,36,69,105,137,184,229,282,332,402,471,558,659,759,883,1013,1154,1303,1449,1632,1827,2017,2206,2401,2607,2800,2992
0,0,0,10,21,37,69,103,153,218,280,361,453,561,662,780,898,1035,1184,1310,1437,1593,1733,1899,2081,2244,2422,2632,2797,3017,3212
0,0,0,10,21,42,78,119,167,221,295,380,492,604,730,875,1022,1164,1347,1534,1718,1927,2137,2362,2594,2815,3046,3287,3515,3760,3984
0,0,0,10,24,42,81,119,169,229,294,365,455,561,667,794,919,1069,1214,1370,1543,1709,1926,2140,2351,2573,2820,3064,3300,3533,3759
0,0,0,10,20,42,74,117,157,227,293,390,483,595,717,822,955,1092,1232,1424,1593,1740,1903,2075,2263,2444,2630,2814,2984,3135,3298
0,0,0,10,18,38,69,112,166,228,296,372,455,565,699,823,958,1113,1277,1462,1651,1842,2054,2273,2546,2788,3046,3310,3551,3822,4092
0,0,0,10,19,40,68,106,155,214,277,376,464,576,688,823,984,1144,1332,1514,1712,1917,2148,2364,2601,2847,3060,3331,3593,3853,4121
0,0,0,10,25,50,82,133,192,256,324,413,512,629,753,877,1024,1172,1321,1461,1628,1785,1940,2109,2265,2438,2609,2785,2970,3151,3332
0,0,0,10,18,29,52,72,107,147,196,255,330,419,505,613,744,865,1015,1165,1348,1522,1691,1872,2073,2264,2477,2675,2866,3082,3328
