0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,0,0,10,38,116,227,393,612,891,1193,1516,1835,2193,2572,2947,3347,3725,4123,4491,4862,5241,5630,5983,6343,6701,7065,7417,7803,8174,8529,8829,9134,9384,9625,9876,10099,10315,10513,10681,10850,11020,11182,11321,11444,11569,11673,11770,11868,11955,12031,12103,12180,12250
0,0,0,10,40,121,258,428,635,898,1209,1550,1919,2269,2598,2946,3280,3628,3961,4325,4658,4995,5331,5654,5946,6276,6607,6950,7227,7515,7790,8044,8320,8572,8812,9059,9281,9521,9750,9983,10198,10403,10607,10801,10997,11163,11325,11484,11638,11796,11938,12076,12191,12321
0,0,0,10,38,115,253,449,693,1004,1353,1765,2194,2652,3151,3679,4238,4801,5410,5973,6550,7091,7606,8104,8623,9108,9516,9863,10169,10438,10684,10908,11095,11271,11423,11577,11714,11842,11968,12081,12198,12306,12411,12508,12595,12666,12729,12790,12845,12894,12940,12983,13027,13061
0,0,0,10,43,120,242,404,608,846,1124,1423,1784,2190,2611,3049,3517,3983,4475,4987,5486,6035,6554,7077,7583,8056,8560,9071,9515,9936,10297,10603,10897,11162,11429,11666,11908,12144,12367,12580,12732,12841,12930,13007,13081,13133,13163,13193,13206,13211,13211,13211,13211,13211
0,0,0,10,49,133,267,455,685,964,1283,1643,2025,2442,2891,3359,3811,4301,4793,5259,5741,6171,6589,7019,7416,7799,8141,8457,8737,9020,9302,9575,9841,10095,10329,10549,10761,10961,11153,11323,11499,11655,11798,11939,12084,12202,12322,12434,12527,12606,12663,12719,12770,12816
0,0,0,10,45,120,250,437,658,944,1252,1585,1953,2315,2709,3123,3540,3994,4464,4943,5410,5883,6330,6777,7249,7707,8168,8632,9047,9442,9801,10130,10428,10710,10940,11145,11311,11465,11602,11740,11879,12000,12119,12242,12341,12432,12520,12610,12695,12769,12840,12905,12964,13025
0,0,0,10,42,127,264,445,680,950,1274,1638,2035,2454,2889,3357,3824,4357,4873,5336,5809,6281,6735,7182,7606,7986,8359,8710,9046,9331,9605,9853,10109,10356,10599,10850,11091,11324,11548,11760,11962,12137,12308,12454,12586,12686,12767,12836,12894,12938,12975,13006,13040,13070
0,0,0,10,44,119,245,432,664,942,1272,1657,2055,2486,2957,3409,3915,4448,4989,5522,6058,6594,7104,7587,8053,8505,8921,9314,9667,10035,10356,10629,10827,11010,11161,11290,11404,11512,11633,11730,11832,11924,12014,12100,12185,12267,12337,12405,12478,12554,12625,12694,12757,12826
0,0,0,10,49,127,253,440,678,963,1288,1654,2077,2573,3067,3597,4107,4618,5133,5671,6200,6725,7244,7753,8267,8738,9182,9626,10040,10432,10817,11167,11478,11757,11995,12203,12379,12524,12663,12786,12886,12969,13036,13094,13140,13183,13203,13209,13209,13209,13209,13209,13209,13209
0,0,0,10,38,112,239,426,663,928,1268,1632,2019,2448,2903,3385,3861,4361,4882,5404,5939,6425,6843,7258,7658,8058,8408,8732,9032,9306,9536,9738,9917,10087,10235,10366,10479,10602,10724,10840,10953,11053,11163,11260,11363,11457,11550,11638,11721,11805,11883,11968,12051,12129
0,0,0,10,42,111,216,357,528,758,1017,1312,1594,1914,2263,2598,2951,3324,3692,4091,4484,4881,5258,5638,5984,6337,6704,7075,7455,7805,8125,8436,8737,9029,9309,9592,9859,10104,10351,10564,10743,10921,11104,11262,11416,11553,11674,11773,11879,11991,12101,12205,12291,12380
0,0,0,10,39,111,231,408,641,922,1232,1579,1932,2272,2641,3025,3427,3823,4244,4695,5130,5577,6000,6454,6873,7283,7684,8063,8399,8739,9049,9327,9595,9833,10069,10298,10521,10739,10970,11188,11390,11589,11757,11910,12029,12155,12272,12391,12495,12596,12684,12772,12849,12922
0,0,0,10,42,118,253,436,662,957,1316,1720,2103,2491,2900,3322,3744,4180,4642,5137,5606,6105,6624,7092,7521,7926,8371,8823,9240,9670,10096,10506,10869,11215,11520,11788,12032,12238,12431,12606,12775,12887,12952,12993,13029,13064,13096,13120,13144,13163,13180,13193,13201,13209
