0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,0,0,0,0,10,15,19,24,33,45,57,67,84,101,116,128,142,161,170,185,200,219,234,244,264,276,290,305,316,328,350,366,378,389,403,421,435,454,468,483,498,519,536,556,573,591,608,625,642,656,667
0,0,0,0,0,10,16,21,25,33,44,54,66,74,80,95,106,119,131,142,154,165,176,187,201,219,236,246,264,273,291,308,331,341,354,381,397,420,446,458,485,501,526,539,559,582,602,614,630,649,675,691
0,0,0,0,0,10,15,25,33,45,61,72,83,93,107,125,134,146,158,172,182,190,204,214,228,235,249,260,280,300,314,329,337,351,366,381,401,412,423,443,465,482,497,511,528,543,562,574,588,607,623,635
0,0,0,0,0,10,14,18,23,27,35,40,47,57,63,70,76,90,97,103,114,121,126,135,148,161,173,182,189,198,203,214,221,233,239,250,263,270,285,295,310,321,331,342,354,368,375,385,392,397,406,413
0,0,0,0,0,10,15,20,26,34,44,54,60,69,80,87,99,108,123,138,149,164,182,196,209,225,236,251,261,272,287,298,313,327,339,350,364,381,394,399,411,422,433,446,452,466,472,484,490,501,507,516
0,0,0,0,0,10,11,14,19,24,27,31,35,42,53,63,73,87,96,105,118,132,137,142,154,163,173,179,191,196,208,217,225,234,242,252,259,269,277,281,290,299,308,313,322,329,336,346,357,369,380,390
0,0,0,0,0,10,12,18,26,33,46,53,66,80,96,106,127,139,151,168,177,201,220,238,253,272,298,319,336,358,370,387,403,416,433,444,456,467,479,498,516,530,542,557,573,589,605,621,630,641,648,662
0,0,0,0,0,10,14,21,29,38,48,62,70,79,94,103,113,121,130,141,153,165,178,185,195,205,216,226,237,247,254,263,272,282,293,305,312,317,326,340,349,356,365,373,380,383,392,400,409,419,426,438
0,0,0,0,0,10,13,16,23,30,35,47,53,66,79,89,103,115,126,140,152,164,175,187,201,217,231,246,259,278,296,313,332,352,376,393,409,428,448,467,487,507,525,549,565,589,610,630,650,672,689,698
0,0,0,0,0,10,16,19,28,33,36,41,50,54,60,68,77,84,92,99,108,116,130,142,154,169,178,187,194,203,218,228,236,246,253,265,276,289,300,311,321,336,351,367,378,394,407,419,432,441,451,462
0,0,0,0,0,10,13,18,23,31,41,52,66,76,86,104,116,132,147,163,180,201,221,250,273,296,328,358,386,414,436,465,493,513,538,554,577,594,612,632,648,666,689,714,735,754,776,801,824,842,859,881
0,0,0,0,0,10,11,16,25,34,41,47,56,68,78,90,101,114,127,140,148,158,167,179,186,192,196,206,212,215,217,222,228,234,242,247,252,258,269,276,280,285,292,298,301,306,308,313,320,324,328,335
0,0,0,0,0,10,14,17,24,27,37,45,52,63,72,77,91,105,112,126,142,154,171,184,199,209,225,238,258,270,281,299,316,335,348,368,383,401,419,434,445,462,477,491,503,512,533,550,569,585,599,621
0,0,0,0,0,10,14,18,25,30,36,42,49,55,62,67,75,82,89,97,107,116,128,134,144,153,154,166,175,185,196,206,218,232,244,254,267,276,288,300,313,322,333,340,355,368,382,393,401,414,425,433
0,0,0,0,0,10,16,19,24,33,43,50,60,67,75,86,95,106,112,122,134,146,154,169,179,189,200,217,234,250,263,278,297,310,326,340,351,364,376,387,402,418,434,447,460,478,495,503,515,525,537,547
0,0,0,0,0,10,15,22,31,41,55,66,74,86,97,107,115,127,144,159,176,190,210,229,250,279,294,313,326,334,349,370,385,400,414,428,448,466,479,493,511,530,548,562,584,600,616,634,650,664,674,687
0,0,0,0,0,10,15,19,21,26,36,46,51,62,71,79,88,97,109,125,136,144,152,162,173,181,189,198,205,218,226,232,237,246,256,267,274,287,296,303,307,314,324,331,346,351,362,370,379,391,399,410
0,0,0,0,0,10,14,16,20,26,36,46,55,67,75,95,108,124,139,147,158,167,176,183,195,202,205,214,225,235,243,252,264,276,288,299,311,326,336,342,352,370,381,392,400,415,438,454,470,489,501,516
0,0,0,0,0,10,12,18,24,30,39,49,58,71,87,94,105,117,128,137,149,164,176,188,199,212,229,245,261,281,309,329,351,371,392,410,434,451,467,487,512,535,558,581,603,622,648,669,683,704,731,745
0,0,0,0,0,10,14,17,23,31,43,56,64,76,86,99,117,131,143,159,173,192,204,221,236,254,269,280,291,305,317,332,347,359,370,387,405,415,427,443,453,460,477,490,502,513,528,536,549,559,572,582
0,0,0,0,0,10,13,18,21,26,34,44,53,65,75,87,96,101,111,120,130,140,146,154,163,171,183,190,197,203,209,219,227,235,242,248,255,261,268,273,276,282,288,298,304,309,317,321,329,333,339,345
0,0,0,0,0,10,11,18,24,27,32,36,42,48,53,59,68,73,81,85,98,108,121,134,143,157,161,165,176,183,192,200,208,222,232,244,257,269,282,292,306,315,326,335,342,353,362,369,376,381,386,392
0,0,0,0,0,10,15,21,28,36,44,53,58,76,83,94,110,122,139,156,170,191,209,227,246,268,286,301,317,328,348,365,379,397,409,425,440,452,468,481,494,510,527,539,549,567,577,595,606,616,632,642
