0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,0,1,6,15,28,43,64,86,112,140,173,211,252,294,338,386,441,495,552,619,683,746,820,896,972,1049,1133,1212,1296,1386,1480,1571,1669,1764,1862,1964,2060,2167,2263,2365,2460,2561,2666,2768,2867,2966,3065,3165,3261,3363,3456,3549,3645
0,0,1,6,21,42,73,111,145,185,227,274,325,371,425,479,538,601,670,739,812,888,964,1044,1123,1213,1301,1389,1484,1574,1676,1773,1869,1966,2067,2171,2269,2367,2477,2577,2685,2792,2904,3014,3124,3234,3346,3463,3576,3685,3796,3910,4024,4131
0,0,1,4,14,30,47,70,95,121,149,185,222,263,308,355,405,459,511,564,621,683,748,814,881,951,1026,1100,1176,1254,1336,1422,1505,1595,1686,1777,1869,1961,2059,2156,2254,2354,2460,2565,2671,2774,2884,2990,3107,3218,3333,3443,3562,3677
0,0,1,7,17,33,60,91,120,155,191,231,273,321,371,425,482,542,606,671,740,812,887,964,1041,1120,1204,1290,1375,1466,1558,1653,1749,1851,1953,2058,2162,2264,2365,2476,2587,2697,2802,2914,3025,3139,3255,3364,3473,3584,3694,3808,3912,4011
0,0,1,6,22,42,73,113,150,192,241,289,343,398,454,514,572,637,706,777,846,923,999,1076,1163,1246,1334,1426,1520,1609,1705,1803,1901,1998,2097,2197,2302,2405,2504,2609,2719,2827,2932,3044,3155,3271,3381,3497,3608,3718,3835,3949,4067,4182
0,0,1,7,21,43,73,108,155,206,266,330,404,489,584,686,781,882,985,1093,1197,1312,1407,1515,1618,1729,1839,1952,2065,2179,2289,2402,2512,2624,2731,2847,2959,3073,3189,3302,3415,3531,3648,3767,3889,4010,4129,4248,4365,4486,4612,4725,4844,4961
0,0,1,7,22,44,73,111,155,212,274,342,421,503,597,699,808,920,1045,1177,1313,1461,1612,1781,1954,2130,2301,2487,2659,2833,2993,3139,3288,3434,3595,3751,3899,4056,4216,4379,4529,4665,4788,4910,5038,5154,5275,5389,5490,5566,5632,5687,5740,5785
0,0,1,8,23,39,58,82,108,134,166,199,238,277,324,371,418,473,528,588,645,712,778,841,913,979,1051,1129,1206,1287,1369,1456,1537,1623,1713,1803,1899,1996,2094,2187,2286,2388,2494,2598,2703,2807,2915,3021,3131,3240,3350,3465,3578,3692
0,0,1,5,12,26,41,62,88,116,148,181,218,255,298,346,399,454,508,566,631,693,760,830,906,983,1062,1146,1234,1320,1410,1502,1599,1695,1786,1889,1995,2100,2198,2306,2415,2523,2631,2737,2842,2953,3060,3166,3267,3366,3465,3557,3652,3744
0,0,1,5,18,34,50,75,103,132,168,204,248,293,340,393,448,505,564,633,698,764,836,916,997,1081,1161,1248,1343,1431,1525,1625,1719,1826,1929,2036,2138,2251,2360,2467,2577,2687,2794,2907,3022,3128,3236,3348,3454,3559,3652,3741,3832,3917
0,0,1,6,19,37,66,97,130,163,202,239,286,335,383,435,495,558,622,691,763,839,911,989,1072,1160,1244,1340,1429,1523,1619,1716,1818,1921,2025,2130,2240,2347,2451,2556,2665,2773,2880,2990,3101,3214,3320,3429,3544,3649,3758,3858,3965,4067
0,0,1,4,16,32,62,96,140,192,249,315,386,463,536,612,682,756,837,925,1008,1099,1187,1281,1377,1478,1581,1688,1791,1900,2008,2121,2236,2350,2475,2600,2721,2846,2966,3091,3217,3345,3466,3584,3697,3814,3926,4038,4147,4256,4359,4450,4541,4631
0,0,1,6,23,44,76,116,161,213,273,347,424,513,600,693,786,881,982,1073,1168,1256,1362,1461,1567,1670,1773,1885,1998,2109,2222,2337,2455,2566,2680,2797,2913,3030,3137,3259,3373,3486,3601,3718,3834,3953,4065,4182,4301,4417,4533,4649,4769,4890
0,0,1,6,18,37,64,102,145,197,257,320,384,456,526,600,674,749,825,901,989,1071,1158,1254,1347,1438,1535,1638,1748,1856,1957,2063,2166,2272,2384,2489,2598,2706,2810,2919,3034,3146,3264,3375,3491,3608,3718,3831,3947,4058,4175,4294,4412,4529
0,0,1,8,22,43,73,109,143,176,211,256,302,349,396,451,509,572,642,713,786,855,931,1010,1097,1181,1270,1359,1448,1540,1635,1734,1832,1934,2040,2143,2244,2344,2456,2559,2662,2775,2882,2994,3103,3216,3327,3441,3549,3661,3772,3880,3981,4089
0,0,1,7,22,44,71,108,153,201,264,335,409,493,578,661,750,834,925,1018,1104,1196,1293,1389,1487,1584,1687,1795,1899,2012,2111,2216,2329,2431,2540,2652,2767,2876,2982,3093,3204,3319,3430,3545,3659,3777,3896,4013,4125,4247,4366,4486,4603,4719
0,0,1,7,24,43,72,110,152,202,257,324,393,467,544,627,710,800,889,974,1063,1154,1244,1335,1428,1527,1627,1719,1814,1910,2003,2105,2208,2307,2414,2516,2624,2723,2838,2946,3055,3165,3281,3395,3509,3625,3739,3857,3976,4094,4211,4324,4446,4576
0,0,1,5,19,39,70,104,149,199,260,331,408,489,584,689,796,910,1037,1161,1285,1411,1552,1683,1824,1964,2099,2243,2382,2518,2636,2752,2866,2977,3100,3217,3327,3447,3567,3686,3800,3920,4037,4158,4272,4394,4516,4639,4755,4876,5004,5122,5243,5360
