0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
0,0,0,10,42,131,282,470,727,1055,1452,1892,2362,2869,3438,4046,4679,5314,5983,6636,7249,7868,8499,9083,9646,10223,10796,11366,11905,12412,12910,13330,13676,14000,14293,14580,14856,15093,15295,15477,15630,15739,15803,15856,15886,15911,15929,15943,15955,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,48,137,281,459,708,994,1306,1659,2058,2482,2952,3401,3842,4304,4756,5209,5631,6038,6459,6869,7253,7602,7916,8190,8448,8683,8908,9124,9310,9497,9676,9860,10028,10197,10352,10523,10681,10844,11006,11165,11317,11466,11606,11757,11909,12054,12188,12333,12483,12620,12756,12889,13022,13141,13272,13388,13507,13629,13746,13870,13986,14099,14205,14292,14397,14505,14597,14687,14777,14860,14939,15022,15101,15175,15247,15317,15385,15451,15521,15587,15644,15701,15745,15784,15823,15856,15888,15917,15939,15954
0,0,0,10,49,127,271,469,718,1019,1355,1749,2153,2625,3135,3710,4281,4882,5468,6050,6680,7299,7943,8584,9248,9874,10497,11056,11584,12081,12544,12974,13319,13625,13904,14143,14334,14513,14693,14834,14978,15109,15242,15364,15467,15578,15665,15747,15801,15852,15883,15922,15948,15958,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,44,133,277,466,706,1025,1380,1789,2215,2674,3168,3705,4271,4863,5467,6049,6623,7213,7777,8347,8876,9387,9862,10333,10815,11271,11712,12138,12528,12896,13236,13535,13787,14002,14221,14438,14633,14813,14979,15115,15261,15392,15505,15597,15681,15756,15828,15884,15925,15948,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,43,123,237,405,619,884,1172,1493,1857,2243,2652,3063,3497,3960,4456,4966,5500,6042,6598,7152,7683,8209,8709,9203,9670,10143,10616,11057,11468,11885,12260,12573,12856,13122,13371,13608,13840,14034,14223,14398,14573,14724,14871,14990,15093,15195,15280,15373,15455,15525,15589,15638,15685,15733,15778,15815,15847,15872,15902,15924,15937,15951,15959,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,52,137,284,503,771,1084,1460,1864,2310,2794,3316,3885,4473,5106,5730,6331,6958,7461,7946,8362,8767,9154,9503,9834,10139,10415,10673,10942,11168,11376,11593,11783,11984,12163,12336,12522,12682,12824,12960,13086,13224,13351,13480,13606,13723,13845,13952,14070,14175,14278,14384,14479,14576,14664,14748,14837,14926,15002,15076,15158,15230,15312,15377,15438,15495,15556,15609,15652,15706,15749,15786,15821,15852,15877,15905,15924,15941,15950,15958,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959
0,0,0,10,50,137,272,469,722,1019,1357,1721,2162,2638,3163,3723,4313,4887,5495,6105,6728,7384,8040,8704,9357,10021,10676,11341,11956,12493,12964,13381,13715,14023,14278,14507,14714,14894,15059,15215,15340,15433,15514,15589,15673,15753,15818,15881,15929,15952,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,55,162,323,542,835,1165,1537,1948,2359,2828,3345,3863,4390,4955,5493,6003,6523,7024,7503,7943,8391,8808,9209,9625,10025,10454,10853,11244,11622,11978,12338,12703,13046,13383,13739,14052,14313,14536,14732,14898,15065,15213,15358,15491,15611,15714,15781,15836,15880,15915,15941,15955,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,48,117,246,413,641,929,1256,1642,2083,2578,3102,3663,4210,4775,5362,5917,6425,6916,7376,7827,8237,8606,8976,9341,9694,10031,10398,10746,11092,11433,11772,12103,12419,12729,13040,13349,13614,13882,14121,14353,14571,14768,14928,15073,15190,15293,15382,15457,15531,15598,15655,15708,15755,15797,15834,15872,15899,15921,15934,15950,15959,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,51,148,310,492,757,1070,1434,1863,2350,2883,3489,4118,4812,5559,6400,7237,8059,8844,9564,10266,10931,11599,12233,12828,13375,13830,14240,14587,14902,15163,15377,15538,15645,15720,15789,15844,15891,15921,15942,15955,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,48,139,278,473,732,1021,1367,1755,2182,2632,3127,3650,4175,4712,5211,5683,6154,6656,7142,7606,8077,8549,9040,9492,9936,10367,10798,11224,11661,12070,12428,12748,13027,13310,13558,13785,13980,14137,14288,14417,14524,14624,14725,14814,14890,14971,15059,15135,15200,15277,15338,15400,15457,15522,15582,15628,15676,15720,15766,15807,15854,15887,15907,15927,15947,15955,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,46,138,293,497,748,1047,1410,1851,2299,2783,3293,3862,4422,5003,5604,6172,6723,7234,7779,8299,8811,9319,9772,10218,10640,11046,11413,11725,12013,12262,12507,12729,12951,13172,13378,13570,13743,13922,14101,14265,14433,14602,14775,14935,15087,15243,15381,15497,15613,15697,15757,15807,15852,15880,15902,15921,15941,15955,15959,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,44,133,288,504,767,1083,1491,1954,2455,2957,3474,4013,4568,5146,5735,6317,6888,7463,7999,8546,9063,9551,10026,10489,10899,11298,11648,11955,12255,12539,12804,13055,13295,13520,13735,13914,14088,14231,14371,14495,14623,14739,14850,14956,15050,15146,15231,15310,15394,15478,15557,15636,15705,15771,15829,15866,15900,15928,15949,15958,15959,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,41,131,268,454,715,1027,1395,1817,2303,2809,3367,3986,4609,5280,5944,6619,7290,7926,8584,9228,9876,10486,11094,11670,12241,12788,13309,13789,14194,14563,14906,15172,15343,15491,15593,15675,15732,15776,15817,15852,15878,15901,15918,15934,15944,15952,15958,15959,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,48,129,274,477,709,1001,1327,1715,2140,2602,3109,3650,4172,4714,5295,5893,6495,7136,7748,8369,8998,9550,10130,10707,11255,11779,12220,12627,12955,13253,13514,13735,13947,14138,14299,14459,14599,14723,14833,14950,15039,15117,15190,15265,15335,15404,15471,15535,15606,15663,15728,15776,15813,15857,15882,15901,15917,15931,15945,15955,15958,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959
0,0,0,10,39,111,250,427,654,924,1264,1622,2014,2430,2886,3364,3905,4457,5034,5601,6164,6736,7305,7896,8476,9033,9625,10173,10695,11183,11626,12048,12444,12782,13053,13272,13460,13625,13768,13913,14062,14209,14349,14471,14607,14744,14867,15004,15110,15212,15302,15396,15483,15555,15633,15697,15761,15819,15877,15917,15938,15952,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,37,124,258,443,668,946,1277,1625,2002,2432,2871,3373,3868,4394,4904,5404,5908,6426,6945,7415,7838,8199,8553,8900,9246,9580,9903,10246,10557,10871,11184,11491,11786,12097,12378,12668,12936,13190,13432,13674,13885,14098,14292,14488,14651,14794,14919,15041,15143,15241,15326,15411,15491,15557,15614,15668,15711,15747,15783,15812,15843,15869,15890,15914,15933,15944,15952,15956,15959,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,38,116,244,439,696,1006,1390,1824,2308,2840,3414,4021,4670,5332,6022,6709,7418,8080,8694,9254,9759,10215,10639,11059,11451,11782,12081,12386,12661,12944,13187,13415,13631,13829,14028,14214,14405,14584,14768,14928,15090,15248,15391,15520,15634,15703,15766,15818,15871,15911,15940,15955,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960,15960
0,0,0,10,34,104,236,411,655,925,1243,1593,1986,2408,2845,3299,3777,4270,4753,5225,5703,6164,6594,7030,7468,7901,8343,8781,9210,9633,10031,10428,10794,11111,11425,11720,12001,12269,12546,12820,13058,13288,13505,13712,13904,14090,14254,14402,14536,14687,14827,14954,15076,15187,15293,15404,15501,15580,15634,15686,15738,15781,15817,15845,15873,15895,15915,15930,15940,15950,15956,15958,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959,15959
