0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0,0,10,58,182,371,600,861,1175,1530,1911,2316,2743,3188,3650,4124,4604,5094,5558,6026,6485,6931,7386,7827,8262,8692,9113,9507,9887,10233,10565,10871,11157,11417,11643,11831,12011,12175,12328,12475,12614,12755,12894,13028,13160,13272,13372,13457,13545,13621,13697,13763,13819,13871,13916,13956,13991,14019,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,66,208,414,691,1020,1404,1838,2287,2765,3272,3793,4354,4949,5510,6037,6556,7070,7562,8011,8459,8904,9328,9741,10085,10409,10704,10983,11256,11509,11754,11983,12202,12409,12598,12776,12937,13077,13214,13339,13454,13557,13649,13733,13811,13880,13929,13968,13997,14017,14029,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,59,168,335,556,829,1158,1532,1972,2445,2955,3484,4066,4652,5292,5978,6685,7419,8148,8826,9502,10147,10708,11217,11680,12057,12397,12692,12940,13124,13238,13345,13430,13505,13577,13644,13700,13749,13794,13834,13868,13902,13931,13956,13978,13998,14011,14024,14031,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,69,213,433,718,1067,1485,1965,2471,3021,3627,4264,4908,5571,6245,6921,7618,8330,8986,9602,10160,10630,11047,11460,11855,12203,12490,12742,12950,13109,13233,13344,13446,13538,13624,13693,13755,13809,13853,13892,13925,13952,13976,13996,14010,14022,14030,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,60,197,405,677,1022,1426,1892,2394,2966,3532,4087,4656,5255,5868,6452,6993,7475,7920,8352,8761,9161,9547,9919,10290,10629,10918,11190,11447,11696,11934,12161,12369,12576,12764,12926,13075,13211,13329,13425,13510,13581,13634,13684,13733,13775,13816,13854,13889,13917,13945,13969,13991,14008,14019,14028,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,70,212,435,708,1067,1484,1955,2475,3040,3661,4303,4995,5727,6478,7241,7924,8593,9248,9862,10392,10809,11184,11552,11887,12191,12451,12669,12872,13049,13198,13316,13406,13478,13537,13592,13647,13695,13739,13783,13824,13861,13895,13925,13951,13976,13995,14011,14022,14030,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,72,210,408,701,1051,1462,1946,2472,3032,3618,4239,4867,5498,6141,6767,7381,7953,8480,8976,9451,9831,10145,10442,10719,10970,11209,11434,11661,11881,12102,12322,12525,12718,12886,13032,13170,13295,13407,13505,13591,13672,13742,13811,13876,13936,13987,14021,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,67,207,413,663,982,1348,1753,2183,2658,3185,3749,4349,4923,5483,6010,6504,6969,7382,7773,8159,8531,8898,9247,9597,9929,10263,10576,10885,11151,11421,11673,11899,12115,12317,12504,12686,12842,12993,13136,13272,13404,13524,13625,13722,13807,13881,13940,13986,14020,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,65,200,408,704,1064,1489,1960,2480,3046,3631,4253,4914,5603,6293,6971,7615,8222,8825,9361,9864,10332,10740,11132,11500,11849,12161,12458,12736,12950,13162,13351,13511,13637,13744,13827,13883,13921,13954,13977,13993,14009,14021,14029,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
0,0,0,10,70,196,406,685,1021,1429,1870,2338,2851,3393,3972,4580,5200,5809,6442,7076,7700,8316,8900,9425,9921,10383,10836,11267,11620,11911,12167,12403,12642,12826,13008,13165,13310,13459,13584,13695,13792,13852,13899,13931,13955,13977,13996,14011,14023,14030,14032,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033,14033
