0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,0,10,37,85,169,292,440,617,835,1100,1393,1748,2115,2544,2971,3418,3893,4394,4900,5425,6012,6591,7216,7845,8503,9181,9881,10579,11263,11958,12640,13347,14042,14745,15452,16075,16716,17274,17848,18380,18886,19341,19806,20213,20598,20926,21268,21558,21845,22089,22362,22612,22840,23041,23258,23461,23657,23834,23997,24179,24337,24479,24608,24725,24850,24968,25074,25162,25250,25321,25387,25443,25505,25546,25588,25624,25657
0,0,0,0,10,31,82,157,272,440,640,870,1131,1422,1759,2156,2547,2967,3414,3890,4368,4911,5452,6001,6589,7173,7790,8400,9022,9628,10200,10811,11416,12017,12646,13255,13921,14645,15307,15997,16680,17335,17966,18588,19137,19667,20130,20601,21056,21505,21916,22320,22688,23053,23390,23701,24000,24289,24529,24741,24937,25085,25211,25336,25452,25545,25627,25701,25747,25781,25804,25824,25836,25840,25842,25842,25842,25842,25842,25842
0,0,0,0,10,32,79,170,316,487,697,938,1220,1541,1883,2224,2636,3053,3512,4029,4540,5093,5675,6287,6883,7545,8213,8900,9622,10322,11007,11736,12500,13259,13970,14683,15406,16089,16758,17357,17933,18465,18985,19445,19895,20321,20690,21016,21333,21654,21952,22242,22509,22785,23042,23279,23526,23763,23959,24125,24281,24445,24588,24733,24855,24973,25073,25174,25264,25349,25422,25487,25550,25606,25656,25697,25737,25774,25800,25815
0,0,0,0,10,36,97,183,324,500,713,983,1256,1589,1976,2368,2834,3338,3860,4402,4986,5588,6252,6866,7515,8206,8901,9607,10337,11041,11760,12462,13136,13817,14497,15161,15788,16357,16918,17455,17978,18457,18892,19256,19586,19871,20137,20370,20582,20776,20930,21077,21225,21359,21491,21619,21758,21891,22017,22151,22270,22387,22507,22619,22750,22862,22968,23075,23183,23287,23380,23479,23579,23669,23762,23869,23969,24058,24150,24234
0,0,0,0,10,33,75,157,270,408,606,839,1096,1374,1716,2086,2475,2916,3365,3840,4315,4832,5347,5907,6443,6984,7545,8132,8691,9305,9901,10506,11130,11741,12355,12977,13559,14182,14755,15321,15887,16437,16972,17514,18066,18603,19101,19625,20112,20617,21118,21564,22006,22423,22804,23149,23489,23793,24037,24282,24514,24716,24907,25058,25201,25333,25447,25540,25624,25680,25730,25770,25806,25827,25838,25841,25841,25841,25841,25841
0,0,0,0,10,36,99,203,342,518,735,978,1255,1574,1942,2319,2742,3199,3658,4150,4695,5240,5793,6418,7012,7651,8269,8956,9654,10363,11108,11774,12466,13143,13810,14453,15092,15695,16275,16833,17423,17999,18555,19100,19641,20175,20683,21145,21575,21978,22345,22723,23060,23392,23710,24007,24308,24571,24800,24989,25150,25301,25435,25519,25585,25644,25696,25732,25768,25807,25820,25831,25837,25838,25838,25839,25839,25839,25839,25839
0,0,0,0,10,31,70,133,241,392,598,826,1107,1416,1737,2106,2495,2925,3388,3838,4306,4812,5356,5931,6508,7069,7644,8270,8879,9545,10191,10850,11492,12130,12755,13376,13997,14614,15207,15785,16336,16854,17349,17857,18344,18801,19238,19690,20123,20528,20923,21309,21692,22030,22325,22602,22860,23095,23311,23532,23732,23906,24066,24234,24389,24527,24664,24821,24957,25064,25161,25263,25342,25426,25494,25538,25572,25608,25649,25682
0,0,0,0,10,37,93,184,311,481,698,935,1233,1580,1946,2378,2818,3299,3823,4346,4951,5581,6208,6879,7580,8286,9008,9762,10508,11299,12084,12880,13694,14503,15300,16097,16871,17628,18384,19057,19698,20367,20939,21497,21991,22457,22862,23253,23608,23902,24162,24385,24568,24742,24905,25037,25148,25253,25357,25450,25526,25587,25649,25701,25737,25762,25794,25811,25822,25831,25836,25837,25838,25838,25838,25838,25838,25838,25838,25838
0,0,0,0,10,28,69,157,291,460,666,928,1209,1516,1865,2287,2712,3165,3667,4257,4854,5506,6179,6910,7660,8406,9173,9915,10641,11345,12087,12777,13504,14219,14888,15533,16177,16808,17473,18082,18719,19313,19900,20457,20986,21490,21940,22377,22793,23171,23531,23868,24161,24437,24639,24838,25018,25188,25307,25416,25512,25586,25646,25691,25733,25760,25784,25804,25817,25829,25837,25839,25839,25839,25839,25839,25839,25839,25839,25839
0,0,0,0,10,32,83,171,293,443,620,849,1108,1403,1716,2075,2451,2839,3232,3693,4170,4613,5079,5574,6112,6630,7165,7725,8321,8939,9601,10238,10908,11592,12282,12945,13595,14228,14801,15369,15931,16490,17086,17656,18240,18745,19238,19704,20112,20530,20878,21219,21539,21842,22128,22405,22645,22877,23087,23272,23455,23616,23773,23940,24077,24234,24378,24504,24632,24735,24849,24959,25055,25145,25234,25318,25375,25432,25487,25537
0,0,0,0,10,34,81,163,282,446,643,888,1148,1457,1800,2198,2613,3080,3580,4102,4668,5227,5863,6537,7212,7905,8584,9321,10090,10797,11519,12255,12968,13648,14345,15043,15712,16386,16986,17598,18177,18737,19236,19662,20071,20443,20813,21122,21399,21685,21944,22184,22406,22614,22804,22974,23131,23277,23423,23557,23696,23825,23951,24071,24193,24304,24411,24521,24617,24709,24803,24911,25004,25101,25193,25283,25375,25451,25526,25583
0,0,0,0,10,37,87,170,289,466,663,893,1166,1453,1770,2112,2472,2888,3333,3796,4283,4757,5273,5819,6353,6897,7509,8134,8736,9342,9963,10567,11162,11773,12405,13002,13589,14178,14837,15442,16062,16678,17256,17835,18370,18880,19382,19864,20323,20775,21221,21645,22054,22446,22813,23193,23527,23821,24104,24368,24603,24843,25054,25228,25395,25523,25625,25717,25771,25798,25814,25826,25836,25839,25841,25841,25841,25841,25841,25841
0,0,0,0,10,29,69,138,237,373,561,774,1045,1392,1757,2187,2638,3150,3718,4314,4927,5543,6214,6885,7598,8327,9049,9743,10419,11097,11787,12443,13110,13760,14399,15035,15603,16150,16680,17212,17698,18154,18597,19039,19459,19876,20298,20686,21055,21414,21749,22091,22450,22772,23076,23363,23662,23919,24180,24396,24611,24777,24952,25115,25258,25398,25493,25576,25635,25675,25701,25727,25748,25766,25791,25818,25833,25839,25841,25841
0,0,0,0,10,35,85,169,284,449,632,853,1106,1386,1710,2092,2483,2909,3333,3800,4288,4846,5393,5965,6588,7210,7845,8499,9116,9775,10385,11022,11652,12261,12865,13446,14006,14561,15082,15591,16072,16560,17027,17460,17869,18280,18634,18989,19339,19641,19929,20170,20411,20656,20887,21134,21381,21608,21831,22048,22266,22472,22683,22887,23063,23238,23406,23562,23724,23862,24001,24145,24278,24401,24523,24640,24745,24838,24925,25013
0,0,0,0,10,35,83,168,287,467,653,882,1162,1459,1799,2167,2579,3015,3526,4017,4528,5078,5689,6351,7030,7727,8434,9134,9806,10480,11109,11709,12308,12895,13482,14046,14589,15109,15651,16157,16616,17061,17489,17881,18266,18636,18986,19343,19720,20056,20414,20771,21109,21446,21776,22103,22396,22682,22931,23205,23454,23680,23907,24123,24303,24491,24638,24782,24915,25048,25155,25266,25362,25445,25527,25589,25640,25688,25730,25760
0,0,0,0,10,29,68,150,275,430,633,864,1151,1451,1802,2180,2582,3001,3449,3887,4359,4865,5388,5914,6421,6925,7442,7945,8474,8958,9442,9935,10447,10940,11439,11959,12486,12985,13499,13988,14481,14951,15433,15919,16395,16837,17287,17701,18092,18515,18903,19288,19669,20046,20402,20753,21088,21412,21709,22021,22290,22530,22772,22975,23183,23373,23558,23749,23920,24087,24255,24399,24540,24671,24803,24912,25023,25134,25222,25312
0,0,0,0,10,28,83,165,272,429,618,845,1105,1421,1767,2134,2550,3015,3483,3980,4514,5054,5610,6165,6741,7358,7964,8572,9167,9806,10431,11082,11744,12400,13084,13777,14437,15123,15807,16493,17158,17796,18439,19049,19613,20205,20765,21344,21880,22311,22737,23148,23526,23873,24205,24509,24758,24971,25132,25283,25401,25508,25577,25637,25692,25730,25762,25795,25815,25826,25832,25836,25840,25841,25841,25841,25841,25841,25841,25841
