0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0,0,0,0,10,51,158,297,488,699,928,1183,1432,1668,1888,2105,2324,2535,2745,2948,3134,3323,3459,3569,3684,3770,3845,3924,3987,4034,4086,4127,4162,4199,4233
0,0,0,0,0,10,48,142,287,459,667,913,1205,1521,1861,2191,2521,2832,3122,3363,3540,3698,3819,3939,4038,4133,4214,4251,4272,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,45,143,315,537,797,1075,1377,1678,1983,2260,2543,2814,3055,3290,3529,3732,3916,4055,4165,4218,4253,4268,4278,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,47,141,268,433,628,822,1060,1290,1515,1736,1987,2215,2440,2632,2817,2982,3134,3247,3343,3447,3542,3639,3727,3809,3889,3960,4021,4073,4113,4146
0,0,0,0,0,10,48,141,289,507,745,1026,1335,1643,1925,2175,2392,2595,2776,2946,3109,3248,3384,3500,3619,3732,3820,3895,3963,4021,4069,4108,4146,4179,4203,4227
0,0,0,0,0,10,50,157,315,524,788,1102,1460,1833,2214,2603,2936,3224,3475,3709,3872,4008,4083,4143,4186,4217,4238,4255,4266,4276,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,54,160,339,560,845,1127,1430,1728,2032,2308,2588,2853,3082,3306,3502,3662,3800,3905,4004,4080,4137,4189,4223,4251,4270,4276,4279,4280,4280,4280
0,0,0,0,0,10,54,153,316,522,776,1072,1374,1668,1961,2245,2527,2774,3013,3230,3411,3550,3681,3784,3876,3970,4045,4109,4156,4192,4220,4245,4266,4275,4279,4279
0,0,0,0,0,10,55,158,327,532,783,1075,1399,1746,2122,2487,2812,3089,3343,3544,3694,3823,3937,4014,4063,4101,4135,4167,4193,4218,4239,4255,4266,4275,4280,4280
0,0,0,0,0,9,42,123,261,439,652,897,1166,1447,1735,2020,2298,2583,2844,3064,3256,3417,3528,3627,3727,3823,3909,3981,4042,4088,4125,4160,4195,4224,4243,4259
0,0,0,0,0,10,53,161,309,517,767,1038,1329,1624,1906,2164,2405,2645,2866,3120,3329,3533,3691,3842,3979,4076,4146,4193,4243,4268,4278,4280,4280,4280,4280,4280
0,0,0,0,0,10,52,158,312,520,782,1108,1440,1765,2084,2380,2638,2860,3062,3241,3413,3565,3700,3807,3907,3984,4048,4108,4146,4178,4204,4224,4241,4257,4267,4274
0,0,0,0,0,10,50,156,313,530,785,1114,1462,1808,2169,2494,2789,3030,3238,3425,3589,3742,3875,3986,4073,4136,4181,4216,4242,4259,4270,4278,4280,4280,4280,4280
0,0,0,0,0,10,57,159,325,553,828,1134,1432,1723,2010,2292,2574,2819,3024,3219,3404,3567,3718,3839,3957,4055,4134,4198,4240,4266,4274,4280,4280,4280,4280,4280
0,0,0,0,0,10,54,158,313,539,810,1119,1456,1796,2093,2354,2630,2878,3111,3324,3506,3658,3773,3863,3927,3978,4019,4060,4097,4135,4170,4199,4230,4254,4275,4280
0,0,0,0,0,10,46,144,311,546,835,1175,1555,1965,2358,2757,3083,3353,3568,3755,3903,4006,4076,4139,4187,4225,4251,4266,4273,4278,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,54,162,332,559,822,1130,1459,1789,2105,2436,2754,3038,3304,3517,3699,3836,3945,4040,4106,4155,4203,4233,4262,4275,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,48,145,296,481,690,919,1160,1442,1743,2052,2345,2633,2874,3079,3277,3438,3577,3694,3791,3868,3939,4005,4064,4114,4153,4189,4213,4234,4249,4263
0,0,0,0,0,10,58,172,332,540,787,1057,1331,1611,1906,2205,2473,2704,2905,3101,3244,3383,3520,3630,3724,3807,3891,3966,4028,4093,4145,4185,4221,4242,4259,4273
0,0,0,0,0,10,54,152,295,495,736,981,1247,1530,1790,2040,2292,2497,2701,2882,3043,3196,3345,3496,3631,3751,3846,3937,4016,4089,4143,4185,4219,4246,4261,4273
0,0,0,0,0,10,48,133,266,452,663,897,1161,1438,1753,2050,2377,2700,2998,3266,3495,3706,3884,4026,4116,4186,4237,4265,4279,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,56,154,321,560,852,1156,1484,1860,2254,2647,2989,3283,3513,3705,3875,4012,4119,4199,4242,4262,4272,4280,4280,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,50,149,309,533,789,1103,1442,1784,2108,2425,2691,2941,3159,3340,3499,3645,3775,3883,3970,4056,4125,4181,4210,4238,4256,4271,4279,4280,4280,4280
0,0,0,0,0,10,56,159,323,528,754,1003,1253,1505,1749,2003,2250,2494,2721,2934,3148,3336,3505,3648,3764,3859,3941,4008,4072,4123,4165,4201,4229,4253,4268,4276
0,0,0,0,0,10,48,142,310,527,787,1076,1379,1683,1988,2263,2500,2708,2898,3066,3197,3310,3423,3530,3630,3733,3827,3915,3994,4054,4113,4166,4206,4249,4273,4280
0,0,0,0,0,10,53,159,337,576,863,1191,1558,1918,2261,2575,2886,3172,3446,3692,3873,4025,4143,4208,4250,4268,4278,4280,4280,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,52,151,307,501,737,1012,1301,1593,1889,2185,2507,2803,3078,3345,3598,3805,3961,4061,4130,4179,4215,4246,4266,4276,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,42,133,285,498,753,1024,1311,1627,1969,2290,2604,2909,3201,3493,3728,3915,4068,4148,4200,4224,4243,4259,4271,4278,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,47,142,284,465,707,1002,1321,1645,1969,2289,2575,2840,3112,3342,3541,3729,3912,4072,4174,4231,4261,4279,4280,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,51,149,309,512,742,993,1271,1548,1779,1995,2211,2420,2598,2792,2934,3063,3182,3278,3366,3432,3498,3569,3634,3689,3748,3795,3846,3896,3940,3988
0,0,0,0,0,10,56,160,309,501,738,1014,1301,1608,1908,2175,2431,2634,2833,2992,3164,3326,3474,3623,3753,3860,3948,4017,4080,4142,4187,4216,4244,4260,4275,4280
0,0,0,0,0,10,42,136,293,517,778,1109,1458,1836,2244,2627,2982,3295,3527,3697,3830,3946,4048,4125,4186,4225,4252,4268,4278,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,53,161,329,563,842,1152,1466,1829,2156,2470,2775,3054,3312,3535,3729,3871,3976,4067,4132,4177,4214,4244,4262,4273,4279,4280,4280,4280,4280,4280
0,0,0,0,0,10,55,165,338,567,839,1162,1522,1883,2209,2562,2894,3174,3423,3612,3773,3931,4080,4179,4235,4262,4274,4280,4280,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,54,159,310,502,741,1023,1335,1656,1977,2289,2589,2857,3072,3258,3425,3584,3725,3853,3961,4047,4109,4150,4185,4210,4233,4253,4269,4277,4279,4280
0,0,0,0,0,10,52,159,319,553,844,1169,1481,1815,2145,2455,2762,3034,3296,3524,3709,3868,4013,4114,4187,4233,4252,4268,4276,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,43,135,286,499,771,1086,1380,1726,2094,2442,2784,3056,3330,3567,3761,3947,4086,4177,4225,4261,4277,4280,4280,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,52,161,341,533,751,973,1219,1476,1712,1940,2164,2388,2607,2839,3071,3305,3515,3681,3839,3967,4055,4121,4170,4211,4238,4257,4272,4278,4280,4280
0,0,0,0,0,10,54,162,325,549,824,1150,1514,1860,2216,2562,2883,3190,3490,3751,3956,4090,4162,4200,4228,4253,4269,4277,4280,4280,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,51,144,286,484,721,956,1214,1450,1693,1928,2149,2350,2554,2764,2963,3127,3266,3381,3467,3552,3643,3719,3790,3852,3918,3978,4031,4082,4130,4176
0,0,0,0,0,10,56,172,337,552,807,1081,1379,1692,2009,2296,2572,2851,3095,3295,3468,3626,3764,3876,3987,4069,4138,4183,4211,4232,4245,4260,4271,4277,4279,4280
0,0,0,0,0,10,52,146,281,473,709,991,1272,1548,1839,2117,2405,2668,2938,3200,3451,3681,3868,4016,4131,4205,4236,4258,4275,4279,4280,4280,4280,4280,4280,4280
0,0,0,0,0,10,54,155,305,512,743,1002,1277,1522,1797,2049,2317,2598,2871,3128,3359,3583,3753,3881,3966,4019,4065,4098,4133,4163,4187,4213,4237,4254,4265,4274
0,0,0,0,0,10,52,147,283,481,740,1032,1334,1666,2014,2368,2699,3006,3257,3464,3634,3760,3874,3976,4044,4103,4155,4189,4230,4260,4273,4279,4280,4280,4280,4280
0,0,0,0,0,10,53,148,306,503,761,1042,1361,1656,1979,2291,2611,2925,3221,3479,3700,3856,3980,4071,4140,4182,4213,4236,4249,4261,4270,4278,4280,4280,4280,4280
0,0,0,0,0,10,54,152,323,546,831,1145,1514,1906,2247,2594,2891,3153,3395,3590,3726,3842,3931,3999,4060,4117,4170,4218,4248,4264,4275,4280,4280,4280,4280,4280
0,0,0,0,0,10,60,174,348,584,869,1163,1461,1784,2069,2346,2624,2893,3080,3259,3410,3533,3646,3745,3827,3903,3972,4033,4087,4133,4172,4204,4225,4248,4263,4274
0,0,0,0,0,10,53,143,301,498,742,1004,1289,1598,1908,2237,2535,2793,3007,3179,3324,3451,3545,3621,3694,3761,3830,3888,3947,4004,4061,4109,4152,4191,4225,4255
0,0,0,0,0,10,57,160,331,536,738,978,1241,1532,1797,2055,2317,2542,2768,2960,3129,3281,3413,3524,3628,3712,3794,3865,3931,3988,4041,4081,4120,4155,4190,4218
