0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0,0,0,10,18,32,56,80,110,138,176,213,254,302,350,408,466,524,583,668,741,822,905,999,1076,1164,1253,1327,1402,1493,1578,1675,1768,1875,1968,2058,2157,2246,2334,2420,2500,2578,2658,2747,2841,2928,3013,3098,3160,3227,3280,3342,3409,3458,3522,3580,3620,3665,3706,3747,3779,3826,3864,3898,3937,3973,4003,4043,4072,4099,4122,4152,4177,4208,4240,4270,4296,4317,4338,4355,4375,4388,4406,4425,4438,4453,4464,4470
0,0,0,10,20,39,67,98,138,174,212,263,312,369,439,507,569,629,703,780,861,943,1037,1137,1223,1321,1419,1521,1635,1735,1836,1948,2057,2175,2288,2398,2503,2599,2671,2749,2827,2905,2971,3036,3089,3144,3197,3254,3313,3354,3412,3463,3498,3538,3578,3613,3649,3691,3724,3763,3798,3827,3857,3888,3918,3950,3978,4005,4032,4053,4078,4095,4115,4137,4155,4172,4196,4213,4234,4248,4267,4285,4297,4311,4327,4342,4362,4371
0,0,0,10,19,30,52,71,100,134,169,213,267,319,371,432,499,565,633,697,763,830,925,1014,1107,1206,1306,1403,1527,1641,1758,1884,1991,2115,2221,2320,2439,2549,2673,2797,2908,3031,3132,3245,3338,3433,3530,3626,3697,3755,3802,3851,3889,3926,3974,4009,4048,4086,4119,4144,4170,4185,4211,4231,4252,4265,4282,4297,4309,4317,4328,4335,4342,4348,4355,4357,4359,4364,4366,4368,4369,4369,4372,4373,4373,4373,4373,4373
0,0,0,10,16,28,37,53,70,100,129,155,178,210,242,279,323,363,407,455,495,545,599,643,687,744,800,852,919,983,1040,1110,1180,1251,1336,1408,1483,1557,1637,1717,1786,1863,1939,2013,2080,2159,2236,2303,2357,2413,2480,2537,2599,2643,2695,2744,2805,2859,2909,2962,3027,3083,3132,3187,3236,3304,3367,3426,3503,3569,3630,3687,3738,3784,3825,3881,3919,3957,3992,4025,4058,4084,4105,4124,4141,4155,4170,4188
0,0,0,10,16,31,48,77,100,129,176,207,252,309,349,412,472,534,607,691,775,860,944,1035,1124,1216,1316,1429,1539,1654,1766,1877,1980,2085,2182,2284,2371,2478,2566,2669,2760,2849,2932,3005,3078,3136,3201,3262,3328,3389,3454,3507,3549,3594,3639,3678,3722,3754,3796,3833,3861,3890,3926,3960,3986,4016,4045,4075,4096,4122,4141,4161,4180,4195,4211,4221,4235,4248,4260,4276,4293,4309,4326,4336,4352,4362,4376,4387
0,0,0,10,18,32,57,86,117,150,189,240,286,342,388,445,507,585,657,724,807,878,941,1019,1090,1161,1224,1293,1363,1439,1527,1604,1679,1764,1842,1920,1997,2077,2164,2241,2325,2401,2481,2563,2648,2726,2816,2896,2977,3053,3135,3201,3280,3344,3416,3470,3513,3567,3611,3652,3688,3730,3767,3793,3833,3865,3895,3926,3955,3989,4019,4047,4070,4090,4112,4126,4143,4152,4165,4173,4188,4206,4223,4233,4248,4260,4273,4273
0,0,0,10,23,40,59,91,119,158,202,246,304,353,400,457,520,574,633,697,766,835,914,1002,1074,1152,1230,1308,1392,1470,1551,1634,1705,1774,1851,1922,1991,2067,2138,2207,2275,2338,2393,2450,2505,2563,2612,2654,2692,2727,2777,2825,2865,2909,2943,2977,3017,3056,3096,3139,3186,3217,3261,3290,3322,3360,3400,3438,3477,3512,3542,3577,3609,3631,3661,3680,3701,3718,3746,3766,3796,3826,3861,3887,3905,3931,3961,3986
0,0,0,10,19,35,56,81,108,135,171,205,244,279,317,355,403,458,515,580,644,706,765,852,925,1000,1092,1196,1284,1362,1439,1519,1599,1691,1773,1860,1942,2024,2098,2165,2253,2324,2399,2452,2507,2581,2648,2720,2782,2845,2909,2967,3027,3081,3143,3202,3254,3309,3354,3414,3461,3509,3554,3595,3630,3662,3688,3708,3726,3743,3767,3783,3800,3812,3828,3843,3856,3873,3898,3921,3940,3952,3969,3986,3998,4014,4044,4058
0,0,0,10,19,32,51,71,95,119,151,185,222,264,302,349,410,478,543,603,656,726,801,867,937,1017,1095,1202,1308,1408,1512,1620,1696,1777,1868,1958,2049,2142,2231,2332,2418,2496,2578,2662,2744,2827,2904,2978,3049,3112,3178,3248,3312,3370,3433,3501,3563,3632,3689,3739,3799,3850,3893,3935,3970,4004,4048,4079,4108,4140,4164,4184,4209,4230,4253,4278,4301,4318,4331,4345,4358,4364,4375,4387,4395,4404,4413,4427
0,0,0,10,19,38,57,82,112,150,187,234,280,335,390,456,527,594,659,718,790,878,952,1022,1100,1195,1275,1382,1492,1602,1711,1832,1959,2073,2200,2322,2421,2531,2632,2725,2823,2921,3017,3118,3214,3313,3411,3503,3568,3640,3703,3764,3814,3859,3901,3957,3999,4043,4084,4123,4162,4191,4215,4237,4257,4277,4297,4313,4329,4343,4354,4368,4375,4387,4397,4401,4405,4408,4416,4423,4428,4436,4443,4446,4451,4455,4460,4465
0,0,0,10,16,30,46,63,84,110,144,176,222,259,309,356,405,461,527,594,662,737,816,900,977,1056,1144,1218,1294,1374,1461,1550,1639,1716,1789,1870,1945,2023,2110,2193,2271,2355,2426,2515,2585,2672,2745,2819,2899,2964,3041,3116,3187,3247,3307,3364,3425,3479,3535,3589,3643,3690,3743,3780,3822,3875,3921,3955,4003,4037,4071,4100,4123,4139,4171,4189,4210,4225,4247,4260,4274,4289,4300,4313,4326,4339,4350,4361
0,0,0,10,17,27,54,72,101,133,160,184,223,259,309,355,400,443,486,529,586,657,718,784,842,908,961,1038,1112,1197,1278,1359,1436,1513,1591,1669,1743,1829,1904,1997,2070,2158,2237,2330,2405,2487,2575,2669,2756,2834,2919,3007,3088,3170,3239,3311,3400,3477,3562,3644,3710,3762,3806,3853,3896,3929,3961,3998,4038,4082,4132,4178,4204,4238,4263,4285,4310,4327,4339,4356,4368,4376,4392,4403,4413,4424,4433,4439
