0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,0,0,10,72,201,391,644,956,1317,1717,2180,2701,3271,3892,4570,5285,6016,6769,7520,8183,8788,9376,9951,10515,11080,11639,12204,12768,13328,13882,14334,14674,14981,15265,15489,15658,15803,15939
0,0,0,10,74,222,451,764,1150,1583,2074,2627,3222,3873,4544,5261,5969,6679,7416,8182,8908,9567,10214,10792,11300,11700,12076,12428,12767,13102,13424,13736,14044,14339,14624,14884,15123,15349,15564
0,0,0,10,78,225,451,737,1089,1503,1980,2516,3117,3775,4464,5158,5848,6566,7270,7935,8571,9187,9761,10284,10752,11171,11570,11939,12308,12665,13005,13320,13606,13880,14154,14416,14674,14916,15117
0,0,0,10,74,223,433,713,1062,1494,1975,2507,3084,3709,4353,5041,5751,6480,7196,7890,8589,9250,9878,10498,11107,11702,12298,12876,13465,14038,14585,15019,15385,15712,15985,16206,16400,16557,16682
0,0,0,10,75,217,438,720,1061,1434,1833,2238,2673,3132,3610,4089,4578,5075,5572,6079,6591,7101,7602,8122,8625,9123,9591,9991,10389,10777,11176,11575,11959,12333,12710,13091,13474,13852,14151
0,0,0,10,73,225,454,748,1106,1532,2021,2575,3187,3856,4536,5229,5928,6585,7251,7907,8518,9111,9708,10240,10721,11186,11649,12085,12488,12874,13252,13599,13881,14141,14385,14611,14817,15014,15202
0,0,0,10,73,224,444,743,1123,1567,2080,2637,3236,3843,4487,5141,5814,6473,7123,7749,8373,8995,9600,10213,10766,11288,11787,12271,12698,13105,13473,13820,14149,14471,14781,15085,15362,15598,15803
0,0,0,10,79,228,439,704,1024,1402,1818,2257,2734,3218,3738,4254,4774,5306,5870,6393,6882,7365,7846,8310,8779,9250,9709,10143,10558,10945,11293,11635,11963,12261,12540,12796,13029,13254,13476
0,0,0,10,69,212,424,698,1029,1396,1812,2267,2758,3291,3846,4408,4980,5551,6099,6654,7221,7797,8375,8952,9540,10100,10670,11218,11730,12218,12691,13142,13535,13903,14253,14594,14923,15216,15476
0,0,0,10,72,220,449,750,1138,1589,2101,2674,3285,3954,4655,5367,6109,6793,7437,8074,8711,9299,9880,10458,11009,11521,12020,12478,12936,13383,13828,14227,14572,14903,15215,15485,15730,15931,16111
0,0,0,10,76,224,444,733,1090,1491,1953,2450,2977,3552,4136,4693,5265,5855,6455,7075,7693,8315,8944,9581,10222,10874,11510,12097,12613,13107,13581,14045,14493,14920,15338,15716,15987,16179,16337
0,0,0,10,75,219,455,765,1129,1551,2033,2562,3146,3762,4424,5108,5825,6543,7260,8006,8723,9384,10022,10610,11070,11469,11816,12149,12463,12758,13025,13259,13469,13649,13816,13976,14127,14274,14426
0,0,0,10,70,205,410,677,987,1346,1762,2215,2684,3183,3713,4259,4815,5379,5952,6532,7093,7657,8211,8725,9216,9678,10101,10496,10875,11230,11556,11846,12087,12318,12538,12749,12958,13170,13380
0,0,0,10,70,219,439,727,1053,1425,1841,2303,2796,3329,3880,4442,5000,5552,6121,6689,7237,7751,8229,8706,9164,9603,10025,10429,10819,11195,11555,11908,12248,12582,12917,13253,13597,13930,14269
0,0,0,10,63,201,411,682,1020,1403,1828,2308,2831,3378,3942,4536,5129,5709,6315,6948,7602,8263,8933,9555,10125,10612,11083,11547,12010,12469,12916,13351,13775,14183,14515,14827,15114,15375,15599
0,0,0,10,80,229,455,759,1146,1584,2076,2604,3173,3777,4407,5081,5749,6425,7101,7767,8422,9066,9674,10249,10801,11322,11829,12320,12776,13186,13524,13794,14048,14294,14524,14742,14951,15142,15322
0,0,0,10,80,227,450,736,1074,1473,1920,2419,2963,3535,4120,4655,5194,5720,6225,6701,7167,7624,8039,8407,8767,9128,9494,9850,10197,10535,10866,11186,11499,11790,12078,12360,12634,12901,13158
0,0,0,10,79,233,464,766,1151,1616,2142,2703,3305,3917,4546,5212,5906,6599,7307,8027,8708,9377,10025,10627,11227,11799,12331,12807,13232,13577,13886,14184,14470,14746,15001,15228,15431,15613,15781
0,0,0,10,73,217,433,715,1067,1464,1916,2423,2974,3549,4174,4836,5541,6269,6990,7696,8395,9083,9753,10407,11036,11650,12258,12820,13370,13908,14441,14940,15324,15681,15948,16184,16404,16528,16611
0,0,0,10,75,216,430,724,1078,1509,2002,2562,3181,3861,4595,5353,6151,6930,7709,8487,9260,10033,10806,11510,12187,12849,13491,14056,14485,14820,15116,15384,15631,15854,16056,16241,16410,16561,16688
0,0,0,10,74,221,459,769,1159,1629,2170,2785,3472,4197,4945,5707,6480,7258,8061,8873,9708,10525,11312,12050,12777,13429,13924,14348,14679,14976,15246,15484,15692,15867,16019,16141,16244,16334,16412
0,0,0,10,72,220,451,755,1137,1593,2100,2649,3250,3884,4548,5227,5951,6663,7394,8108,8832,9543,10247,10962,11602,12181,12714,13172,13565,13931,14278,14602,14898,15150,15374,15575,15758,15926,16073
0,0,0,10,72,219,435,720,1064,1481,1961,2477,3014,3549,4057,4577,5069,5503,5940,6371,6821,7280,7727,8154,8551,8952,9340,9707,10062,10410,10758,11099,11440,11775,12107,12432,12752,13075,13387
0,0,0,10,80,229,464,760,1127,1545,2034,2586,3179,3811,4470,5144,5838,6531,7230,7911,8609,9306,10020,10748,11425,12085,12752,13375,13939,14344,14644,14869,15061,15225,15380,15528,15668,15799,15929
0,0,0,10,75,212,420,687,1025,1428,1885,2393,2950,3549,4176,4840,5508,6195,6896,7621,8308,8957,9579,10184,10680,11137,11520,11880,12209,12521,12822,13109,13378,13640,13897,14141,14377,14607,14833
0,0,0,10,82,226,453,750,1111,1550,2039,2574,3161,3789,4456,5122,5809,6514,7224,7912,8565,9181,9759,10301,10834,11351,11834,12267,12695,13058,13414,13766,14089,14327,14551,14758,14960,15155,15341
0,0,0,10,73,209,417,692,1006,1355,1755,2192,2636,3105,3617,4146,4708,5290,5869,6460,7050,7630,8194,8761,9328,9892,10435,10973,11502,12016,12531,13043,13543,14034,14512,14945,15304,15610,15891
0,0,0,10,74,224,446,753,1126,1581,2088,2664,3285,3929,4617,5348,6124,6924,7757,8593,9445,10292,11123,11960,12727,13399,14024,14553,14996,15376,15630,15822,15987,16118,16228,16332,16429,16507,16574
0,0,0,10,79,234,464,767,1150,1586,2105,2678,3304,3961,4645,5358,6094,6787,7383,7959,8487,8994,9485,9963,10406,10814,11207,11593,11957,12314,12655,12988,13313,13628,13924,14212,14467,14704,14917
0,0,0,10,77,226,455,755,1126,1564,2071,2641,3274,3949,4645,5384,6111,6876,7656,8411,9135,9830,10496,11137,11753,12352,12956,13550,14065,14563,15007,15405,15737,16003,16231,16425,16585,16718,16819
0,0,0,10,79,239,465,774,1164,1635,2156,2707,3274,3866,4488,5115,5768,6450,7132,7833,8525,9213,9861,10491,11072,11620,12104,12531,12929,13294,13622,13929,14218,14494,14755,15010,15229,15420,15600
0,0,0,10,74,221,446,752,1130,1566,2066,2618,3208,3826,4475,5137,5802,6453,7064,7645,8227,8771,9285,9785,10267,10733,11176,11612,12025,12407,12758,13092,13415,13725,14021,14309,14585,14834,15074
0,0,0,10,73,213,429,713,1058,1458,1919,2427,2990,3607,4285,4985,5712,6449,7215,7939,8672,9409,10145,10889,11555,12190,12780,13316,13822,14306,14757,15171,15546,15894,16190,16382,16540,16679,16773
0,0,0,10,76,228,458,766,1159,1618,2139,2724,3369,4033,4724,5431,6130,6785,7412,8013,8544,9031,9513,9976,10439,10888,11298,11686,12070,12445,12816,13181,13552,13916,14279,14643,14993,15321,15597
0,0,0,10,70,216,422,699,1036,1419,1844,2298,2776,3292,3843,4413,4993,5584,6167,6746,7319,7889,8450,9017,9571,10101,10618,11126,11619,12026,12407,12765,13115,13460,13775,14077,14347,14605,14845
0,0,0,10,77,226,449,735,1078,1467,1907,2400,2906,3427,3963,4509,5068,5644,6232,6836,7435,8036,8614,9207,9806,10350,10850,11338,11811,12279,12714,13133,13504,13860,14176,14438,14691,14921,15140
0,0,0,10,72,219,438,728,1054,1435,1873,2359,2891,3443,4052,4677,5335,6012,6717,7443,8194,8978,9770,10559,11348,12132,12836,13453,13978,14386,14748,15087,15340,15530,15669,15796,15919,16029,16133
0,0,0,10,72,226,458,754,1116,1525,1986,2492,3037,3621,4226,4831,5434,6060,6695,7320,7923,8510,9064,9600,10126,10645,11157,11658,12134,12554,12898,13225,13541,13843,14135,14414,14664,14895,15103
0,0,0,10,77,229,451,762,1144,1596,2113,2689,3317,4004,4718,5441,6221,7015,7828,8652,9496,10310,11063,11770,12392,12998,13581,14121,14550,14824,15053,15267,15474,15673,15860,16038,16204,16358,16495
0,0,0,10,79,225,452,753,1120,1555,2059,2623,3241,3912,4616,5358,6113,6891,7684,8443,9128,9809,10447,11062,11614,12125,12610,13031,13404,13756,14081,14391,14674,14939,15169,15389,15588,15784,15964
0,0,0,10,75,220,436,713,1040,1419,1848,2330,2871,3466,4078,4723,5387,6059,6719,7378,8030,8676,9254,9812,10378,10905,11401,11868,12264,12620,12973,13295,13602,13867,14103,14328,14542,14738,14928
0,0,0,10,72,222,439,724,1068,1484,1927,2409,2927,3486,4090,4726,5400,6060,6709,7341,7937,8546,9133,9709,10285,10859,11399,11890,12375,12753,13060,13349,13629,13895,14146,14394,14636,14870,15100
0,0,0,10,76,223,422,682,1000,1375,1801,2258,2740,3265,3783,4283,4792,5304,5825,6357,6895,7432,7978,8509,9042,9566,10081,10588,11084,11573,12054,12499,12906,13294,13670,14019,14370,14697,15015
0,0,0,10,73,204,405,679,1012,1383,1808,2270,2783,3303,3835,4390,4943,5503,6074,6648,7223,7796,8351,8902,9448,9995,10494,10965,11413,11862,12311,12755,13180,13566,13936,14278,14590,14846,15053
0,0,0,10,71,207,415,689,1030,1454,1916,2431,2989,3575,4193,4859,5529,6219,6934,7675,8375,9062,9773,10470,11162,11812,12426,12945,13421,13856,14225,14559,14863,15143,15400,15644,15871,16081,16267
0,0,0,10,72,222,450,760,1151,1616,2153,2731,3364,4022,4716,5453,6225,7021,7832,8599,9364,10142,10900,11619,12280,12831,13360,13823,14220,14562,14878,15166,15443,15714,15965,16197,16418,16555,16661
0,0,0,10,83,232,462,763,1131,1557,2053,2610,3200,3803,4439,5051,5662,6278,6920,7582,8261,8917,9533,10121,10696,11246,11754,12152,12443,12692,12935,13164,13389,13602,13808,13999,14170,14330,14483
0,0,0,10,79,229,456,767,1152,1606,2103,2658,3216,3819,4412,5021,5645,6290,6960,7633,8288,8951,9574,10194,10787,11366,11918,12457,12984,13496,13986,14433,14830,15207,15545,15820,16016,16191,16346
0,0,0,10,80,233,466,770,1140,1575,2056,2586,3112,3660,4222,4784,5362,5956,6504,7058,7558,8044,8497,8941,9351,9731,10119,10503,10876,11243,11611,11972,12317,12652,12974,13270,13540,13798,14018
0,0,0,10,77,219,428,716,1066,1476,1933,2452,3013,3621,4242,4862,5512,6190,6842,7504,8132,8750,9369,9986,10563,11098,11608,12075,12496,12906,13290,13653,13999,14311,14584,14816,15004,15171,15322
0,0,0,10,79,220,437,728,1104,1533,2022,2558,3086,3625,4183,4778,5379,5991,6621,7263,7926,8597,9260,9920,10534,11138,11656,12144,12584,12996,13396,13745,14080,14348,14589,14817,15025,15219,15397
0,0,0,10,73,215,417,681,1009,1403,1848,2343,2886,3472,4065,4672,5302,5948,6601,7267,7947,8653,9347,10029,10683,11304,11911,12456,12959,13446,13880,14266,14617,14952,15206,15452,15676,15871,16031
0,0,0,10,79,233,453,752,1126,1574,2097,2678,3274,3919,4575,5225,5890,6520,7148,7781,8403,9010,9611,10197,10779,11360,11920,12466,13009,13538,14048,14544,14999,15322,15606,15831,16008,16153,16280
0,0,0,10,73,222,443,741,1098,1517,1986,2496,3057,3617,4204,4798,5429,6085,6766,7478,8212,8967,9731,10506,11287,12059,12829,13510,14137,14693,15165,15522,15835,16007,16134,16235,16329,16409,16477
0,0,0,10,79,227,462,761,1127,1536,1999,2509,3078,3666,4298,4951,5644,6354,7038,7722,8368,8983,9559,10094,10635,11178,11720,12269,12815,13366,13919,14470,14936,15314,15636,15941,16147,16329,16463
0,0,0,10,71,220,445,734,1088,1495,1955,2464,3027,3648,4298,4964,5650,6353,7077,7782,8498,9225,9957,10641,11300,11917,12477,12980,13465,13913,14269,14575,14854,15095,15309,15516,15712,15898,16074
0,0,0,10,74,224,455,773,1163,1619,2112,2658,3248,3881,4532,5204,5895,6620,7357,8084,8760,9323,9820,10290,10728,11132,11512,11854,12145,12387,12618,12840,13060,13268,13473,13670,13859,14045,14223
0,0,0,10,69,215,426,681,981,1317,1701,2105,2531,2981,3442,3913,4407,4884,5372,5862,6344,6834,7347,7856,8393,8929,9479,10023,10566,11074,11558,12011,12436,12852,13201,13484,13758,13987,14175
0,0,0,10,76,218,429,703,1041,1448,1895,2388,2923,3481,4013,4501,4990,5485,5975,6483,7009,7546,8104,8683,9270,9827,10366,10809,11234,11636,12008,12346,12656,12933,13186,13421,13646,13862,14072
0,0,0,10,79,226,439,719,1060,1432,1825,2251,2723,3223,3723,4237,4763,5301,5847,6408,6973,7547,8137,8717,9296,9866,10397,10897,11374,11825,12262,12655,12997,13321,13626,13903,14152,14383,14598
0,0,0,10,73,224,454,765,1143,1598,2103,2668,3268,3893,4557,5216,5883,6564,7269,7949,8603,9242,9851,10449,11046,11607,12155,12621,13063,13473,13867,14236,14576,14896,15177,15442,15684,15898,16084
0,0,0,10,79,220,431,712,1061,1479,1974,2532,3147,3796,4460,5128,5773,6422,7063,7658,8242,8820,9398,9970,10507,11013,11506,11995,12455,12872,13260,13624,13928,14200,14440,14664,14861,15044,15219
0,0,0,10,77,228,460,764,1126,1551,2042,2593,3201,3858,4549,5246,5904,6554,7179,7784,8390,8951,9490,10005,10484,10933,11320,11683,12025,12352,12655,12952,13237,13514,13776,14018,14243,14449,14643
0,0,0,10,79,229,445,736,1096,1520,1989,2516,3091,3716,4383,5023,5636,6254,6889,7549,8214,8854,9484,10114,10740,11319,11809,12255,12653,13002,13301,13596,13878,14152,14420,14669,14894,15101,15297
0,0,0,10,72,216,429,727,1090,1503,1956,2457,3004,3575,4176,4803,5434,6074,6721,7387,8075,8771,9478,10183,10892,11594,12298,12991,13612,13983,14269,14486,14657,14811,14951,15083,15211,15331,15447
0,0,0,10,74,222,432,715,1054,1460,1933,2453,3025,3620,4199,4772,5331,5866,6401,6938,7485,8008,8545,9087,9581,10030,10458,10867,11262,11642,12018,12381,12718,13053,13379,13708,14031,14349,14641
0,0,0,10,74,219,430,699,1023,1406,1841,2331,2860,3393,3968,4558,5188,5847,6541,7237,7963,8692,9369,10039,10680,11318,11955,12501,12998,13472,13912,14313,14674,15008,15319,15609,15802,15964,16103
0,0,0,10,74,227,454,751,1122,1558,2054,2590,3164,3770,4404,5060,5720,6315,6892,7449,7999,8542,9083,9617,10107,10524,10909,11266,11630,11980,12319,12634,12943,13225,13488,13720,13940,14144,14343
