0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,10,67,193,398,655,968,1349,1810,2307,2837,3403,3997,4623,5261,5948,6670,7368,8045,8722,9413,10122,10838,11580,12310,13007,13686,14369,15030,15679,16324,16951,17579,18180,18775,19362,19935,20501,21072,21631,22178,22634,23047,23410,23751,24060,24339,24611,24877,25132,25382,25626,25857,26086,26290,26480,26665,26846,27011,27185,27355,27522,27686,27839,28005,28160,28314,28461,28602,28742,28856,28960,29053,29149,29243,29331,29413,29495,29575,29652,29720,29788,29855,29915,29973,30031,30085,30132,30178,30218,30257,30292,30322,30349,30371,30388,30403,30413,30418,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420
0,10,69,194,383,644,958,1329,1745,2206,2693,3231,3804,4428,5091,5801,6519,7259,8013,8804,9636,10478,11362,12285,13183,14107,15010,15873,16738,17606,18461,19296,20112,20931,21731,22494,23231,23929,24609,25255,25862,26403,26910,27391,27762,28092,28348,28536,28713,28873,29028,29179,29316,29443,29558,29671,29776,29865,29958,30037,30116,30187,30259,30326,30387,30411,30419,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420
0,10,70,212,425,697,1024,1410,1865,2401,2971,3598,4276,5022,5781,6573,7406,8283,9187,10136,11083,12052,12999,13937,14816,15672,16519,17342,18134,18925,19687,20414,21126,21811,22490,23146,23747,24294,24823,25330,25811,26219,26595,26930,27239,27516,27773,28020,28257,28492,28709,28923,29124,29291,29456,29606,29750,29862,29957,30053,30129,30196,30255,30298,30335,30359,30378,30392,30404,30412,30417,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418,30418
0,10,72,210,421,685,1002,1368,1800,2284,2827,3444,4101,4793,5536,6322,7160,7995,8858,9760,10666,11541,12434,13370,14317,15268,16220,17149,18054,18916,19717,20523,21244,21928,22578,23213,23809,24367,24892,25397,25870,26321,26752,27117,27463,27773,28061,28326,28547,28736,28910,29071,29218,29345,29469,29588,29697,29797,29895,29987,30071,30149,30220,30280,30329,30363,30390,30407,30414,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420,30420
0,10,65,202,410,698,1055,1489,1976,2527,3137,3750,4395,5094,5840,6620,7441,8288,9164,10026,10902,11798,12716,13647,14581,15477,16363,17182,17952,18663,19374,20062,20732,21391,21989,22529,23066,23597,24103,24570,25035,25432,25819,26189,26526,26857,27175,27481,27789,28069,28326,28547,28751,28942,29112,29265,29406,29534,29646,29750,29837,29915,29984,30048,30100,30151,30195,30237,30271,30306,30335,30361,30380,30398,30410,30417,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421,30421
0,10,58,170,357,602,894,1213,1572,1981,2430,2912,3444,4008,4610,5224,5829,6461,7102,7763,8388,8988,9583,10178,10770,11350,11936,12513,13095,13674,14246,14827,15418,16018,16605,17179,17764,18323,18899,19453,20031,20599,21181,21716,22228,22734,23237,23739,24222,24695,25152,25571,25953,26313,26653,26982,27291,27603,27897,28167,28427,28685,28934,29163,29380,29559,29699,29794,29869,29940,30003,30063,30116,30163,30207,30247,30281,30315,30342,30363,30380,30397,30408,30416,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419,30419
0,10,71,214,425,719,1094,1540,2054,2666,3348,4077,4858,5658,6491,7354,8250,9186,10096,11048,12032,13023,13980,14901,15824,16740,17671,18592,19504,20367,21212,22032,22835,23546,24209,24823,25400,25935,26445,26913,27300,27667,28000,28298,28569,28820,29044,29252,29443,29613,29770,29906,30028,30133,30218,30289,30354,30396,30415,30420,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422,30422
0,10,68,203,422,702,1053,1455,1907,2393,2916,3479,4049,4671,5314,5981,6690,7457,8230,8982,9678,10375,11089,11789,12496,13201,13878,14540,15194,15826,16466,17086,17712,18319,18923,19502,20078,20612,21127,21625,22099,22574,23033,23480,23916,24342,24750,25142,25511,25873,26214,26553,26884,27206,27515,27810,28090,28348,28597,28833,29055,29252,29430,29585,29720,29826,29922,30015,30096,30171,30238,30303,30350,30386,30408,30419,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423,30423
0,10,65,197,404,697,1055,1483,1978,2551,3192,3888,4654,5479,6346,7246,8169,9104,10072,10993,11909,12812,13743,14614,15446,16273,17084,17873,18669,19456,20212,20887,21528,22158,22767,23343,23919,24455,24973,25480,25974,26450,26917,27376,27831,28294,28701,29026,29280,29488,29598,29691,29774,29846,29913,29975,30032,30086,30133,30178,30219,30255,30287,30318,30342,30366,30383,30398,30408,30413,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416,30416
0,10,65,194,399,679,1003,1412,1885,2383,2901,3460,4034,4647,5277,5927,6606,7295,8018,8755,9544,10335,11168,12040,12854,13680,14501,15337,16190,17045,17914,18758,19576,20396,21204,22001,22739,23461,24154,24706,25206,25601,25963,26294,26607,26906,27180,27435,27675,27899,28105,28306,28482,28654,28817,28978,29124,29258,29385,29506,29628,29737,29832,29922,29998,30070,30137,30202,30249,30292,30328,30356,30379,30400,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417,30417
