0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,0,0,0,0,10,31,81,171,300,470,660,873,1130,1413,1718,2042,2401,2802,3212,3631,4025,4449,4873,5336,5796,6252,6752,7256,7791,8285,8766,9241,9677,10070,10391,10675,10889,11103,11282,11437,11566,11674,11771,11857,11938,12006,12060,12105,12152,12211,12250,12290,12320,12346,12366
0,0,0,0,0,10,28,76,157,272,431,633,877,1157,1464,1824,2198,2572,2990,3448,3883,4358,4798,5194,5635,6046,6452,6881,7278,7658,8032,8405,8752,9095,9400,9693,9965,10206,10414,10620,10805,11001,11185,11359,11528,11671,11780,11868,11953,12021,12083,12143,12200,12253,12285,12306
0,0,0,0,0,10,34,86,173,298,461,640,863,1079,1325,1609,1892,2204,2534,2897,3242,3603,3967,4349,4744,5156,5552,5931,6305,6652,7016,7346,7676,8006,8274,8531,8757,8952,9153,9363,9538,9701,9831,9958,10086,10212,10314,10427,10513,10612,10700,10786,10869,10945,11029,11120
0,0,0,0,0,10,37,89,163,296,466,654,887,1140,1438,1772,2135,2507,2900,3343,3790,4215,4666,5145,5613,6082,6574,7018,7479,7903,8319,8745,9131,9456,9780,10042,10279,10491,10675,10841,10983,11110,11221,11325,11414,11504,11593,11667,11744,11805,11874,11947,12007,12079,12146,12209
0,0,0,0,0,10,31,78,165,282,433,634,856,1109,1392,1724,2096,2450,2848,3282,3729,4185,4614,5044,5495,5910,6312,6698,7096,7461,7810,8123,8403,8666,8919,9148,9375,9569,9741,9905,10092,10256,10403,10544,10697,10828,10959,11091,11217,11347,11448,11556,11656,11751,11840,11934
0,0,0,0,0,10,27,72,150,259,405,608,834,1080,1345,1656,1984,2308,2653,3038,3428,3819,4228,4621,4993,5365,5714,6065,6395,6716,7014,7318,7597,7874,8140,8407,8670,8915,9153,9367,9552,9748,9933,10078,10244,10401,10530,10651,10777,10902,11029,11147,11258,11347,11434,11515
0,0,0,0,0,10,31,65,123,217,345,512,702,919,1144,1424,1698,2008,2323,2681,3050,3433,3855,4260,4673,5114,5548,5954,6343,6743,7138,7510,7885,8264,8637,8971,9270,9522,9741,9939,10100,10255,10384,10494,10604,10699,10799,10901,11002,11100,11186,11281,11366,11450,11520,11600
0,0,0,0,0,10,45,105,209,342,512,719,954,1204,1505,1839,2181,2545,2922,3351,3729,4140,4539,4934,5327,5681,6048,6385,6726,7069,7434,7770,8077,8351,8597,8844,9058,9254,9438,9622,9789,9966,10146,10338,10494,10657,10801,10944,11083,11239,11356,11458,11543,11615,11695,11765
0,0,0,0,0,10,26,66,139,245,356,510,683,870,1115,1362,1649,1951,2295,2627,2965,3323,3670,4009,4342,4674,5023,5344,5673,6000,6330,6665,6983,7294,7603,7914,8216,8525,8858,9156,9451,9734,10002,10229,10467,10685,10885,11081,11274,11425,11537,11645,11741,11825,11895,11968
0,0,0,0,0,10,36,83,166,287,442,629,867,1116,1429,1733,2082,2482,2880,3298,3740,4224,4711,5210,5731,6274,6826,7349,7887,8458,8990,9495,9958,10347,10656,10935,11162,11373,11569,11730,11875,11971,12051,12119,12172,12220,12266,12300,12323,12352,12367,12375,12378,12382,12385,12385
