0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,10,65,196,403,661,981,1321,1667,2003,2315,2608,2881,3142,3398,3610,3802,3965,4112,4255,4385,4499,4612,4715,4819,4916,5009,5097,5183,5273,5354,5433,5500,5557,5607,5645,5682,5713,5740,5764,5782,5794,5797,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,69,206,422,702,1033,1393,1765,2158,2558,2975,3376,3699,3972,4213,4436,4625,4788,4901,5006,5114,5223,5322,5423,5519,5602,5672,5721,5752,5774,5788,5794,5796,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,72,217,443,716,1044,1412,1759,2110,2469,2820,3154,3427,3671,3878,4064,4221,4361,4499,4626,4752,4880,5006,5122,5233,5317,5398,5471,5544,5600,5647,5687,5718,5744,5765,5780,5790,5797,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,71,207,426,694,995,1341,1692,2045,2391,2750,3121,3467,3799,4093,4354,4597,4809,4997,5177,5310,5403,5484,5552,5614,5660,5697,5730,5752,5769,5781,5791,5796,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,77,222,450,739,1081,1433,1799,2181,2572,2976,3406,3794,4119,4368,4564,4736,4892,5027,5149,5263,5351,5415,5474,5525,5570,5608,5646,5679,5710,5736,5757,5776,5788,5796,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,67,196,411,678,969,1270,1594,1940,2304,2686,3079,3484,3865,4208,4519,4817,5050,5262,5436,5549,5641,5707,5746,5772,5787,5795,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,69,200,407,661,969,1320,1711,2119,2562,3020,3481,3940,4337,4675,4942,5153,5325,5466,5576,5655,5716,5757,5779,5791,5796,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,67,203,413,679,991,1327,1659,2000,2332,2620,2889,3143,3388,3575,3737,3894,4043,4184,4318,4447,4574,4690,4806,4913,5018,5115,5209,5298,5377,5453,5516,5576,5626,5665,5697,5724,5747,5765,5779,5789,5794,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795,5795
0,10,65,187,376,627,936,1299,1703,2097,2461,2807,3147,3478,3785,4052,4297,4478,4643,4802,4956,5101,5234,5348,5448,5542,5617,5677,5723,5758,5781,5792,5797,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,78,224,435,700,1014,1370,1750,2104,2466,2826,3148,3466,3781,4074,4350,4600,4810,4996,5142,5270,5379,5476,5560,5632,5692,5743,5779,5794,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,69,206,410,658,926,1235,1573,1915,2281,2655,3028,3386,3728,4058,4354,4616,4856,5047,5211,5359,5457,5517,5567,5608,5643,5678,5705,5728,5749,5767,5782,5791,5796,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,69,206,407,672,1002,1376,1814,2260,2721,3200,3647,4058,4387,4645,4860,5049,5220,5363,5463,5543,5601,5647,5685,5715,5741,5762,5777,5789,5795,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,69,208,411,670,982,1345,1718,2116,2526,2911,3272,3631,3959,4274,4569,4835,5052,5243,5363,5445,5496,5539,5580,5616,5647,5675,5700,5723,5743,5760,5774,5785,5793,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,72,208,404,650,955,1313,1706,2136,2593,3051,3485,3916,4270,4575,4830,5058,5257,5441,5580,5648,5692,5731,5761,5779,5790,5796,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,68,212,426,712,1048,1432,1850,2297,2779,3254,3669,4047,4369,4656,4889,5086,5248,5391,5510,5608,5672,5720,5755,5779,5793,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,64,198,394,636,918,1231,1571,1913,2259,2596,2920,3212,3503,3770,4008,4244,4464,4670,4845,5006,5132,5237,5329,5412,5484,5546,5605,5653,5688,5719,5745,5765,5780,5790,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,65,185,370,608,886,1209,1540,1866,2193,2509,2817,3113,3374,3627,3867,4090,4293,4482,4654,4803,4945,5082,5213,5340,5461,5576,5676,5729,5756,5776,5789,5795,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,70,213,417,684,982,1313,1655,2007,2375,2760,3132,3517,3907,4284,4595,4829,5020,5186,5316,5420,5506,5567,5624,5672,5716,5750,5775,5793,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,71,208,424,705,1038,1402,1795,2196,2602,2994,3367,3704,4038,4371,4685,4969,5229,5419,5525,5583,5625,5660,5689,5713,5738,5758,5774,5787,5795,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,73,218,444,734,1090,1501,1926,2350,2779,3227,3625,3975,4264,4505,4707,4905,5080,5238,5376,5484,5577,5643,5691,5730,5760,5780,5793,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,66,197,387,622,892,1193,1522,1847,2167,2500,2845,3202,3552,3891,4182,4431,4646,4819,4955,5068,5170,5256,5334,5410,5481,5542,5597,5642,5685,5719,5742,5762,5776,5788,5795,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796
0,10,66,198,396,651,946,1268,1617,1983,2382,2795,3210,3636,4039,4399,4708,4973,5210,5431,5597,5698,5748,5776,5790,5795,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,70,215,427,688,1011,1367,1756,2137,2541,2943,3319,3686,4028,4265,4472,4644,4805,4953,5091,5210,5307,5381,5455,5515,5571,5615,5660,5697,5729,5759,5786,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,61,200,399,671,1023,1407,1814,2243,2691,3142,3594,4006,4392,4753,4989,5127,5242,5330,5411,5486,5549,5614,5673,5714,5747,5767,5785,5796,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,69,219,436,703,1028,1375,1751,2168,2583,3020,3452,3848,4223,4578,4870,5085,5251,5372,5469,5559,5638,5693,5730,5752,5768,5782,5792,5796,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,72,210,410,660,954,1286,1649,2028,2447,2863,3224,3570,3864,4114,4278,4415,4542,4662,4778,4882,4976,5063,5134,5204,5264,5322,5377,5429,5475,5517,5559,5600,5635,5667,5696,5724,5748,5771,5783,5795,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,68,208,413,677,996,1365,1789,2198,2612,3045,3493,3944,4325,4631,4894,5103,5276,5402,5505,5589,5663,5719,5771,5790,5796,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,67,185,363,572,813,1055,1332,1621,1912,2218,2511,2804,3064,3305,3540,3775,4009,4233,4441,4649,4837,4999,5156,5290,5420,5545,5599,5643,5681,5712,5740,5763,5780,5791,5797,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,74,218,443,727,1072,1464,1890,2309,2707,3080,3461,3823,4172,4500,4742,4947,5118,5269,5398,5508,5594,5659,5700,5733,5757,5776,5789,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,72,203,397,638,917,1236,1575,1951,2343,2768,3182,3540,3881,4191,4466,4734,5001,5153,5286,5387,5462,5520,5568,5608,5644,5675,5703,5726,5747,5763,5777,5786,5793,5796,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,73,212,421,673,939,1230,1546,1885,2258,2627,2962,3299,3639,3974,4309,4602,4850,5059,5232,5380,5494,5590,5668,5719,5748,5770,5786,5796,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,75,214,429,701,1017,1364,1754,2159,2594,2976,3321,3626,3915,4193,4447,4664,4841,4985,5116,5231,5337,5434,5519,5590,5651,5697,5731,5757,5774,5787,5795,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,71,212,416,688,1016,1396,1805,2237,2673,3129,3567,3980,4306,4589,4850,5082,5290,5454,5571,5644,5698,5734,5759,5778,5789,5796,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,67,201,405,652,925,1219,1526,1835,2165,2482,2790,3081,3362,3642,3920,4195,4469,4698,4880,5046,5179,5304,5407,5489,5562,5617,5662,5703,5734,5758,5774,5784,5792,5797,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,69,205,411,663,935,1243,1578,1912,2261,2588,2913,3214,3498,3783,4043,4288,4502,4683,4857,5018,5162,5297,5420,5513,5580,5626,5667,5702,5731,5754,5772,5785,5793,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,62,180,374,626,928,1279,1630,2001,2374,2723,3026,3306,3561,3790,4007,4196,4377,4529,4655,4771,4873,4964,5045,5120,5192,5261,5327,5389,5448,5507,5561,5611,5657,5693,5723,5748,5767,5782,5792,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,69,189,377,626,922,1257,1614,1956,2278,2596,2872,3127,3361,3576,3786,3975,4156,4320,4487,4643,4794,4922,5037,5132,5204,5263,5316,5369,5419,5464,5507,5546,5583,5619,5650,5679,5704,5727,5746,5763,5777,5788,5795,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,76,215,422,680,992,1329,1667,2007,2351,2676,2986,3288,3575,3866,4153,4398,4629,4847,5061,5255,5434,5542,5625,5677,5717,5749,5769,5784,5794,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,74,215,440,731,1088,1498,1950,2436,2894,3276,3610,3908,4178,4422,4653,4866,5059,5231,5371,5486,5581,5659,5718,5757,5784,5795,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,69,199,386,569,759,952,1165,1393,1640,1895,2179,2468,2762,3075,3336,3589,3844,4100,4375,4648,4917,5145,5334,5439,5532,5607,5669,5721,5759,5783,5796,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,66,196,388,623,855,1068,1287,1500,1716,1931,2157,2388,2620,2860,3102,3333,3549,3769,3983,4188,4355,4514,4664,4810,4946,5074,5202,5329,5436,5519,5583,5623,5655,5684,5710,5731,5752,5768,5782,5792,5797,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,66,189,369,600,886,1214,1586,1973,2370,2765,3177,3573,3886,4151,4388,4571,4725,4858,4980,5100,5209,5305,5400,5493,5574,5645,5698,5735,5763,5783,5795,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,74,217,426,674,974,1321,1685,2068,2441,2812,3186,3552,3921,4278,4615,4907,5111,5297,5464,5603,5698,5758,5790,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,64,200,398,647,925,1231,1562,1911,2255,2607,2967,3334,3708,4021,4272,4464,4617,4765,4900,5002,5075,5150,5217,5276,5336,5395,5451,5502,5550,5595,5638,5678,5710,5733,5753,5770,5784,5794,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,82,225,448,727,1058,1414,1827,2271,2685,3073,3416,3692,3943,4172,4388,4591,4763,4895,5019,5124,5225,5314,5402,5475,5538,5582,5620,5654,5685,5712,5736,5757,5774,5786,5794,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797,5797
0,10,69,202,415,683,994,1321,1685,2056,2420,2775,3095,3402,3679,3943,4204,4432,4634,4830,5021,5196,5342,5457,5557,5640,5701,5749,5778,5793,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,67,206,409,680,1015,1407,1807,2229,2631,3012,3389,3757,4103,4417,4671,4881,5051,5191,5308,5417,5511,5584,5644,5692,5731,5760,5784,5796,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,71,203,416,692,1029,1416,1870,2317,2773,3227,3648,4042,4393,4665,4892,5089,5271,5418,5531,5614,5678,5723,5753,5775,5790,5796,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,71,209,417,682,975,1302,1656,2008,2343,2653,2950,3192,3400,3605,3810,3995,4173,4339,4493,4648,4791,4917,5050,5163,5263,5355,5436,5505,5567,5622,5666,5704,5732,5754,5771,5786,5795,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,70,213,427,702,1059,1469,1893,2323,2714,3100,3478,3807,4091,4340,4572,4789,4982,5145,5276,5363,5437,5493,5536,5578,5615,5648,5677,5704,5726,5748,5765,5780,5791,5797,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
0,10,70,204,398,660,987,1332,1677,2003,2311,2618,2945,3259,3540,3798,4039,4264,4471,4661,4836,4985,5117,5237,5344,5437,5524,5599,5661,5709,5744,5763,5780,5790,5795,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796,5796
0,10,65,205,399,666,975,1328,1677,2022,2385,2751,3091,3367,3601,3827,4043,4234,4411,4566,4702,4840,4963,5070,5144,5209,5272,5330,5391,5449,5503,5555,5605,5654,5700,5742,5767,5782,5792,5797,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
