0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0,0,0,0,10,37,113,236,435,684,1005,1378,1788,2247,2716,3191,3679,4172,4697,5187,5681,6143,6574,6995,7433,7851,8245,8637,9064,9478,9887,10272,10658,11025,11396,11762,12095,12423,12739,13070,13374,13667,13953,14222,14471,14703,14964,15217,15460,15706,15924,16147,16362,16581,16786,16995,17187,17375,17552,17699,17830,17964,18086,18189,18300,18393,18467
0,0,0,0,10,38,113,244,401,611,891,1223,1613,2052,2536,3096,3691,4334,5014,5703,6405,7119,7863,8602,9338,10087,10781,11471,12097,12660,13258,13819,14313,14754,15159,15521,15857,16194,16525,16866,17185,17495,17757,17984,18201,18366,18513,18647,18751,18833,18891,18938,18966,18987,18993,18994,18994,18994,18994,18994,18994,18994,18994,18994,18994,18994,18994
0,0,0,0,10,41,120,255,451,686,976,1304,1690,2133,2605,3136,3694,4299,4939,5635,6360,7108,7852,8629,9378,10141,10920,11693,12387,13096,13746,14374,14922,15368,15803,16174,16519,16853,17120,17352,17528,17675,17797,17908,18008,18104,18191,18262,18341,18415,18485,18543,18615,18672,18731,18786,18839,18890,18927,18954,18975,18989,18993,18994,18994,18994,18994
0,0,0,0,10,52,142,286,480,738,1025,1339,1683,2055,2466,2894,3364,3830,4328,4835,5337,5882,6401,6979,7523,8088,8696,9282,9903,10517,11119,11724,12349,12943,13538,14068,14572,15002,15408,15761,16067,16374,16644,16924,17161,17379,17579,17756,17932,18092,18244,18371,18493,18604,18703,18800,18867,18915,18952,18979,18989,18994,18994,18994,18994,18994,18994
0,0,0,0,10,44,127,258,442,687,990,1344,1758,2218,2693,3163,3635,4105,4564,5059,5523,6024,6486,6947,7359,7790,8199,8617,9046,9479,9909,10322,10766,11166,11596,12014,12387,12756,13125,13470,13815,14138,14444,14733,14988,15243,15486,15722,15964,16194,16421,16639,16853,17077,17300,17513,17729,17937,18138,18318,18461,18578,18673,18746,18800,18844,18881
0,0,0,0,10,47,131,268,464,712,1002,1345,1719,2177,2691,3259,3832,4462,5137,5804,6504,7248,7943,8622,9264,9904,10516,11080,11613,12151,12633,13052,13440,13803,14158,14475,14762,15023,15278,15516,15726,15949,16156,16349,16523,16693,16848,16994,17106,17224,17325,17439,17560,17655,17757,17860,17972,18068,18157,18245,18331,18426,18506,18589,18666,18727,18786
0,0,0,0,10,44,125,251,404,624,871,1186,1542,1916,2371,2875,3407,3989,4596,5214,5831,6501,7170,7816,8459,9087,9699,10299,10850,11365,11861,12362,12875,13351,13801,14219,14643,15051,15409,15793,16131,16416,16686,16927,17132,17348,17557,17740,17919,18078,18191,18279,18359,18439,18519,18586,18652,18718,18774,18820,18863,18896,18923,18944,18963,18977,18985
0,0,0,0,10,40,108,227,395,608,900,1224,1603,2041,2511,2997,3540,4063,4639,5221,5809,6405,6989,7514,8044,8583,9096,9591,10032,10454,10878,11283,11689,12082,12448,12792,13109,13413,13715,14013,14278,14526,14786,15014,15244,15456,15680,15869,16037,16193,16339,16486,16614,16730,16850,16965,17083,17193,17293,17404,17520,17622,17715,17808,17912,18014,18119
0,0,0,0,10,36,100,221,396,624,908,1238,1619,2043,2531,3018,3510,4026,4554,5099,5639,6212,6806,7397,8019,8635,9255,9914,10545,11132,11687,12234,12775,13301,13810,14319,14810,15274,15728,16183,16615,17034,17410,17763,18068,18329,18562,18749,18863,18928,18966,18984,18993,18994,18994,18994,18994,18994,18994,18994,18994,18994,18994,18994,18994,18994,18994
0,0,0,0,10,43,124,274,473,707,994,1299,1626,1970,2341,2735,3161,3620,4075,4552,5044,5573,6120,6633,7152,7638,8157,8646,9154,9637,10116,10586,11031,11501,11931,12379,12775,13131,13476,13781,14055,14329,14591,14830,15047,15250,15445,15628,15776,15950,16107,16249,16388,16522,16656,16776,16900,17026,17149,17266,17388,17489,17606,17704,17817,17926,18022
