0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
14717,14712,14700,14682,14654,14620,14576,14529,14473,14407,14328,14247,14155,14066,13964,13855,13728,13609,13475,13334,13190,13050,12902,12741,12609,12485,12358,12221,12079,11942,11799
14717,14714,14702,14686,14656,14622,14579,14530,14482,14430,14379,14313,14258,14191,14121,14045,13971,13893,13815,13726,13630,13535,13439,13340,13236,13127,13010,12895,12774,12650,12521
14717,14712,14699,14679,14652,14618,14588,14545,14501,14456,14409,14355,14300,14243,14178,14111,14039,13968,13888,13810,13724,13635,13544,13444,13339,13231,13124,13016,12903,12789,12674
14717,14713,14700,14676,14650,14615,14575,14532,14474,14411,14340,14252,14162,14065,13960,13847,13727,13603,13465,13324,13181,13022,12861,12698,12521,12330,12142,11931,11727,11509,11290
14717,14713,14705,14696,14682,14662,14639,14613,14580,14546,14512,14475,14435,14388,14347,14299,14250,14196,14147,14090,14030,13968,13901,13834,13764,13695,13617,13545,13469,13390,13307
14717,14710,14699,14679,14643,14606,14563,14513,14453,14387,14311,14234,14149,14053,13947,13837,13716,13582,13455,13315,13162,13004,12833,12659,12489,12298,12100,11895,11681,11467,11243
14717,14714,14710,14701,14690,14674,14652,14626,14598,14563,14526,14486,14439,14391,14338,14289,14231,14166,14101,14025,13948,13871,13789,13704,13614,13519,13423,13319,13212,13102,12986
14717,14710,14695,14675,14645,14609,14567,14517,14459,14393,14319,14245,14156,14066,13967,13852,13733,13608,13477,13341,13194,13036,12871,12706,12522,12369,12216,12066,11913,11769,11618
14717,14714,14703,14685,14661,14626,14587,14537,14489,14423,14354,14275,14193,14101,14001,13896,13783,13672,13552,13435,13315,13190,13067,12938,12797,12652,12515,12385,12251,12121,11989
14717,14712,14699,14675,14647,14609,14568,14521,14466,14399,14326,14246,14158,14063,13963,13854,13734,13608,13475,13332,13184,13034,12862,12692,12516,12340,12144,11960,11776,11571,11361
14717,14713,14701,14683,14658,14629,14591,14551,14509,14464,14411,14358,14301,14242,14172,14105,14033,13955,13870,13786,13702,13614,13518,13422,13317,13221,13108,13000,12886,12754,12636
14717,14712,14700,14679,14650,14615,14575,14519,14462,14401,14325,14252,14157,14057,13954,13842,13731,13606,13471,13333,13198,13078,12959,12844,12726,12604,12478,12367,12250,12122,12002
14717,14711,14698,14681,14655,14623,14579,14533,14479,14415,14341,14259,14174,14083,13983,13879,13755,13650,13541,13428,13320,13207,13091,12973,12851,12728,12609,12472,12337,12196,12052
14717,14711,14698,14682,14663,14645,14626,14603,14576,14546,14517,14481,14446,14407,14366,14320,14274,14221,14167,14113,14057,13996,13929,13860,13793,13729,13657,13585,13505,13429,13342
14717,14712,14704,14691,14677,14658,14635,14606,14575,14541,14503,14461,14414,14367,14313,14257,14198,14132,14064,13993,13913,13837,13748,13659,13565,13470,13370,13261,13156,13042,12924
14717,14712,14702,14676,14648,14612,14568,14513,14455,14383,14309,14230,14137,14039,13937,13829,13711,13589,13468,13356,13225,13098,12957,12821,12682,12545,12398,12255,12102,11940,11786
14717,14715,14706,14688,14665,14634,14596,14548,14492,14431,14366,14290,14203,14109,14007,13899,13785,13664,13538,13403,13256,13099,12944,12777,12603,12423,12227,12034,11837,11624,11400
14717,14713,14702,14685,14660,14629,14589,14537,14482,14421,14348,14270,14184,14083,13981,13870,13753,13631,13503,13361,13216,13061,12894,12729,12552,12364,12171,11977,11769,11562,11355
14717,14713,14698,14676,14650,14616,14571,14521,14461,14396,14318,14239,14153,14053,13949,13842,13721,13592,13455,13320,13167,13031,12872,12728,12570,12412,12254,12116,11983,11856,11719
14717,14712,14699,14678,14649,14615,14575,14529,14466,14398,14326,14247,14159,14071,13963,13856,13735,13612,13483,13337,13183,13027,12866,12689,12515,12333,12135,11931,11724,11518,11294
14717,14713,14700,14681,14655,14621,14583,14535,14477,14414,14343,14265,14181,14087,13990,13876,13756,13631,13497,13358,13215,13052,12893,12727,12542,12359,12170,11969,11761,11547,11322
14717,14710,14699,14681,14651,14617,14572,14522,14462,14395,14321,14245,14159,14060,13957,13853,13737,13609,13477,13331,13195,13040,12876,12698,12518,12331,12142,11934,11720,11501,11283
14717,14712,14701,14685,14666,14640,14612,14584,14553,14516,14475,14429,14381,14332,14275,14222,14164,14102,14042,13979,13911,13845,13773,13694,13615,13535,13453,13369,13289,13195,13107
14717,14713,14698,14678,14648,14612,14566,14512,14452,14386,14311,14231,14141,14049,13943,13836,13724,13589,13467,13336,13191,13054,12924,12773,12630,12502,12378,12257,12129,12009,11880
14717,14713,14701,14683,14659,14624,14581,14539,14487,14423,14356,14279,14198,14116,14017,13915,13797,13672,13547,13426,13295,13168,13035,12903,12760,12638,12510,12394,12272,12143,12017
14717,14710,14698,14678,14651,14615,14573,14529,14479,14410,14340,14257,14170,14080,13977,13863,13751,13625,13495,13348,13196,13038,12875,12704,12523,12334,12137,11939,11727,11503,11282
14717,14711,14698,14673,14644,14609,14565,14514,14461,14403,14341,14281,14215,14140,14065,13992,13918,13834,13753,13655,13561,13466,13362,13253,13153,13043,12919,12790,12662,12535,12399
