0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
14727,14718,14699,14659,14612,14544,14434,14318,14174,14008,13813,13593,13331,13047,12723,12374,12018,11611,11165,10709,10226,9718,9212,8747,8305,7800,7301,6841,6357,5908,5494,5099,4706,4338,3990,3660,3366,3068,2795,2524,2273,2079,1908,1730,1580,1447,1303,1159,1034,918,823,732,654,557,473,396,343,292,248,212,185,160,144,139,135,135,135,135
14727,14708,14676,14642,14580,14488,14386,14256,14094,13918,13727,13501,13255,13018,12736,12438,12123,11781,11430,11062,10655,10241,9839,9445,9040,8662,8307,7920,7544,7181,6833,6478,6161,5813,5491,5170,4853,4543,4232,3939,3635,3371,3094,2815,2554,2283,2040,1822,1635,1450,1307,1150,1004,856,715,573,462,367,288,213,165,131,110,100,95,93,93,93
14727,14721,14701,14660,14614,14543,14463,14339,14207,14069,13874,13673,13444,13184,12908,12620,12311,12010,11677,11343,10977,10605,10244,9853,9457,9050,8667,8289,7927,7565,7223,6906,6601,6287,5989,5680,5428,5172,4935,4690,4445,4207,3976,3760,3539,3339,3131,2918,2739,2594,2450,2301,2183,2051,1925,1826,1726,1626,1525,1421,1314,1203,1092,989,898,815,732,653
14727,14714,14690,14651,14593,14517,14425,14307,14160,13989,13790,13568,13324,13066,12810,12535,12261,11988,11705,11443,11153,10849,10539,10225,9878,9517,9156,8764,8401,7997,7618,7235,6823,6453,6055,5668,5288,4930,4578,4271,3926,3641,3381,3102,2859,2629,2410,2197,1980,1799,1623,1456,1322,1189,1065,971,864,764,689,618,560,509,456,417,381,346,312,292
14727,14711,14681,14637,14576,14506,14411,14299,14145,13984,13824,13632,13437,13232,13011,12797,12563,12330,12097,11850,11567,11300,11024,10765,10481,10200,9938,9655,9357,9079,8778,8479,8166,7834,7528,7239,6961,6643,6347,6041,5760,5445,5120,4814,4531,4263,4004,3748,3517,3315,3134,2982,2833,2695,2569,2430,2291,2160,2038,1913,1776,1663,1535,1425,1313,1219,1124,1041
14727,14715,14690,14657,14594,14520,14422,14309,14171,14013,13840,13626,13416,13188,12955,12683,12405,12111,11811,11497,11140,10802,10436,10038,9649,9283,8942,8595,8280,7980,7683,7415,7136,6859,6604,6340,6079,5824,5534,5257,5003,4738,4485,4261,4016,3787,3564,3332,3120,2919,2740,2572,2406,2244,2091,1950,1816,1689,1558,1432,1316,1210,1101,1004,925,865,800,737
14727,14719,14693,14654,14603,14529,14423,14303,14190,14018,13826,13622,13382,13102,12831,12520,12188,11854,11519,11157,10796,10419,10040,9650,9259,8836,8429,8036,7652,7278,6926,6545,6188,5844,5509,5180,4857,4575,4270,3964,3660,3338,3061,2797,2547,2323,2122,1953,1795,1653,1524,1405,1283,1179,1086,995,921,847,781,731,674,617,556,490,438,396,360,333
14727,14713,14674,14617,14525,14433,14313,14175,14009,13808,13608,13385,13159,12916,12680,12438,12173,11895,11638,11313,11008,10720,10408,10094,9793,9478,9142,8817,8501,8187,7880,7581,7283,6960,6635,6315,5991,5695,5402,5127,4837,4562,4264,3975,3705,3460,3194,2955,2723,2498,2278,2059,1862,1688,1523,1365,1238,1137,1036,944,860,790,735,686,646,604,563,532
14727,14708,14670,14610,14548,14467,14358,14232,14067,13917,13759,13561,13321,13096,12817,12542,12251,11949,11674,11348,11036,10740,10449,10141,9822,9522,9205,8895,8596,8259,7962,7650,7369,7077,6771,6490,6215,5931,5664,5404,5118,4835,4547,4276,4000,3734,3498,3249,3030,2829,2610,2418,2245,2086,1923,1755,1623,1510,1396,1294,1174,1075,978,880,785,700,615,553
14727,14716,14691,14641,14567,14463,14338,14185,14003,13789,13560,13332,13087,12803,12532,12228,11925,11619,11300,10985,10637,10293,9935,9578,9212,8823,8417,8003,7616,7215,6849,6464,6092,5721,5376,5017,4705,4374,4064,3781,3497,3251,3021,2789,2570,2369,2185,1987,1795,1601,1435,1282,1128,993,884,784,695,614,547,479,417,376,332,296,266,237,203,176
