0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
20076,20070,20062,20046,20026,20011,19986,19958,19924,19886,19858,19820,19771,19723,19671,19622,19557,19487,19416,19329,19230,19124,19037,18923,18819,18715,18591,18476,18339,18213,18088,17963,17822,17677,17508,17351,17163,16986,16811,16616,16438,16253,16047,15810,15583,15348,15111,14868,14618,14378,14155,13859,13606,13356,13101,12826,12583,12330,12060,11808,11571,11314,11070,10800,10556,10316,10043,9792
20076,20070,20059,20043,20025,20008,19989,19966,19939,19913,19880,19835,19789,19742,19691,19633,19563,19494,19423,19354,19277,19196,19110,19020,18937,18845,18728,18617,18487,18352,18218,18076,17941,17806,17652,17507,17338,17193,17020,16869,16692,16504,16349,16191,16009,15852,15694,15534,15359,15182,15011,14833,14663,14472,14270,14082,13869,13670,13444,13234,13011,12793,12587,12358,12117,11890,11675,11465
20076,20072,20062,20050,20033,20007,19971,19944,19907,19868,19825,19778,19729,19673,19601,19538,19458,19373,19280,19184,19080,18983,18875,18779,18668,18561,18425,18297,18148,18007,17857,17705,17562,17417,17265,17103,16911,16728,16537,16343,16134,15930,15722,15509,15302,15109,14898,14693,14470,14271,14058,13846,13633,13414,13187,12962,12738,12524,12312,12082,11868,11628,11382,11164,10925,10705,10475,10242
20076,20067,20050,20031,20005,19975,19943,19902,19865,19820,19773,19710,19649,19588,19523,19444,19362,19282,19196,19096,19002,18896,18804,18706,18599,18499,18373,18232,18096,17973,17832,17717,17588,17452,17302,17155,16991,16829,16662,16474,16307,16124,15927,15734,15549,15363,15166,14987,14796,14621,14449,14266,14073,13882,13700,13532,13349,13137,12932,12729,12516,12310,12085,11890,11689,11488,11294,11075
20076,20065,20045,20025,20006,19974,19934,19893,19847,19799,19754,19709,19657,19602,19541,19483,19418,19363,19306,19217,19138,19067,18980,18883,18804,18726,18637,18569,18488,18389,18311,18217,18115,18019,17909,17801,17696,17585,17475,17378,17274,17159,17028,16908,16791,16662,16526,16408,16272,16150,16005,15860,15704,15553,15389,15226,15064,14895,14729,14571,14407,14211,14031,13844,13664,13460,13251,13049
20076,20073,20060,20047,20030,20006,19982,19949,19908,19871,19808,19756,19692,19631,19563,19503,19424,19340,19257,19157,19062,18972,18878,18764,18637,18517,18370,18251,18125,17996,17866,17727,17584,17443,17304,17141,16989,16824,16670,16501,16325,16143,15965,15781,15574,15380,15169,14950,14744,14537,14303,14090,13886,13652,13435,13192,12952,12681,12435,12168,11952,11687,11454,11229,10994,10732,10500,10242
20076,20066,20052,20036,20017,19991,19961,19933,19893,19853,19810,19755,19700,19627,19554,19470,19391,19289,19204,19111,19018,18906,18791,18653,18516,18360,18206,18053,17883,17723,17531,17343,17147,16929,16734,16533,16335,16147,15945,15731,15532,15330,15129,14958,14778,14578,14374,14188,13989,13787,13591,13400,13217,13052,12875,12707,12531,12378,12205,12052,11899,11743,11590,11454,11321,11194,11036,10892
20076,20069,20058,20045,20028,20009,19993,19966,19947,19916,19884,19848,19805,19756,19712,19667,19613,19560,19500,19435,19389,19329,19276,19200,19121,19050,18978,18902,18817,18726,18635,18531,18436,18338,18219,18128,18017,17906,17789,17682,17566,17461,17358,17241,17148,17026,16902,16779,16649,16510,16369,16240,16121,15989,15842,15699,15549,15400,15236,15082,14937,14775,14594,14411,14223,14032,13840,13661
20076,20069,20057,20043,20027,20001,19970,19945,19918,19878,19846,19810,19769,19724,19674,19623,19565,19505,19438,19374,19307,19248,19170,19095,19021,18933,18865,18776,18686,18589,18489,18360,18233,18109,17989,17856,17727,17598,17455,17302,17138,16968,16819,16642,16472,16304,16143,15955,15782,15606,15419,15238,15037,14861,14685,14502,14331,14137,13942,13752,13547,13326,13109,12878,12656,12453,12253,12033
20076,20072,20058,20051,20042,20020,20004,19987,19966,19940,19917,19897,19870,19846,19812,19783,19745,19708,19659,19603,19544,19499,19430,19362,19289,19224,19152,19082,19004,18925,18838,18754,18644,18558,18457,18344,18236,18118,18002,17906,17792,17667,17538,17421,17295,17178,17052,16932,16799,16673,16540,16408,16261,16132,15983,15852,15695,15548,15412,15263,15117,14978,14835,14689,14538,14380,14251,14113
20076,20068,20052,20035,20013,19990,19968,19944,19914,19879,19838,19796,19751,19688,19631,19577,19503,19436,19368,19289,19198,19108,19004,18896,18780,18654,18522,18374,18250,18095,17937,17765,17593,17411,17223,17038,16851,16643,16411,16199,16010,15788,15574,15355,15159,14932,14702,14473,14217,13991,13753,13522,13276,13041,12794,12577,12314,12064,11817,11581,11325,11072,10788,10517,10242,9964,9693,9438
20076,20065,20058,20044,20023,19998,19970,19934,19902,19860,19807,19757,19706,19644,19583,19522,19457,19378,19293,19218,19138,19061,18974,18880,18778,18661,18548,18451,18339,18227,18120,18000,17871,17743,17603,17481,17350,17209,17072,16942,16794,16640,16495,16344,16175,16015,15858,15703,15531,15373,15201,15037,14875,14707,14544,14376,14196,14006,13809,13606,13430,13237,13035,12858,12709,12510,12313,12120
20076,20067,20058,20048,20028,20007,19981,19948,19912,19866,19821,19771,19716,19657,19592,19513,19429,19329,19242,19145,19041,18945,18834,18716,18594,18456,18325,18191,18061,17947,17818,17684,17532,17400,17241,17071,16916,16733,16559,16369,16174,15984,15776,15565,15368,15179,14945,14722,14504,14288,14077,13854,13589,13343,13114,12870,12602,12326,12027,11741,11460,11174,10882,10576,10305,10031,9755,9478
20076,20071,20057,20044,20017,19995,19968,19932,19896,19846,19800,19749,19695,19635,19580,19496,19420,19340,19254,19163,19072,18973,18875,18755,18645,18530,18424,18288,18159,18016,17881,17702,17538,17379,17215,17023,16842,16656,16446,16258,16069,15861,15653,15453,15225,14979,14777,14563,14342,14088,13871,13617,13367,13135,12874,12629,12400,12173,11965,11735,11499,11272,11050,10832,10602,10360,10122,9881
