0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2658,2597,2473,2296,2084,1859,1628,1386,1149,948,744,556,388,240,120,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2589,2448,2273,2068,1831,1584,1344,1105,884,667,487,337,240,173,122,80,46,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2586,2440,2240,1999,1726,1434,1144,851,579,377,213,88,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2659,2594,2470,2313,2122,1909,1683,1464,1233,1030,829,655,510,374,249,156,93,51,27,15,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2586,2443,2249,2001,1735,1449,1175,911,655,456,298,194,118,70,49,32,17,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2585,2441,2244,2004,1733,1477,1234,1001,803,642,531,434,346,268,200,142,96,57,29,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2596,2457,2273,2060,1817,1538,1245,961,699,500,343,231,151,93,52,21,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2592,2462,2287,2081,1873,1664,1454,1252,1101,985,885,792,709,638,573,513,457,403,352,304,258,216,176,140,105,74,45,19,5,0,0,0,0,0
2658,2585,2433,2230,1991,1718,1444,1188,955,754,570,415,296,200,131,82,48,27,15,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2584,2435,2222,1942,1611,1283,997,769,575,424,318,235,166,124,89,60,38,22,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2588,2446,2263,2039,1794,1552,1330,1100,877,692,523,369,272,188,115,52,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2585,2429,2223,1971,1683,1365,1059,817,599,405,234,117,48,26,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2589,2444,2247,2008,1744,1467,1191,965,786,626,493,379,282,203,143,98,63,33,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2582,2441,2248,2020,1767,1496,1214,941,690,517,391,284,198,135,87,50,24,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2593,2458,2267,2032,1755,1455,1156,866,617,418,274,157,65,30,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2596,2454,2252,2010,1757,1524,1282,1032,806,593,414,276,199,136,83,50,27,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2582,2429,2224,1990,1739,1484,1234,1016,843,689,589,498,426,361,302,250,202,157,116,81,52,28,10,1,0,0,0,0,0,0,0,0,0,0
2658,2587,2443,2237,1980,1691,1423,1170,950,775,620,484,363,259,177,115,65,29,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2583,2436,2228,1987,1744,1507,1273,1049,827,626,460,335,234,168,115,75,46,27,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2590,2477,2325,2158,1982,1816,1651,1487,1328,1171,1017,866,729,634,544,456,373,296,232,180,136,101,72,46,25,8,1,0,0,0,0,0,0,0
2658,2588,2450,2263,2037,1796,1555,1351,1149,959,782,614,463,323,231,164,108,66,36,19,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2588,2437,2225,1950,1640,1333,1025,752,539,385,255,140,64,31,14,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2586,2431,2216,1975,1742,1519,1302,1082,880,712,561,426,308,214,138,79,40,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2592,2453,2256,1998,1691,1387,1091,834,600,407,263,164,98,51,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2587,2439,2235,2004,1778,1552,1357,1186,1030,883,744,615,499,398,312,234,167,112,61,26,10,2,0,0,0,0,0,0,0,0,0,0,0,0
2658,2585,2445,2240,1988,1689,1347,1025,734,543,416,332,274,222,173,137,108,85,64,47,32,20,11,4,1,0,0,0,0,0,0,0,0,0,0
2658,2590,2449,2253,2001,1710,1426,1167,947,759,615,497,391,306,232,171,117,73,44,24,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,2588,2444,2261,2085,1896,1690,1490,1307,1134,988,850,721,601,492,393,308,232,165,106,61,31,14,5,0,0,0,0,0,0,0,0,0,0,0
