0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
17315,17243,17097,16881,16596,16240,15826,15370,14898,14412,13893,13387,12872,12347,11819,11303,10789,10271,9737,9185,8615,8095,7568,7113,6774,6443,6126,5866,5668,5480,5296,5117,4941,4770,4604,4443,4285,4128,3972,3818,3667,3518,3373,3230,3089,2950,2821,2694,2569,2446,2325,2206,2090,1976,1864,1755,1649,1546,1447,1351,1258,1168,1081,998,918,841,767,696,628,564,503,445,390,338,289,244,202,163,127,98,74,53,36,22,11
17315,17237,17078,16843,16534,16149,15690,15165,14570,13908,13199,12447,11738,11067,10402,9776,9143,8513,7905,7370,6854,6402,5977,5616,5287,4977,4680,4395,4121,3857,3605,3363,3129,2902,2681,2467,2258,2057,1858,1673,1505,1368,1250,1135,1021,909,799,692,588,491,402,320,245,181,129,85,49,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17236,17078,16847,16544,16168,15725,15217,14646,14024,13383,12702,11977,11212,10417,9626,8829,8006,7186,6413,5628,4876,4278,3750,3240,2748,2275,1834,1502,1220,976,760,594,501,444,390,339,291,246,204,166,130,97,67,40,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17236,17075,16835,16517,16128,15661,15121,14525,13877,13219,12560,11871,11152,10450,9809,9190,8601,8032,7473,6960,6457,5960,5469,5006,4574,4178,3796,3495,3203,2926,2665,2432,2227,2038,1865,1707,1563,1432,1313,1200,1093,989,887,788,692,598,506,416,329,244,162,127,99,74,52,33,19,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17243,17095,16882,16606,16276,15898,15465,14976,14449,13872,13245,12574,11856,11107,10331,9537,8773,7993,7336,6739,6140,5542,4945,4432,3948,3481,3025,2572,2201,1865,1557,1279,1019,796,615,452,305,175,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17236,17075,16839,16530,16152,15706,15192,14627,14046,13453,12858,12265,11648,11009,10346,9664,9007,8364,7819,7358,6956,6571,6203,5836,5479,5120,4789,4496,4210,3934,3665,3405,3155,2912,2680,2458,2240,2026,1817,1616,1419,1226,1077,975,879,788,701,620,545,474,409,349,294,244,200,159,123,92,65,42,23,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17238,17078,16843,16538,16161,15724,15252,14747,14205,13630,13025,12398,11771,11144,10508,9881,9289,8725,8168,7617,7147,6682,6226,5777,5337,4926,4525,4135,3783,3478,3204,2969,2742,2523,2314,2117,1932,1759,1602,1473,1354,1241,1136,1038,949,868,792,718,647,579,515,454,396,341,290,243,201,163,129,99,72,50,32,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17239,17083,16858,16587,16270,15926,15539,15109,14636,14118,13555,12972,12432,11946,11451,10940,10436,9957,9533,9112,8692,8267,7850,7452,7060,6673,6291,5915,5543,5179,4823,4474,4132,3836,3548,3269,2998,2741,2524,2344,2178,2030,1895,1763,1633,1505,1379,1257,1141,1033,929,827,727,631,537,445,355,267,182,104,32,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17240,17079,16846,16537,16153,15692,15159,14588,14001,13377,12709,12003,11259,10510,9785,9040,8279,7497,6698,5920,5239,4665,4181,3734,3307,2922,2609,2329,2086,1874,1679,1501,1340,1193,1053,919,786,658,542,437,343,261,187,125,81,52,34,21,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17315,17235,17076,16836,16522,16138,15681,15179,14628,14031,13398,12737,12054,11378,10683,9991,9300,8612,7935,7264,6588,5911,5318,4773,4256,3780,3354,2964,2584,2214,1928,1661,1407,1178,993,821,664,529,427,340,263,196,142,100,71,48,30,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
