0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300
7466,7466,7466,7465,7465,7465,7464,7464,7464,7463,7462,7462,7462,7462,7461,7459,7456,7455,7454,7451,7450,7449,7448,7447,7445,7444,7442,7439,7438,7435,7433,7430,7427,7426,7426,7425,7425,7424,7424,7423,7423,7422,7421,7421,7420,7420,7420,7420,7420,7418,7418,7418,7417,7415,7413,7412,7412,7411,7409,7408,7403,7403,7403,7399,7398,7394,7393,7389,7388,7383,7379,7373,7368,7366,7360,7358,7353,7349,7344,7337,7336,7328,7327,7323,7319,7316,7314,7312,7309,7306,7302,7298,7295,7291,7285,7281,7279,7272,7269,7263,7254,7249,7246,7240,7235,7229,7222,7213,7210,7199,7190,7178,7170,7164,7155,7143,7131,7121,7111,7096,7085,7076,7063,7056,7050,7045,7041,7036,7031,7022,7015,7011,7009,7006,6999,6992,6989,6985,6980,6975,6969,6965,6960,6957,6948,6944,6932,6927,6925,6919,6911,6903,6897,6893,6890,6885,6881,6876,6869,6859,6850,6843,6835,6831,6821,6814,6806,6797,6787,6780,6774,6758,6746,6738,6729,6719,6712,6704,6694,6685,6674,6668,6664,6657,6649,6643,6637,6633,6628,6621,6615,6607,6600,6592,6586,6576,6568,6563,6552,6546,6539,6532,6523,6518,6509,6504,6498,6489,6484,6477,6469,6466,6463,6459,6452,6448,6445,6439,6435,6432,6427,6422,6417,6416,6412,6408,6408,6404,6400,6397,6394,6391,6387,6382,6380,6377,6373,6368,6364,6358,6353,6347,6342,6337,6334,6329,6323,6317,6314,6307,6301,6295,6292,6284,6281,6274,6267,6259,6253,6246,6244,6235,6227,6220,6217,6209,6206,6198,6191,6182,6173,6167,6156,6150,6145,6143,6139,6132,6126,6123,6118,6115,6106,6102,6099,6092,6087,6081,6076,6071,6060,6053,6045,6036,6031,6023,6011,6003,5989,5984,5975
7466,7466,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465
7466,7465,7463,7461,7459,7458,7457,7456,7453,7452,7451,7450,7448,7444,7439,7437,7435,7432,7430,7425,7422,7420,7418,7414,7412,7408,7405,7403,7396,7394,7390,7388,7383,7379,7373,7369,7364,7362,7359,7356,7353,7352,7348,7348,7345,7344,7341,7338,7338,7337,7334,7334,7332,7331,7329,7328,7327,7327,7327,7327,7326,7325,7325,7324,7323,7323,7321,7321,7319,7316,7316,7313,7306,7302,7299,7294,7292,7289,7284,7282,7278,7274,7268,7265,7260,7256,7252,7244,7235,7233,7230,7221,7218,7211,7207,7201,7195,7194,7189,7179,7174,7168,7163,7154,7146,7136,7127,7120,7107,7101,7092,7085,7072,7060,7048,7039,7022,7009,6998,6983,6972,6961,6943,6929,6919,6910,6902,6892,6880,6871,6861,6856,6845,6839,6833,6823,6813,6806,6798,6791,6783,6771,6765,6762,6751,6739,6729,6723,6714,6701,6690,6680,6673,6668,6666,6660,6650,6641,6636,6629,6619,6614,6607,6603,6597,6588,6580,6571,6566,6557,6551,6547,6538,6531,6522,6515,6507,6498,6489,6473,6460,6446,6436,6424,6412,6396,6386,6375,6359,6350,6337,6325,6317,6306,6293,6276,6262,6244,6230,6215,6198,6186,6171,6152,6139,6118,6104,6096,6080,6067,6050,6032,6015,6001,5987,5969,5952,5941,5924,5906,5890,5871,5858,5842,5829,5813,5796,5779,5772,5759,5741,5728,5711,5696,5683,5672,5660,5651,5640,5627,5617,5605,5597,5582,5565,5550,5540,5529,5515,5503,5496,5479,5461,5449,5433,5421,5415,5403,5392,5380,5367,5359,5350,5338,5330,5318,5303,5288,5277,5269,5255,5247,5240,5231,5216,5203,5193,5180,5175,5164,5156,5144,5136,5127,5120,5108,5102,5094,5086,5078,5069,5062,5057,5044,5036,5032,5021,5011,5001,4994,4988
7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466,7466
7466,7466,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465,7465
7466,7465,7465,7465,7464,7463,7461,7458,7456,7455,7455,7451,7450,7445,7443,7442,7435,7434,7431,7429,7428,7426,7420,7419,7417,7414,7412,7410,7409,7405,7403,7398,7396,7392,7389,7387,7384,7381,7374,7372,7367,7355,7349,7346,7342,7336,7332,7325,7323,7317,7314,7309,7306,7301,7299,7294,7288,7286,7284,7278,7271,7270,7264,7260,7253,7251,7246,7246,7240,7233,7229,7227,7221,7219,7215,7211,7209,7207,7199,7197,7191,7186,7184,7178,7173,7168,7160,7155,7151,7145,7139,7136,7130,7126,7120,7114,7112,7106,7094,7085,7081,7079,7074,7069,7061,7055,7045,7042,7036,7031,7028,7019,7013,7007,7002,6999,6992,6986,6982,6977,6970,6966,6959,6951,6942,6934,6927,6919,6907,6895,6886,6875,6866,6860,6847,6839,6833,6828,6819,6811,6802,6795,6785,6780,6773,6762,6755,6746,6737,6734,6727,6716,6707,6699,6692,6685,6680,6674,6668,6658,6652,6645,6637,6625,6613,6603,6596,6594,6584,6572,6560,6551,6542,6533,6517,6506,6499,6486,6469,6462,6451,6443,6436,6425,6412,6401,6393,6387,6377,6368,6354,6345,6326,6311,6297,6288,6275,6265,6248,6232,6223,6210,6198,6185,6170,6156,6142,6128,6112,6099,6078,6063,6047,6036,6024,6002,5984,5968,5952,5937,5921,5911,5898,5886,5870,5860,5850,5841,5828,5817,5807,5798,5790,5777,5769,5758,5750,5739,5734,5723,5714,5706,5698,5694,5689,5681,5675,5665,5653,5649,5640,5631,5622,5614,5605,5592,5586,5576,5571,5566,5559,5553,5551,5543,5539,5532,5527,5520,5514,5507,5505,5499,5492,5488,5478,5472,5465,5459,5452,5446,5439,5433,5430,5424,5418,5416,5409,5405,5399,5396,5390,5385,5380,5376,5371,5369,5362,5356,5352,5348,5343
7466,7466,7466,7464,7464,7463,7463,7462,7462,7461,7459,7458,7458,7457,7457,7456,7455,7455,7455,7455,7455,7454,7454,7454,7454,7453,7452,7452,7452,7452,7451,7450,7450,7450,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448,7448
7466,7466,7466,7466,7466,7465,7464,7463,7463,7461,7460,7458,7455,7449,7446,7443,7442,7437,7436,7431,7424,7421,7418,7408,7403,7403,7396,7390,7387,7383,7380,7376,7370,7364,7360,7357,7352,7348,7340,7338,7331,7326,7322,7318,7314,7309,7305,7299,7294,7289,7284,7280,7273,7268,7261,7254,7248,7242,7233,7229,7219,7209,7198,7185,7174,7165,7153,7141,7133,7123,7116,7104,7096,7091,7083,7070,7059,7052,7042,7029,7014,6998,6985,6971,6955,6937,6922,6911,6897,6883,6862,6847,6831,6814,6793,6778,6762,6748,6735,6722,6711,6690,6674,6660,6645,6633,6616,6602,6594,6573,6561,6546,6524,6503,6491,6474,6452,6437,6421,6403,6392,6375,6354,6335,6317,6299,6279,6260,6236,6223,6210,6193,6177,6159,6140,6127,6113,6094,6078,6052,6033,6014,5993,5976,5960,5943,5919,5905,5890,5878,5860,5850,5833,5818,5805,5791,5777,5759,5742,5722,5705,5691,5669,5656,5637,5622,5611,5597,5588,5574,5562,5551,5539,5526,5516,5503,5493,5484,5474,5466,5457,5451,5439,5427,5421,5414,5403,5397,5387,5376,5369,5356,5342,5326,5309,5295,5275,5258,5238,5221,5208,5193,5174,5150,5131,5118,5099,5087,5073,5061,5055,5037,5025,5014,5005,4998,4985,4973,4961,4949,4934,4915,4900,4886,4881,4872,4862,4850,4843,4835,4824,4820,4811,4803,4794,4779,4766,4753,4742,4726,4710,4692,4672,4658,4640,4624,4605,4592,4575,4558,4547,4531,4515,4499,4490,4474,4463,4445,4429,4412,4398,4380,4361,4351,4338,4324,4310,4292,4277,4265,4249,4235,4220,4205,4190,4177,4165,4152,4140,4122,4108,4097,4089,4083,4063,4053,4045,4034,4025,4015,3999,3987,3973,3960,3946,3930,3912,3898,3885,3871,3855
7466,7466,7466,7465,7464,7463,7463,7463,7462,7460,7459,7458,7454,7452,7448,7446,7445,7440,7435,7431,7426,7426,7423,7422,7417,7411,7409,7406,7401,7398,7390,7384,7381,7377,7372,7366,7361,7355,7351,7341,7335,7332,7327,7322,7309,7299,7290,7285,7283,7272,7263,7246,7230,7219,7208,7204,7196,7184,7172,7164,7156,7146,7137,7128,7122,7117,7111,7101,7094,7086,7075,7071,7060,7054,7045,7035,7029,7023,7012,7001,6986,6980,6973,6967,6961,6957,6945,6935,6924,6921,6914,6907,6892,6886,6882,6874,6863,6854,6849,6839,6828,6825,6817,6805,6800,6791,6776,6766,6758,6747,6742,6730,6723,6716,6704,6695,6684,6670,6656,6647,6638,6631,6625,6617,6607,6595,6587,6577,6569,6558,6545,6536,6526,6519,6512,6505,6499,6495,6487,6474,6467,6462,6453,6439,6430,6421,6413,6403,6390,6382,6374,6364,6354,6339,6330,6323,6319,6313,6306,6297,6290,6283,6273,6265,6257,6250,6239,6226,6221,6215,6209,6200,6191,6181,6172,6164,6155,6147,6139,6128,6120,6110,6099,6088,6082,6072,6066,6053,6040,6035,6022,6016,6009,6002,5992,5984,5976,5972,5959,5953,5941,5936,5933,5927,5918,5908,5899,5893,5887,5879,5871,5859,5849,5841,5836,5831,5821,5809,5800,5796,5789,5781,5778,5772,5761,5752,5742,5737,5730,5721,5715,5707,5701,5694,5684,5677,5669,5665,5661,5656,5652,5645,5638,5631,5623,5613,5604,5597,5590,5579,5572,5565,5557,5549,5539,5534,5521,5510,5501,5495,5487,5480,5473,5466,5458,5451,5444,5430,5420,5407,5397,5388,5377,5365,5352,5345,5337,5327,5311,5292,5285,5276,5267,5259,5250,5232,5218,5203,5190,5174,5156,5140,5125,5114,5102,5091,5073,5059,5045,5034,5022
7466,7466,7466,7465,7464,7463,7462,7462,7462,7461,7460,7459,7458,7457,7454,7452,7449,7447,7447,7446,7444,7443,7442,7442,7442,7441,7438,7436,7435,7434,7433,7432,7430,7428,7427,7425,7423,7422,7419,7415,7413,7411,7407,7404,7401,7398,7395,7394,7391,7388,7386,7382,7379,7374,7369,7365,7356,7353,7349,7347,7344,7342,7334,7329,7327,7326,7322,7318,7316,7312,7305,7300,7294,7289,7283,7277,7271,7264,7257,7250,7240,7227,7219,7211,7205,7198,7188,7185,7178,7170,7161,7154,7146,7134,7127,7114,7106,7094,7091,7082,7065,7054,7044,7034,7029,7020,7009,6992,6976,6960,6946,6930,6917,6901,6889,6882,6871,6861,6853,6843,6830,6815,6800,6788,6782,6769,6762,6751,6742,6728,6719,6708,6696,6682,6671,6652,6638,6619,6597,6587,6568,6547,6528,6512,6500,6488,6477,6463,6448,6439,6424,6410,6401,6394,6385,6374,6366,6356,6345,6327,6317,6305,6295,6284,6273,6256,6244,6229,6213,6198,6180,6161,6142,6123,6107,6078,6062,6041,6023,6003,5984,5967,5943,5920,5905,5883,5864,5847,5827,5803,5776,5752,5724,5690,5672,5647,5617,5589,5568,5547,5524,5500,5477,5451,5426,5403,5384,5360,5330,5304,5275,5258,5236,5210,5186,5162,5137,5111,5085,5060,5040,5022,4995,4974,4948,4926,4909,4883,4857,4826,4797,4773,4751,4726,4699,4675,4663,4641,4625,4603,4581,4568,4545,4528,4506,4481,4457,4435,4419,4392,4369,4350,4327,4305,4279,4256,4236,4218,4195,4170,4148,4125,4097,4078,4045,4012,3990,3970,3939,3909,3885,3859,3824,3805,3779,3757,3733,3711,3695,3673,3646,3629,3610,3587,3559,3533,3513,3488,3466,3442,3421,3400,3368,3349,3328,3312,3290,3266,3245,3231,3212
