0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
9388,9378,9358,9323,9277,9222,9162,9101,9028,8937,8833,8721,8594,8462,8316,8187,8045,7894,7751,7582,7383,7180,6988,6802,6587,6386,6174,5997,5812,5636,5450
9388,9380,9367,9341,9308,9271,9225,9160,9080,9005,8912,8802,8677,8540,8396,8224,8068,7882,7688,7485,7299,7112,6905,6719,6523,6328,6121,5896,5686,5458,5229
9388,9379,9363,9332,9305,9253,9188,9109,9016,8921,8819,8702,8555,8414,8263,8072,7905,7729,7543,7342,7134,6922,6677,6430,6176,5897,5634,5358,5081,4799,4503
9388,9378,9350,9319,9274,9226,9164,9097,9014,8938,8827,8709,8592,8455,8331,8172,8035,7864,7686,7514,7353,7193,7016,6822,6654,6479,6326,6172,6032,5887,5745
9388,9378,9359,9324,9284,9241,9175,9107,9024,8922,8821,8699,8580,8463,8305,8153,7974,7793,7586,7354,7141,6918,6711,6476,6255,6018,5752,5480,5221,4961,4683
9388,9376,9357,9333,9303,9262,9218,9160,9109,9050,8974,8889,8797,8691,8571,8452,8333,8194,8009,7855,7661,7475,7301,7139,6963,6778,6619,6458,6284,6094,5896
9388,9381,9365,9337,9304,9267,9223,9151,9080,8992,8883,8757,8632,8480,8315,8139,7965,7777,7615,7449,7251,7064,6869,6659,6457,6219,5993,5791,5547,5301,5066
9388,9372,9351,9321,9269,9209,9135,9038,8933,8810,8689,8556,8401,8219,8031,7812,7593,7373,7133,6911,6670,6449,6216,5990,5755,5513,5291,5030,4797,4557,4321
9388,9378,9359,9328,9291,9236,9177,9117,9028,8931,8810,8681,8546,8407,8256,8080,7913,7720,7522,7319,7101,6909,6703,6498,6292,6080,5874,5666,5461,5255,5077
9388,9374,9354,9317,9276,9222,9160,9089,9014,8934,8843,8750,8647,8534,8419,8295,8150,7996,7819,7641,7464,7263,7067,6856,6642,6450,6245,6055,5875,5658,5467
9388,9378,9361,9334,9299,9250,9199,9136,9051,8948,8843,8733,8601,8472,8345,8194,8024,7856,7682,7483,7266,7045,6818,6578,6332,6095,5822,5590,5351,5121,4878
9388,9380,9364,9335,9300,9260,9215,9155,9082,9003,8910,8790,8687,8547,8415,8297,8145,7985,7829,7657,7484,7310,7127,6941,6746,6557,6355,6172,5971,5769,5559
9388,9370,9337,9298,9241,9187,9114,9041,8935,8834,8711,8569,8427,8263,8109,7948,7786,7627,7425,7261,7073,6876,6665,6475,6257,6068,5862,5661,5465,5271,5088
9388,9379,9365,9334,9300,9253,9202,9145,9051,8981,8898,8779,8672,8546,8402,8257,8082,7920,7738,7524,7323,7111,6888,6669,6441,6197,5938,5684,5444,5234,4992
9388,9372,9348,9314,9268,9213,9142,9066,8984,8884,8774,8659,8526,8368,8216,8045,7850,7678,7492,7301,7105,6875,6659,6434,6227,6030,5831,5646,5434,5232,5035
9388,9374,9352,9320,9279,9233,9168,9084,8980,8879,8748,8599,8439,8265,8094,7883,7668,7452,7236,7033,6819,6590,6377,6159,5922,5687,5453,5231,5008,4796,4587
9388,9378,9356,9318,9275,9220,9149,9085,9002,8906,8799,8694,8583,8463,8324,8180,8027,7863,7696,7514,7315,7100,6883,6668,6440,6208,5994,5766,5554,5354,5157
9388,9371,9351,9322,9282,9230,9160,9080,8994,8902,8801,8687,8559,8422,8269,8116,7959,7784,7608,7410,7228,7001,6780,6536,6304,6085,5844,5622,5394,5129,4844
9388,9379,9359,9323,9285,9228,9158,9060,8971,8855,8728,8607,8455,8292,8125,7944,7747,7523,7316,7086,6830,6610,6377,6124,5863,5617,5359,5108,4868,4621,4372
9388,9378,9358,9331,9298,9259,9212,9153,9070,8999,8910,8817,8707,8579,8430,8295,8137,7988,7819,7647,7471,7294,7118,6951,6762,6577,6408,6218,6010,5808,5580
9388,9379,9360,9338,9319,9281,9242,9188,9129,9056,8978,8884,8776,8660,8533,8371,8231,8076,7889,7710,7520,7325,7109,6901,6681,6458,6240,6008,5789,5552,5333
9388,9380,9362,9329,9293,9261,9214,9169,9116,9066,8996,8927,8840,8739,8639,8515,8385,8244,8095,7949,7766,7571,7381,7192,6997,6791,6598,6406,6218,6006,5792
9388,9377,9361,9329,9295,9245,9180,9118,9037,8945,8837,8736,8618,8500,8363,8214,8088,7961,7805,7665,7499,7317,7154,6976,6766,6601,6381,6186,5989,5799,5591
9388,9377,9356,9320,9279,9231,9177,9103,9018,8906,8794,8668,8523,8376,8234,8051,7864,7680,7471,7261,7036,6804,6583,6352,6111,5883,5638,5414,5188,4952,4707
9388,9374,9356,9317,9279,9229,9169,9104,9033,8943,8837,8731,8604,8479,8329,8184,8028,7855,7689,7472,7258,7047,6825,6578,6334,6098,5865,5639,5442,5233,5014
9388,9378,9356,9324,9281,9241,9171,9105,9008,8915,8803,8681,8576,8443,8306,8166,7974,7805,7658,7495,7323,7135,6954,6768,6584,6414,6263,6100,5959,5818,5662
9388,9380,9360,9329,9286,9232,9170,9102,9026,8943,8833,8699,8575,8440,8285,8121,7936,7747,7556,7344,7125,6852,6610,6352,6088,5847,5576,5306,5032,4774,4508
9388,9379,9358,9330,9292,9243,9184,9121,9022,8934,8822,8710,8575,8414,8254,8066,7884,7686,7481,7250,7034,6797,6551,6338,6067,5805,5545,5277,5018,4763,4512
9388,9373,9348,9316,9265,9206,9142,9074,8985,8886,8769,8645,8521,8374,8226,8077,7937,7770,7613,7458,7289,7133,6960,6789,6613,6428,6247,6066,5882,5721,5547
9388,9380,9369,9346,9326,9291,9251,9202,9143,9068,8979,8893,8785,8654,8533,8383,8233,8050,7876,7707,7526,7325,7134,6921,6723,6532,6316,6070,5836,5584,5341
9388,9380,9363,9338,9307,9267,9221,9161,9094,9008,8902,8774,8632,8470,8303,8124,7956,7766,7565,7365,7147,6915,6699,6469,6205,5963,5736,5485,5217,4960,4705
9388,9380,9364,9339,9313,9277,9224,9162,9090,8998,8888,8771,8649,8515,8379,8228,8069,7889,7722,7550,7363,7163,6930,6717,6500,6305,6095,5864,5625,5407,5198
9388,9373,9353,9318,9280,9227,9162,9096,9018,8932,8825,8713,8580,8453,8307,8149,8012,7845,7674,7491,7298,7104,6927,6749,6573,6372,6180,5979,5798,5602,5399
9388,9374,9356,9329,9300,9258,9208,9155,9096,9022,8945,8845,8719,8605,8495,8362,8215,8051,7862,7680,7496,7298,7101,6914,6701,6508,6311,6076,5855,5637,5429
9388,9382,9371,9344,9316,9283,9240,9184,9101,9023,8929,8819,8690,8560,8416,8264,8092,7922,7752,7566,7395,7216,7045,6835,6618,6407,6183,5956,5740,5524,5306
9388,9380,9367,9343,9301,9243,9181,9100,9002,8904,8780,8673,8548,8395,8248,8101,7934,7751,7569,7341,7140,6936,6686,6449,6243,6008,5788,5574,5388,5196,4997
