0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
13201,13173,13095,12984,12818,12599,12320,12018,11695,11376,11018,10639,10264,9864,9486,9088,8720,8349,7970,7581,7228,6868,6510,6146,5794,5408,5037,4682,4382,4077,3827,3586,3335,3112,2896,2698,2530,2361,2191,2029,1890,1767,1642,1538,1441,1343,1256,1180,1108,1031,961,900,844,790
13201,13171,13090,12953,12783,12576,12313,12002,11661,11292,10942,10613,10265,9931,9583,9250,8886,8553,8216,7880,7557,7265,6935,6604,6261,5984,5696,5421,5167,4891,4639,4399,4152,3930,3690,3461,3228,3013,2808,2604,2410,2214,2048,1886,1727,1573,1415,1273,1135,1020,890,778,685,592
13201,13173,13096,12958,12762,12518,12207,11858,11446,11017,10559,10060,9532,8973,8410,7801,7238,6661,6120,5605,5107,4588,4103,3695,3348,3042,2773,2527,2303,2116,1940,1788,1634,1497,1369,1243,1130,1013,905,800,703,616,545,482,421,366,317,271,228,184,150,124,96,69
13201,13168,13091,12969,12807,12603,12365,12087,11788,11427,11021,10600,10162,9694,9228,8736,8224,7725,7176,6657,6134,5628,5155,4651,4140,3696,3275,2914,2608,2314,2049,1782,1545,1303,1067,844,631,479,370,281,204,130,78,48,18,5,0,0,0,0,0,0,0,0
13201,13162,13078,12944,12756,12526,12247,11928,11568,11186,10769,10320,9852,9400,8910,8418,7952,7470,7040,6622,6192,5795,5412,5070,4754,4474,4191,3909,3636,3370,3116,2882,2662,2450,2250,2058,1888,1712,1556,1413,1272,1127,1009,889,777,684,605,548,492,441,395,347,298,256
13201,13166,13091,12961,12774,12553,12267,11959,11626,11258,10896,10502,10088,9671,9217,8747,8268,7801,7328,6881,6434,5962,5504,5043,4579,4164,3769,3410,3081,2783,2501,2271,2066,1900,1746,1609,1471,1332,1211,1092,969,870,779,691,601,516,442,371,306,247,186,142,98,67
13201,13169,13084,12947,12766,12531,12261,11937,11573,11176,10757,10322,9854,9387,8854,8338,7875,7402,6930,6476,6029,5605,5225,4852,4501,4165,3880,3606,3358,3102,2855,2612,2361,2120,1887,1663,1451,1249,1074,903,757,625,525,444,375,317,273,236,205,171,141,112,81,53
13201,13167,13092,12966,12779,12547,12269,11939,11554,11156,10725,10254,9802,9296,8763,8222,7689,7153,6617,6107,5624,5158,4706,4290,3897,3544,3176,2855,2582,2384,2201,2050,1921,1807,1699,1578,1481,1379,1287,1197,1111,1026,944,874,806,733,657,586,517,454,385,321,264,205
13201,13162,13084,12958,12771,12533,12248,11923,11557,11134,10638,10144,9614,9104,8593,8078,7540,7011,6486,5967,5458,4944,4473,4029,3585,3171,2779,2394,2044,1733,1454,1216,1008,832,687,548,425,325,242,175,117,71,28,8,2,2,2,2,2,2,2,2,2,2
13201,13173,13099,12972,12785,12548,12283,11943,11579,11192,10763,10308,9826,9350,8850,8329,7807,7272,6786,6368,5953,5553,5153,4803,4479,4179,3905,3675,3473,3294,3124,2976,2845,2732,2609,2487,2371,2258,2158,2048,1951,1848,1754,1661,1573,1490,1406,1328,1243,1160,1082,1005,936,859
13201,13169,13100,12995,12854,12683,12453,12194,11899,11617,11297,10948,10613,10260,9887,9519,9120,8727,8330,7953,7573,7227,6874,6507,6136,5756,5406,5086,4775,4474,4182,3902,3619,3352,3107,2860,2647,2468,2290,2107,1949,1795,1658,1537,1438,1332,1220,1110,1006,920,831,740,659,576
13201,13172,13100,12980,12803,12570,12289,11979,11632,11279,10939,10570,10186,9784,9388,8967,8516,8081,7634,7211,6757,6338,5928,5527,5148,4812,4472,4162,3884,3616,3378,3142,2913,2690,2472,2241,2023,1821,1622,1454,1301,1182,1056,939,820,716,615,527,439,362,289,227,166,119
13201,13169,13093,12958,12775,12549,12254,11895,11491,11108,10720,10311,9889,9467,9031,8569,8074,7605,7106,6587,6119,5690,5285,4840,4388,3971,3541,3115,2705,2342,1996,1691,1423,1179,973,780,605,436,324,259,218,182,147,115,91,67,48,31,18,10,2,0,0,0
13201,13161,13073,12932,12763,12543,12276,11935,11565,11158,10708,10209,9716,9180,8628,8064,7494,6936,6377,5839,5377,4937,4512,4120,3787,3467,3169,2879,2594,2333,2091,1851,1621,1403,1185,972,790,640,533,459,389,329,268,223,180,131,93,62,37,27,15,3,0,0
13201,13169,13099,12970,12789,12555,12284,11982,11638,11289,10901,10478,10022,9566,9111,8634,8159,7717,7252,6793,6382,5985,5606,5251,4897,4564,4244,3953,3693,3473,3276,3088,2888,2697,2529,2348,2196,2041,1879,1715,1562,1419,1283,1168,1062,964,871,780,698,619,543,478,413,357
13201,13170,13092,12963,12793,12561,12281,11933,11569,11157,10749,10309,9834,9380,8945,8522,8087,7626,7186,6768,6327,5901,5504,5144,4800,4490,4192,3902,3624,3353,3112,2860,2619,2381,2174,1987,1813,1631,1475,1319,1176,1018,900,791,692,605,528,470,412,361,308,265,230,189
13201,13165,13083,12935,12728,12467,12162,11785,11369,10903,10391,9836,9240,8649,8059,7444,6851,6224,5597,5040,4475,3959,3495,3071,2653,2291,1937,1635,1349,1093,877,702,539,403,314,242,168,119,65,31,9,2,0,0,0,0,0,0,0,0,0,0,0,0
13201,13162,13081,12952,12772,12552,12294,11993,11683,11360,11003,10637,10237,9827,9404,8963,8494,8008,7549,7020,6514,5996,5505,5052,4595,4165,3762,3397,3087,2778,2493,2220,1966,1733,1516,1308,1093,911,742,596,467,366,280,208,152,105,58,37,23,13,8,4,2,1
13201,13167,13082,12940,12765,12525,12251,11937,11570,11190,10779,10350,9867,9340,8816,8263,7694,7078,6479,5951,5384,4871,4404,3972,3545,3156,2794,2468,2157,1842,1557,1292,1076,897,748,618,487,382,300,238,186,132,87,48,16,5,2,2,2,2,2,2,2,2
13201,13170,13095,12967,12811,12612,12369,12099,11822,11517,11170,10826,10467,10117,9747,9335,8952,8539,8134,7714,7295,6855,6412,5968,5508,5102,4733,4369,4017,3673,3367,3053,2760,2488,2271,2092,1927,1771,1642,1506,1368,1231,1122,1010,908,819,732,649,569,496,421,347,293,235
13201,13178,13108,12998,12827,12592,12316,12004,11683,11307,10910,10494,10042,9596,9133,8677,8203,7723,7214,6685,6177,5646,5141,4658,4222,3844,3511,3194,2902,2622,2356,2127,1921,1725,1548,1361,1196,1037,890,752,632,509,397,292,208,148,104,71,46,35,24,14,10,3
13201,13170,13089,12968,12795,12585,12308,11991,11625,11243,10815,10386,9919,9411,8879,8358,7833,7286,6778,6281,5797,5312,4856,4426,4008,3597,3228,2851,2460,2096,1757,1450,1156,871,625,471,348,263,185,135,101,70,45,28,10,3,0,0,0,0,0,0,0,0
13201,13167,13096,12979,12793,12552,12261,11920,11573,11175,10774,10341,9921,9486,9068,8629,8181,7734,7280,6833,6418,6027,5644,5256,4911,4570,4258,3949,3644,3346,3036,2752,2470,2251,2039,1878,1722,1555,1391,1246,1104,978,843,722,603,490,400,305,226,158,106,60,27,12
13201,13181,13117,13002,12835,12614,12360,12062,11678,11281,10817,10313,9806,9321,8843,8351,7859,7362,6866,6400,5933,5505,5092,4688,4316,3936,3594,3247,2896,2560,2230,1915,1640,1360,1138,916,719,546,387,274,185,119,70,36,14,2,0,0,0,0,0,0,0,0
13201,13169,13093,12964,12784,12556,12260,11913,11537,11102,10642,10185,9686,9195,8688,8184,7682,7180,6709,6218,5779,5330,4944,4551,4170,3803,3425,3091,2770,2461,2155,1837,1529,1257,1012,789,611,471,359,264,180,113,69,35,19,8,1,0,0,0,0,0,0,0
13202,13172,13091,12973,12791,12563,12285,11956,11586,11192,10785,10335,9870,9379,8883,8344,7837,7314,6829,6356,5907,5493,5147,4825,4538,4282,4037,3811,3608,3413,3249,3088,2957,2846,2722,2604,2486,2372,2255,2141,2030,1920,1805,1695,1598,1483,1376,1278,1172,1066,985,908,826,755
13201,13175,13107,12979,12801,12546,12253,11921,11557,11168,10746,10294,9824,9322,8782,8223,7683,7106,6531,5954,5387,4825,4319,3813,3346,2925,2529,2170,1838,1534,1240,984,766,563,398,267,166,89,32,14,5,2,1,1,0,0,0,0,0,0,0,0,0,0
13201,13174,13102,12983,12823,12621,12365,12043,11703,11310,10873,10407,9925,9407,8893,8328,7767,7155,6559,5945,5355,4796,4260,3762,3292,2830,2398,2008,1669,1354,1088,843,646,497,367,243,162,100,63,34,12,3,1,1,1,1,1,1,1,1,1,1,1,1
13201,13174,13104,12992,12817,12575,12300,11968,11596,11168,10702,10205,9707,9181,8635,8115,7598,7066,6538,6039,5544,5071,4626,4236,3880,3529,3207,2890,2610,2343,2116,1905,1686,1483,1327,1164,1014,878,752,633,532,445,373,305,242,184,137,91,70,46,26,16,8,4
13201,13173,13109,12984,12807,12566,12272,11929,11523,11086,10589,10046,9458,8833,8196,7548,6914,6312,5762,5238,4765,4315,3943,3600,3298,3044,2793,2546,2337,2133,1948,1778,1619,1445,1280,1134,980,839,708,593,495,410,330,262,196,153,114,85,62,41,24,11,3,0
13201,13173,13107,12985,12799,12581,12305,12005,11669,11320,10951,10547,10131,9654,9168,8668,8168,7638,7111,6563,6032,5500,5010,4579,4172,3787,3408,3047,2704,2387,2072,1767,1455,1164,904,675,506,384,295,213,152,104,66,42,29,20,11,6,2,0,0,0,0,0
13201,13176,13112,12983,12804,12567,12301,11980,11594,11169,10713,10254,9763,9262,8727,8203,7690,7192,6683,6198,5710,5232,4777,4321,3883,3454,3060,2682,2341,2017,1749,1525,1318,1123,970,821,680,568,475,404,343,282,221,158,101,54,27,4,0,0,0,0,0,0
13201,13160,13066,12922,12731,12490,12226,11913,11574,11178,10779,10333,9873,9383,8892,8421,7989,7552,7146,6778,6410,6026,5668,5328,4971,4615,4287,3973,3662,3342,3052,2780,2528,2330,2138,1959,1795,1648,1509,1381,1254,1136,1035,935,835,750,680,611,542,468,396,340,287,243
