0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
13277,13272,13268,13263,13254,13242,13230,13220,13203,13186,13171,13159,13145,13126,13117,13102,13087,13068,13053,13043,13023,13011,12997,12982,12971,12959,12937,12921,12909,12898,12884,12866,12852,12833,12819,12804,12789,12768,12751,12731,12714,12696,12679,12662,12645,12631,12620,12603,12585,12570,12566,12560
13277,13271,13266,13262,13254,13243,13233,13221,13213,13207,13192,13181,13168,13156,13145,13133,13122,13111,13100,13086,13068,13051,13041,13023,13014,12996,12979,12956,12946,12933,12906,12890,12867,12841,12829,12802,12786,12761,12748,12728,12705,12685,12673,12657,12638,12612,12596,12577,12554,12536,12514,12488
13277,13272,13262,13254,13242,13226,13215,13204,13194,13180,13162,13153,13141,13129,13115,13105,13097,13083,13073,13059,13052,13038,13027,13007,12987,12973,12958,12950,12936,12921,12906,12886,12875,12864,12844,12822,12805,12790,12776,12759,12744,12725,12713,12699,12680,12664,12652,12639,12626,12609,12593,12580
13277,13273,13269,13264,13260,13252,13247,13240,13230,13224,13217,13211,13197,13190,13184,13173,13166,13161,13152,13139,13126,13114,13105,13098,13089,13084,13073,13066,13054,13048,13037,13024,13017,13002,12992,12977,12966,12956,12945,12933,12919,12912,12902,12895,12890,12881,12874,12865,12855,12843,12836,12831
13277,13272,13267,13261,13253,13243,13233,13227,13218,13207,13200,13188,13179,13164,13149,13138,13123,13105,13091,13078,13062,13051,13036,13026,13015,13000,12989,12974,12960,12948,12937,12923,12906,12893,12888,12876,12865,12854,12841,12835,12821,12815,12803,12797,12786,12780,12771,12762,12756,12750,12745,12741
13277,13276,13273,13268,13263,13260,13256,13252,13245,13234,13224,13214,13200,13191,13182,13169,13155,13150,13145,13133,13124,13114,13108,13096,13091,13079,13070,13062,13053,13045,13035,13028,13018,13010,13006,12997,12988,12979,12974,12965,12958,12951,12941,12930,12918,12907,12897,12887,12877,12864,12852,12840
13277,13275,13269,13261,13254,13241,13234,13221,13207,13191,13181,13160,13148,13136,13119,13110,13086,13067,13049,13034,13015,12989,12968,12951,12929,12917,12900,12884,12871,12854,12843,12831,12820,12808,12789,12771,12757,12745,12730,12714,12698,12682,12666,12657,12646,12639,12625,12617,12610,12600,12588,12577
13277,13273,13266,13258,13249,13239,13225,13217,13208,13193,13184,13174,13166,13157,13146,13134,13122,13109,13102,13092,13082,13071,13061,13050,13040,13033,13024,13015,13005,12994,12982,12975,12970,12961,12947,12938,12931,12922,12914,12907,12904,12895,12887,12878,12868,12861,12849,12840,12832,12824,12814,12801
13277,13274,13271,13264,13257,13252,13240,13234,13221,13208,13198,13184,13172,13161,13147,13135,13123,13112,13100,13086,13070,13056,13041,13028,13009,12991,12974,12955,12935,12911,12894,12878,12859,12839,12820,12800,12780,12762,12738,12722,12698,12677,12657,12637,12615,12598,12589,12575,12557,12536,12516,12496
13277,13271,13268,13259,13254,13251,13246,13237,13233,13227,13219,13210,13203,13195,13188,13179,13171,13157,13145,13133,13118,13109,13100,13093,13084,13069,13059,13051,13041,13034,13022,13011,12998,12987,12976,12966,12951,12936,12920,12909,12893,12880,12868,12855,12846,12836,12825,12812,12802,12790,12780,12773
