0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
5983,5978,5969,5956,5941,5920,5898,5872,5844,5811,5773,5732,5690,5646,5598,5543,5489,5432,5365,5301,5238,5164,5088,5012,4935,4851,4772,4688,4598,4504,4413,4315,4220,4122,4020,3924,3817,3721,3619,3524,3423,3318,3216,3117,3018,2919,2819,2723,2621,2528,2435,2339,2247,2153
5983,5978,5963,5942,5911,5873,5839,5799,5757,5710,5659,5613,5559,5505,5446,5383,5314,5245,5172,5096,5020,4940,4861,4771,4683,4595,4500,4410,4308,4211,4115,4018,3917,3813,3715,3617,3507,3407,3299,3192,3080,2970,2860,2750,2638,2521,2408,2299,2188,2074,1960,1853,1738,1622
5983,5980,5970,5954,5937,5914,5889,5863,5835,5799,5762,5721,5676,5629,5579,5525,5473,5420,5363,5301,5236,5170,5103,5033,4958,4884,4808,4730,4648,4562,4479,4389,4298,4207,4115,4023,3925,3828,3730,3630,3524,3419,3313,3210,3100,2994,2877,2766,2651,2541,2422,2307,2188,2071
5983,5977,5967,5951,5924,5893,5864,5829,5793,5753,5711,5663,5613,5559,5502,5442,5378,5313,5244,5172,5097,5020,4943,4864,4780,4694,4609,4518,4426,4331,4235,4133,4031,3926,3822,3720,3619,3508,3397,3287,3182,3070,2959,2845,2729,2620,2511,2400,2290,2176,2072,1973,1869,1774
5983,5978,5962,5942,5911,5871,5834,5792,5743,5695,5641,5586,5530,5470,5412,5347,5278,5207,5138,5061,4985,4908,4821,4738,4650,4558,4464,4375,4279,4181,4083,3986,3887,3787,3682,3579,3480,3375,3265,3157,3052,2940,2829,2713,2603,2487,2376,2266,2149,2035,1917,1802,1687,1576
5983,5977,5963,5941,5911,5876,5829,5778,5718,5654,5580,5495,5400,5298,5203,5102,4999,4891,4787,4672,4577,4469,4366,4255,4145,4032,3919,3805,3695,3582,3472,3360,3253,3137,3025,2911,2795,2682,2569,2453,2336,2217,2095,1974,1855,1736,1619,1498,1372,1259,1140,1023,908,792
5983,5977,5962,5940,5911,5873,5829,5772,5710,5642,5563,5481,5387,5285,5176,5064,4939,4807,4671,4523,4372,4203,4030,3854,3683,3497,3325,3151,2991,2845,2696,2550,2389,2233,2085,1928,1768,1605,1455,1319,1196,1074,946,830,709,595,494,418,352,297,244,199,152,113
5983,5976,5961,5945,5926,5902,5876,5850,5818,5785,5746,5707,5660,5613,5566,5511,5456,5396,5339,5272,5206,5143,5071,5005,4933,4855,4778,4697,4615,4528,4447,4361,4271,4181,4085,3988,3890,3797,3698,3596,3490,3386,3281,3177,3069,2963,2853,2744,2634,2519,2406,2292,2176,2055
5983,5979,5972,5958,5943,5922,5896,5868,5836,5803,5766,5729,5686,5638,5585,5530,5476,5418,5353,5291,5224,5154,5078,5001,4922,4838,4750,4664,4574,4482,4385,4289,4198,4095,3989,3884,3786,3678,3569,3461,3353,3247,3142,3031,2924,2818,2717,2618,2519,2427,2332,2240,2150,2061
5983,5979,5966,5950,5934,5909,5881,5852,5816,5780,5736,5691,5644,5591,5536,5479,5420,5351,5286,5220,5148,5068,4987,4903,4823,4736,4641,4553,4459,4359,4265,4158,4055,3948,3846,3733,3624,3517,3407,3297,3190,3077,2962,2856,2748,2636,2530,2425,2332,2243,2152,2067,1980,1894
