0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
15950,15918,15829,15678,15490,15233,14905,14508,14068,13598,13091,12522,11914,11281,10646,9977,9324,8711,8092,7461,6877,6314,5737,5164,4594,4055,3548,3050,2630,2284,1960,1667,1380,1104,867,665,483,330,221,157,104,74,49,31,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15912,15823,15679,15501,15252,14966,14654,14301,13902,13478,13008,12559,12118,11656,11204,10751,10329,9922,9501,9091,8707,8358,8044,7770,7512,7277,7052,6836,6650,6463,6284,6100,5932,5763,5608,5437,5279,5116,4954,4795,4643,4494,4354,4203,4051,3906,3772,3627,3477,3340,3204,3071,2938,2819,2688,2572,2453,2331,2214,2090,1974,1861,1755,1668,1563,1455,1363,1273,1183,1100,1021,938,859,785,713,643,575,509,439,373,316,259,215,176,137,104,72,43,21,6,2,0,0
15950,15911,15833,15689,15491,15242,14941,14605,14211,13807,13335,12825,12250,11679,11078,10492,9910,9280,8661,8017,7376,6712,6086,5463,4904,4376,3879,3416,2986,2641,2335,2056,1817,1626,1447,1267,1126,982,851,718,596,493,382,295,213,159,108,77,38,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15916,15827,15683,15494,15254,14935,14580,14171,13745,13286,12792,12255,11689,11097,10493,9911,9337,8747,8183,7613,7084,6573,6098,5627,5145,4689,4248,3822,3432,3064,2724,2425,2173,1958,1739,1522,1327,1147,981,845,699,568,455,363,279,204,132,76,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15917,15837,15723,15555,15341,15076,14788,14467,14103,13717,13308,12897,12463,12000,11504,10994,10460,9918,9362,8808,8277,7751,7251,6757,6290,5817,5344,4903,4492,4075,3700,3387,3104,2838,2589,2352,2120,1926,1737,1562,1387,1236,1089,970,867,765,680,587,505,435,371,322,275,227,182,145,113,88,58,36,23,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15908,15823,15676,15457,15189,14876,14500,14096,13650,13166,12644,12075,11487,10854,10230,9629,9002,8499,8014,7598,7193,6806,6457,6126,5821,5545,5287,5018,4792,4584,4367,4177,3976,3797,3624,3438,3278,3136,3000,2874,2736,2609,2480,2354,2237,2115,2008,1890,1785,1682,1576,1481,1384,1296,1212,1123,1034,958,884,802,730,648,583,522,465,404,351,308,254,211,174,139,108,83,55,36,19,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15950,15910,15823,15688,15491,15238,14941,14603,14239,13798,13322,12797,12237,11647,11073,10465,9855,9232,8576,7920,7256,6603,5939,5284,4619,4004,3467,2996,2579,2245,1937,1682,1453,1246,1066,901,745,620,527,446,371,287,207,142,79,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15905,15798,15637,15418,15125,14795,14423,14012,13601,13132,12615,12097,11570,11005,10467,9957,9437,8936,8457,8017,7569,7152,6751,6335,5935,5506,5107,4716,4338,3982,3622,3257,2914,2577,2221,1908,1647,1424,1228,1062,895,747,602,469,349,246,179,124,80,45,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15912,15843,15714,15547,15319,15031,14704,14318,13877,13382,12858,12297,11750,11185,10598,10043,9535,9044,8584,8133,7723,7354,6984,6619,6266,5929,5562,5214,4868,4527,4188,3857,3541,3231,2920,2611,2346,2078,1839,1607,1389,1192,1032,887,770,667,578,503,429,362,305,252,205,163,126,88,61,39,26,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15950,15909,15812,15650,15468,15203,14890,14526,14097,13610,13077,12471,11842,11148,10401,9560,8723,7901,7116,6396,5694,5029,4361,3727,3132,2585,2130,1720,1373,1058,797,583,422,315,240,171,116,69,39,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
