0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
25832,25805,25757,25673,25550,25402,25225,25007,24742,24449,24094,23727,23298,22871,22424,21949,21448,20942,20417,19830,19251,18626,17997,17339,16661,15961,15263,14579,13884,13202,12495,11800,11097,10390,9767,9126,8568,7994,7462,6956,6501,6036,5629,5244,4916,4574,4284,3997,3753,3480,3230,3002,2801,2584,2381,2185,2008,1845,1663,1505,1363,1234,1117,992,874,768,680,592,521,455,399,337,296,254,218,185,153,125,100,76
25832,25811,25760,25685,25570,25402,25202,24972,24711,24420,24083,23686,23295,22875,22428,21952,21474,20931,20390,19841,19253,18669,18052,17442,16820,16214,15642,15031,14426,13825,13196,12587,11921,11197,10535,9845,9162,8507,7876,7254,6705,6175,5712,5241,4786,4337,3926,3522,3154,2789,2452,2141,1842,1553,1313,1101,905,757,631,506,390,297,215,141,95,61,38,18,6,2,0,0,0,0,0,0,0,0,0,0
25832,25810,25763,25672,25526,25355,25145,24904,24622,24301,23959,23618,23206,22789,22330,21813,21302,20749,20167,19555,18959,18297,17629,16942,16220,15520,14835,14106,13342,12583,11872,11159,10436,9753,9084,8485,7909,7377,6857,6397,5947,5521,5152,4826,4509,4188,3890,3600,3333,3057,2800,2563,2316,2079,1883,1717,1561,1397,1254,1109,987,869,769,668,578,493,420,355,292,236,186,145,105,68,42,27,17,13,8,6
25832,25806,25745,25659,25518,25342,25129,24859,24586,24253,23866,23474,23008,22504,21982,21440,20856,20254,19590,18976,18327,17636,16941,16235,15505,14801,14082,13380,12706,12025,11345,10681,10054,9485,8924,8387,7864,7385,6950,6586,6256,5971,5705,5472,5260,5066,4912,4765,4617,4483,4351,4223,4084,3951,3825,3691,3572,3455,3335,3223,3092,2980,2874,2767,2659,2555,2462,2363,2263,2173,2080,1973,1873,1784,1692,1608,1516,1430,1351,1285
25832,25809,25767,25685,25572,25434,25236,25003,24746,24468,24126,23756,23367,22926,22477,22002,21527,21010,20495,19935,19399,18858,18297,17710,17151,16537,15941,15336,14712,14101,13487,12865,12283,11660,11087,10521,9955,9405,8870,8328,7776,7239,6741,6217,5730,5225,4724,4278,3836,3419,3038,2693,2353,2049,1805,1560,1328,1126,935,784,641,509,395,302,218,162,112,72,36,15,4,1,1,1,1,1,1,1,1,1
25832,25806,25743,25639,25500,25324,25107,24864,24587,24268,23900,23523,23100,22643,22184,21692,21147,20602,20049,19424,18830,18191,17573,16886,16188,15479,14734,14068,13376,12699,12032,11389,10750,10147,9567,9009,8419,7843,7287,6742,6201,5667,5159,4697,4267,3864,3497,3119,2782,2450,2132,1835,1534,1271,1042,853,692,541,407,323,257,198,146,110,74,35,22,11,5,4,4,3,3,3,3,3,3,3,3,3
25832,25811,25772,25709,25601,25450,25244,25016,24735,24426,24105,23736,23347,22917,22454,22004,21536,21030,20486,19911,19334,18773,18198,17572,16963,16297,15651,14992,14350,13712,13087,12466,11845,11228,10635,10057,9506,8988,8493,7985,7498,7041,6604,6152,5719,5314,4919,4533,4150,3812,3517,3240,2982,2747,2531,2310,2110,1936,1776,1608,1453,1315,1178,1021,885,778,681,579,500,416,348,304,270,234,193,160,121,89,56,37
25832,25805,25749,25658,25531,25361,25144,24907,24609,24262,23896,23464,23024,22543,22019,21496,20891,20261,19634,18963,18262,17556,16834,16080,15334,14543,13758,12962,12148,11339,10542,9745,8971,8214,7458,6785,6144,5475,4903,4345,3851,3385,2980,2589,2234,1940,1680,1457,1274,1100,937,805,694,589,485,392,316,255,193,141,105,80,48,31,20,11,6,5,4,4,4,4,4,4,4,4,4,4,4,4
25832,25814,25773,25685,25551,25382,25176,24914,24633,24326,23977,23555,23130,22677,22175,21585,20988,20336,19663,18932,18182,17436,16669,15927,15201,14497,13755,13065,12338,11623,10954,10309,9665,9034,8369,7760,7123,6529,5942,5385,4856,4352,3902,3465,3049,2671,2311,1974,1681,1405,1203,1004,824,654,535,426,330,256,196,151,109,82,58,38,25,13,5,3,3,3,3,3,3,3,3,3,3,3,3,3
25832,25810,25759,25671,25549,25399,25222,24993,24734,24439,24126,23767,23391,23003,22610,22149,21672,21229,20763,20268,19730,19212,18677,18117,17521,16903,16241,15604,14934,14250,13560,12897,12247,11614,11041,10473,9911,9352,8756,8186,7602,7097,6604,6138,5730,5312,4964,4623,4303,4000,3714,3437,3197,2965,2755,2570,2387,2226,2069,1902,1765,1608,1464,1338,1210,1107,993,883,787,697,608,524,467,410,355,305,265,228,197,164
25832,25808,25761,25679,25560,25396,25199,24954,24694,24385,24042,23644,23229,22762,22262,21740,21174,20615,19979,19305,18630,17937,17258,16521,15752,15045,14323,13587,12874,12194,11497,10799,10130,9456,8856,8244,7665,7105,6606,6180,5771,5399,5029,4720,4443,4157,3898,3658,3436,3228,3038,2868,2711,2565,2419,2285,2146,2017,1891,1771,1649,1538,1431,1321,1225,1133,1039,931,838,741,649,559,467,391,316,259,204,161,124,98
25832,25805,25755,25672,25553,25376,25179,24949,24676,24389,24072,23730,23370,22954,22509,22046,21559,21085,20569,20023,19489,18945,18333,17708,17106,16500,15879,15275,14680,14069,13437,12840,12253,11664,11005,10400,9780,9164,8586,8007,7472,6962,6460,5978,5519,5067,4621,4197,3788,3396,3029,2649,2315,2021,1738,1474,1239,999,788,614,447,319,217,125,71,44,28,16,6,3,1,1,1,1,1,1,1,1,1,1
25832,25813,25773,25704,25605,25469,25281,25068,24797,24450,24085,23655,23204,22692,22124,21528,20915,20299,19628,18957,18244,17515,16793,16099,15423,14745,14055,13399,12732,12082,11443,10807,10239,9692,9162,8630,8144,7688,7245,6803,6383,5966,5544,5156,4787,4428,4093,3751,3392,3070,2766,2479,2180,1923,1662,1446,1231,1065,890,727,584,444,349,266,207,167,141,115,94,76,51,24,9,3,1,1,1,1,1,1
25832,25807,25757,25673,25558,25393,25210,24989,24736,24456,24132,23750,23359,22933,22509,22042,21554,20996,20449,19877,19254,18632,17997,17343,16726,16067,15457,14820,14190,13581,12977,12396,11836,11281,10760,10251,9770,9282,8815,8382,7973,7562,7208,6853,6503,6201,5913,5672,5431,5186,4955,4708,4461,4234,4011,3794,3576,3370,3159,2955,2779,2604,2436,2280,2118,1980,1841,1697,1564,1441,1319,1202,1097,1004,917,829,733,648,571,496
