0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
4270,4229,4122,3983,3792,3581,3352,3097,2848,2612,2392,2175,1956,1745,1535,1332,1146,957,821,711,596,510,435,356,293,246,194,153,118,81,47,21,7,2,0,0
4270,4232,4138,3993,3821,3613,3367,3075,2759,2419,2089,1759,1448,1158,917,740,582,461,341,242,147,66,29,8,0,0,0,0,0,0,0,0,0,0,0,0
4270,4235,4137,3965,3743,3483,3205,2903,2602,2297,2020,1737,1466,1225,990,751,548,364,225,115,62,27,12,2,0,0,0,0,0,0,0,0,0,0,0,0
4270,4233,4139,4012,3847,3652,3458,3220,2990,2765,2544,2293,2065,1840,1648,1463,1298,1146,1033,937,833,738,641,553,471,391,320,259,207,167,134,99,73,51,33,20
4270,4232,4139,3991,3773,3535,3254,2945,2637,2355,2105,1888,1685,1504,1334,1171,1032,896,780,661,548,460,385,317,259,211,172,134,101,77,53,30,17,5,1,0
4270,4230,4123,3965,3756,3492,3178,2820,2447,2066,1677,1344,1056,805,571,408,272,197,137,94,63,42,25,14,4,0,0,0,0,0,0,0,0,0,0,0
4270,4226,4120,3941,3720,3435,3153,2850,2552,2248,1972,1692,1427,1198,974,778,618,480,375,276,200,143,91,57,29,10,4,1,0,0,0,0,0,0,0,0
4270,4226,4127,3964,3758,3504,3208,2906,2612,2319,2035,1753,1506,1267,1050,869,730,599,496,404,310,235,171,124,88,60,35,14,5,1,1,1,0,0,0,0
4270,4225,4122,3953,3748,3497,3205,2881,2534,2158,1793,1468,1191,937,736,586,457,343,266,217,179,145,113,87,62,41,25,14,5,0,0,0,0,0,0,0
4271,4238,4157,4019,3841,3628,3383,3114,2833,2545,2260,1982,1697,1436,1216,1024,863,752,653,553,457,371,299,238,192,155,120,85,56,37,21,9,3,1,1,0
4270,4227,4119,3971,3763,3513,3242,2951,2656,2374,2116,1875,1635,1414,1160,951,747,589,438,301,204,134,87,37,12,2,0,0,0,0,0,0,0,0,0,0
4270,4228,4122,3968,3760,3498,3172,2840,2515,2196,1900,1642,1420,1218,1039,867,715,580,473,373,296,232,172,134,102,76,56,39,23,13,6,2,0,0,0,0
4270,4230,4124,3967,3750,3495,3166,2818,2472,2111,1786,1491,1250,1042,855,691,538,405,294,207,144,99,64,38,21,10,2,0,0,0,0,0,0,0,0,0
4270,4223,4121,3955,3727,3452,3146,2848,2557,2270,1988,1706,1461,1256,1061,876,713,562,441,323,225,146,82,40,14,6,0,0,0,0,0,0,0,0,0,0
4270,4226,4122,3967,3741,3470,3161,2824,2484,2187,1926,1650,1402,1169,956,774,622,507,417,353,302,261,220,183,145,110,81,50,26,5,0,0,0,0,0,0
4270,4234,4136,3969,3734,3445,3105,2725,2315,1922,1523,1197,927,712,525,377,274,204,141,93,55,29,14,7,2,0,0,0,0,0,0,0,0,0,0,0
4270,4226,4118,3948,3721,3458,3150,2821,2491,2175,1844,1526,1242,976,763,581,444,335,240,174,125,77,47,18,5,0,0,0,0,0,0,0,0,0,0,0
4270,4232,4135,3984,3799,3590,3361,3120,2838,2537,2228,1935,1647,1406,1201,1003,842,703,586,489,412,341,275,216,166,127,91,67,46,31,17,5,1,0,0,0
4270,4222,4108,3948,3740,3493,3223,2949,2669,2374,2075,1807,1576,1375,1179,1036,897,760,650,556,473,389,314,252,187,135,95,59,38,21,7,1,0,0,0,0
4270,4226,4128,3985,3785,3544,3299,3033,2750,2490,2240,1988,1783,1579,1398,1237,1084,935,784,649,529,434,343,264,191,137,95,61,34,19,7,1,0,0,0,0
4270,4232,4147,4014,3828,3617,3383,3119,2842,2527,2230,1903,1580,1282,1014,785,574,396,254,164,94,43,15,1,0,0,0,0,0,0,0,0,0,0,0,0
4270,4224,4126,3959,3720,3428,3124,2796,2420,2026,1633,1291,997,767,575,405,268,161,81,38,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4270,4230,4131,3971,3747,3491,3177,2838,2496,2172,1855,1589,1339,1121,940,781,635,505,397,310,224,155,99,70,42,24,9,1,0,0,0,0,0,0,0,0
4270,4224,4121,3957,3752,3526,3277,3027,2775,2531,2277,2030,1786,1559,1346,1132,944,775,632,516,421,339,272,208,157,115,79,51,27,12,4,1,0,0,0,0
4270,4232,4138,3970,3753,3493,3204,2901,2597,2292,2017,1780,1572,1382,1214,1083,970,857,750,650,547,453,365,286,226,167,114,74,31,7,0,0,0,0,0,0
4270,4227,4121,3943,3704,3417,3089,2722,2362,2019,1705,1394,1108,834,588,407,255,137,72,30,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4270,4228,4129,3973,3779,3543,3268,2979,2687,2391,2095,1773,1477,1202,935,682,475,319,219,150,101,65,34,14,4,0,0,0,0,0,0,0,0,0,0,0
4270,4238,4147,3995,3782,3527,3256,2969,2653,2311,1990,1676,1371,1079,787,552,365,212,132,80,56,37,21,9,2,0,0,0,0,0,0,0,0,0,0,0
4270,4233,4138,3996,3815,3573,3278,2959,2635,2311,1991,1705,1440,1168,938,739,551,368,208,106,49,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4270,4229,4131,3971,3768,3538,3287,3009,2732,2501,2285,2069,1860,1682,1488,1346,1217,1098,1002,914,848,782,711,646,591,532,485,434,384,340,292,249,208,167,127,96
4270,4224,4120,3971,3779,3542,3266,2979,2672,2372,2105,1849,1646,1447,1288,1116,954,806,657,527,420,332,263,200,138,93,64,36,20,5,0,0,0,0,0,0
4270,4238,4144,3987,3763,3502,3171,2822,2444,2036,1653,1298,985,753,583,450,334,232,155,94,55,28,12,2,0,0,0,0,0,0,0,0,0,0,0,0
4270,4227,4119,3951,3717,3438,3128,2814,2451,2124,1810,1505,1226,968,745,551,409,304,213,148,103,66,36,18,7,1,0,0,0,0,0,0,0,0,0,0
4270,4225,4115,3942,3713,3441,3118,2758,2397,2071,1718,1386,1106,857,668,507,349,200,101,45,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4270,4226,4121,3970,3778,3539,3257,2945,2624,2303,1991,1691,1423,1208,1022,855,696,555,427,319,233,171,130,95,70,47,27,11,3,1,0,0,0,0,0,0
4270,4228,4121,3961,3727,3436,3111,2799,2465,2135,1825,1518,1246,984,756,571,412,267,166,93,47,28,12,4,0,0,0,0,0,0,0,0,0,0,0,0
4270,4237,4145,3994,3781,3509,3194,2900,2554,2186,1838,1496,1224,950,713,519,333,194,103,55,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4270,4228,4119,3939,3747,3529,3307,3061,2804,2568,2340,2116,1892,1673,1441,1209,975,765,599,441,313,225,159,110,69,42,23,8,2,0,0,0,0,0,0,0
4270,4226,4118,3955,3731,3456,3130,2766,2420,2064,1718,1397,1090,790,529,324,190,118,80,52,27,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4270,4229,4136,3994,3796,3559,3324,3066,2830,2587,2352,2131,1930,1726,1516,1317,1153,1014,899,813,728,637,561,490,428,362,302,249,198,150,104,62,34,13,4,0
4270,4224,4108,3943,3728,3473,3199,2901,2588,2271,1984,1708,1429,1185,985,812,654,516,404,293,211,142,97,69,48,35,20,9,3,1,0,0,0,0,0,0
4270,4228,4134,3999,3807,3571,3289,3008,2732,2441,2163,1875,1612,1342,1080,829,599,412,264,149,75,44,22,5,1,0,0,0,0,0,0,0,0,0,0,0
4270,4226,4125,3975,3768,3537,3278,3003,2758,2483,2231,1963,1682,1409,1152,921,697,527,399,314,261,215,182,147,117,93,67,43,26,15,6,3,0,0,0,0
4270,4228,4133,3997,3799,3540,3248,2946,2614,2266,1912,1581,1274,1023,816,646,520,406,304,236,177,125,91,50,20,7,1,0,0,0,0,0,0,0,0,0
4270,4227,4132,3974,3777,3519,3238,2919,2624,2301,1989,1669,1355,1059,801,580,424,300,209,140,98,67,44,31,19,10,2,0,0,0,0,0,0,0,0,0
4270,4226,4128,3957,3734,3449,3135,2766,2374,2033,1686,1389,1127,885,690,554,438,349,281,220,163,110,62,32,16,5,0,0,0,0,0,0,0,0,0,0
4270,4220,4106,3932,3696,3411,3117,2819,2496,2211,1934,1656,1387,1200,1021,870,747,634,535,453,377,308,247,193,147,108,76,55,32,17,6,2,0,0,0,0
4270,4227,4137,3979,3782,3538,3276,2991,2682,2372,2043,1745,1487,1273,1101,956,829,735,659,586,519,450,392,333,276,219,171,128,89,55,25,6,0,0,0,0
4270,4223,4120,3949,3744,3542,3302,3039,2748,2483,2225,1963,1738,1512,1320,1151,999,867,756,652,568,486,415,349,292,239,199,160,125,90,62,38,23,8,1,0
