0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
5170,5162,5148,5124,5100,5070,5042,5004,4967,4926,4878,4830,4772,4714,4656,4597,4512,4439,4358,4275,4181,4104,4016,3927,3853,3778,3687,3602,3505,3412,3305,3212,3122,3023,2934,2846,2760,2680,2602,2522,2433,2339,2252,2167,2082,2020,1953,1900,1838,1771,1722,1658,1600,1560,1515,1474,1433,1401,1354,1316,1282,1243,1207,1177,1137,1108,1081,1058,1028,1003,972,940,910,884,863,842,825,805,792,774,755,742,727,716,710,706,704,702
5170,5160,5141,5113,5082,5042,5006,4968,4917,4868,4811,4741,4673,4611,4551,4477,4400,4319,4237,4143,4043,3957,3859,3761,3659,3545,3445,3344,3232,3123,3005,2892,2782,2677,2581,2509,2431,2353,2275,2209,2144,2091,2036,1983,1926,1867,1826,1768,1717,1682,1642,1602,1567,1531,1489,1456,1417,1382,1353,1323,1292,1262,1230,1202,1175,1148,1127,1102,1085,1065,1043,1025,1008,984,967,946,932,913,895,883,869,853,838,818,809,802,793,789
5170,5161,5150,5128,5109,5080,5046,5011,4967,4913,4861,4809,4748,4681,4615,4547,4483,4417,4350,4255,4166,4073,3974,3874,3777,3653,3539,3422,3296,3189,3065,2959,2860,2741,2631,2507,2383,2272,2149,2048,1935,1842,1747,1650,1554,1483,1425,1378,1329,1291,1254,1206,1171,1132,1094,1061,1036,1010,995,969,949,928,915,898,883,871,863,852,845,838,832,825,823,821,816,814,812,811,811,808,807,807,807,807,807,807,807,807
5170,5164,5152,5143,5127,5110,5080,5051,5025,5002,4970,4938,4901,4857,4817,4773,4725,4685,4635,4581,4537,4493,4436,4380,4328,4261,4197,4140,4070,4000,3929,3844,3772,3697,3623,3543,3463,3394,3317,3241,3167,3100,3021,2944,2877,2823,2767,2700,2643,2581,2537,2485,2436,2375,2321,2271,2218,2153,2097,2048,1993,1944,1876,1813,1754,1677,1611,1550,1493,1442,1396,1355,1299,1261,1223,1188,1155,1122,1096,1075,1056,1039,1025,1010,992,977,962,947
5170,5164,5149,5132,5103,5080,5051,5004,4973,4928,4871,4831,4768,4708,4646,4573,4489,4405,4320,4236,4145,4056,3964,3864,3751,3641,3526,3414,3303,3200,3095,2998,2896,2809,2702,2614,2511,2420,2331,2248,2175,2102,2044,1979,1918,1852,1791,1726,1673,1631,1586,1541,1502,1458,1426,1384,1347,1319,1290,1254,1220,1194,1164,1135,1105,1084,1058,1039,1019,1000,985,969,959,945,932,920,904,887,871,854,844,828,818,804,793,785,780,776
5170,5162,5148,5123,5094,5063,5030,4991,4940,4894,4838,4792,4735,4673,4595,4523,4456,4373,4302,4239,4161,4090,4019,3956,3887,3817,3741,3653,3576,3501,3416,3338,3260,3183,3103,3016,2939,2855,2779,2699,2617,2532,2454,2364,2284,2203,2127,2045,1979,1900,1836,1764,1710,1667,1613,1569,1528,1492,1450,1413,1387,1347,1315,1285,1254,1225,1191,1161,1133,1110,1090,1068,1054,1037,1028,1015,1007,992,974,957,947,932,920,907,907,901,891,887
5170,5157,5140,5121,5089,5061,5022,4978,4934,4876,4827,4780,4723,4660,4606,4547,4483,4414,4345,4266,4178,4106,4028,3950,3872,3788,3710,3629,3546,3475,3406,3329,3258,3189,3113,3042,2973,2905,2842,2787,2730,2675,2617,2568,2526,2488,2453,2403,2355,2315,2271,2237,2203,2163,2124,2084,2041,1994,1963,1919,1890,1858,1820,1780,1742,1703,1668,1638,1603,1571,1549,1519,1500,1479,1462,1434,1414,1384,1354,1319,1293,1275,1249,1219,1194,1173,1155,1136
5170,5161,5145,5124,5099,5072,5045,5009,4975,4936,4901,4863,4825,4777,4722,4665,4600,4536,4474,4415,4328,4255,4180,4088,3984,3896,3818,3741,3661,3581,3489,3407,3320,3238,3156,3082,3015,2927,2856,2781,2728,2673,2599,2532,2460,2398,2335,2271,2213,2153,2099,2037,1978,1926,1871,1826,1766,1719,1671,1626,1585,1550,1518,1492,1472,1454,1437,1413,1397,1380,1368,1352,1337,1324,1307,1282,1259,1240,1228,1211,1194,1182,1166,1136,1122,1100,1077,1057
5170,5161,5148,5129,5109,5085,5061,5029,4995,4958,4916,4878,4831,4770,4702,4637,4577,4524,4454,4379,4313,4243,4163,4085,3978,3872,3772,3668,3560,3484,3403,3312,3222,3131,3038,2949,2848,2762,2684,2602,2518,2436,2353,2276,2202,2131,2068,2002,1932,1868,1810,1747,1679,1617,1548,1491,1441,1381,1330,1287,1245,1210,1176,1132,1101,1072,1040,1016,996,971,950,927,902,879,862,849,835,822,816,805,793,785,776,767,753,746,738,731
5170,5161,5142,5123,5098,5068,5030,4993,4946,4900,4845,4790,4724,4653,4586,4521,4462,4390,4302,4228,4158,4080,3985,3905,3798,3688,3578,3469,3348,3221,3107,2980,2858,2759,2649,2548,2455,2357,2259,2163,2062,1966,1867,1769,1677,1612,1540,1477,1416,1366,1321,1279,1223,1181,1137,1096,1057,1018,989,965,943,923,903,883,867,851,837,826,812,805,793,783,779,775,772,764,757,752,744,737,734,729,725,720,715,710,704,697
5170,5164,5150,5134,5117,5096,5070,5036,5004,4958,4921,4871,4824,4775,4719,4653,4586,4518,4443,4364,4280,4203,4124,4036,3962,3886,3806,3719,3630,3541,3464,3391,3310,3235,3157,3070,2987,2909,2825,2754,2665,2595,2508,2435,2361,2281,2216,2139,2064,1993,1933,1873,1816,1755,1701,1645,1591,1537,1490,1437,1400,1358,1305,1259,1225,1177,1143,1109,1080,1057,1041,1009,991,970,955,933,920,906,891,880,867,854,841,830,819,814,808,804
5170,5163,5153,5126,5108,5079,5047,5020,4996,4957,4921,4871,4825,4780,4737,4694,4651,4594,4523,4462,4396,4338,4272,4219,4142,4068,3983,3902,3821,3744,3667,3589,3511,3437,3351,3276,3183,3110,3022,2943,2850,2775,2693,2605,2511,2424,2346,2261,2173,2092,2010,1941,1869,1780,1703,1618,1536,1470,1418,1374,1327,1284,1251,1219,1182,1142,1098,1048,1002,976,942,917,895,870,853,841,824,812,804,788,777,767,756,747,741,736,727,722
5170,5167,5161,5143,5129,5101,5065,5032,4994,4956,4913,4862,4814,4753,4683,4615,4546,4466,4375,4308,4226,4150,4080,3996,3913,3824,3729,3622,3534,3426,3317,3212,3119,3009,2910,2809,2701,2592,2489,2392,2299,2206,2113,2021,1943,1865,1796,1734,1667,1607,1550,1496,1461,1409,1372,1340,1308,1276,1249,1215,1184,1148,1116,1093,1068,1037,1017,992,980,957,932,918,900,888,872,862,852,841,828,819,810,799,787,782,778,773,766,764
5170,5164,5154,5140,5126,5107,5089,5074,5055,5040,5023,5002,4973,4944,4909,4880,4848,4811,4780,4736,4688,4643,4606,4572,4533,4496,4451,4401,4355,4311,4262,4222,4176,4122,4068,4014,3969,3925,3876,3836,3787,3744,3703,3642,3599,3544,3482,3410,3339,3280,3228,3174,3129,3076,3034,2987,2941,2895,2844,2807,2760,2720,2677,2630,2588,2553,2514,2482,2449,2407,2367,2330,2295,2254,2218,2182,2140,2103,2070,2028,1987,1940,1887,1848,1793,1748,1704,1658
5170,5155,5145,5121,5094,5065,5035,4994,4954,4896,4854,4805,4761,4696,4632,4578,4506,4438,4373,4290,4218,4144,4069,4000,3932,3871,3817,3742,3675,3603,3543,3465,3394,3319,3252,3187,3124,3064,3006,2945,2871,2806,2736,2667,2596,2529,2470,2415,2360,2309,2245,2191,2142,2084,2029,1972,1911,1852,1794,1735,1683,1643,1601,1559,1523,1492,1456,1423,1397,1373,1345,1317,1288,1261,1236,1206,1172,1142,1115,1095,1076,1055,1037,1012,1001,979,962,949
