0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
16904,16842,16713,16523,16270,15958,15597,15197,14734,14213,13643,13022,12344,11629,10898,10145,9394,8731,8126,7538,6963,6399,5834,5275,4710,4146,3586,3032,2580,2240,1933,1649,1425,1256,1111,975,842,719,602
16904,16840,16692,16463,16150,15764,15331,14840,14287,13692,13041,12370,11653,10945,10235,9498,8732,8006,7347,6700,6122,5614,5214,4838,4486,4147,3812,3490,3178,2870,2575,2290,2030,1791,1565,1350,1145,963,795
16904,16836,16689,16463,16177,15825,15411,14934,14398,13797,13139,12450,11756,11066,10348,9644,8979,8343,7727,7153,6630,6162,5743,5344,4975,4606,4249,3909,3594,3308,3034,2760,2498,2240,1998,1797,1600,1400,1202
16904,16840,16691,16481,16201,15852,15420,14939,14407,13830,13205,12561,11873,11163,10434,9718,9024,8325,7664,7036,6416,5807,5212,4616,4038,3449,2876,2329,1895,1529,1202,929,708,514,357,232,137,79,43
16904,16839,16697,16476,16194,15853,15480,15081,14676,14241,13782,13304,12825,12336,11839,11342,10835,10323,9813,9312,8792,8289,7791,7323,6923,6525,6137,5738,5339,4955,4581,4204,3823,3440,3062,2763,2479,2214,1952
16904,16841,16689,16460,16166,15808,15382,14893,14339,13727,13058,12378,11685,10986,10329,9663,9007,8396,7803,7206,6674,6193,5728,5265,4829,4426,4040,3662,3315,3033,2773,2529,2303,2097,1900,1712,1534,1367,1208
16904,16841,16690,16470,16171,15791,15347,14834,14277,13678,13071,12427,11773,11100,10441,9791,9165,8541,7919,7314,6701,6148,5626,5127,4643,4216,3809,3441,3094,2765,2443,2133,1829,1552,1316,1111,932,775,634
16904,16835,16686,16475,16210,15890,15512,15096,14657,14180,13696,13176,12660,12140,11608,11044,10521,10032,9549,9068,8604,8135,7664,7205,6771,6356,5969,5621,5279,4951,4653,4374,4118,3885,3660,3438,3221,3015,2807
16904,16845,16702,16490,16216,15885,15518,15102,14647,14156,13623,13068,12506,11934,11363,10815,10260,9693,9117,8539,7962,7374,6814,6244,5696,5184,4696,4223,3772,3379,3011,2661,2320,1991,1698,1438,1191,962,744
16904,16842,16694,16465,16164,15776,15325,14813,14240,13629,12960,12259,11547,10805,10121,9477,8840,8203,7615,7034,6456,5905,5393,4894,4436,3978,3531,3086,2687,2342,2011,1699,1429,1184,983,803,646,514,399
16904,16838,16690,16470,16181,15824,15423,14961,14464,13937,13362,12778,12221,11649,11059,10459,9839,9221,8599,7970,7333,6692,6040,5404,4817,4301,3807,3333,2869,2421,1994,1576,1198,927,735,577,448,339,248
16904,16839,16695,16459,16149,15785,15363,14881,14352,13768,13152,12490,11806,11089,10371,9654,8908,8191,7530,6892,6304,5844,5445,5098,4765,4451,4156,3889,3655,3445,3265,3098,2938,2787,2640,2488,2343,2205,2069
16904,16844,16709,16504,16237,15927,15568,15152,14699,14230,13731,13201,12655,12099,11535,10962,10382,9821,9257,8703,8189,7698,7236,6813,6418,6039,5684,5358,5068,4827,4596,4376,4165,3956,3744,3534,3329,3121,2911
16904,16844,16695,16475,16187,15861,15489,15073,14611,14118,13585,13034,12472,11914,11362,10793,10225,9677,9163,8685,8208,7750,7311,6889,6485,6095,5719,5359,5006,4666,4332,3997,3661,3317,2984,2645,2314,1978,1646
16904,16851,16713,16503,16232,15894,15511,15086,14606,14083,13536,12972,12378,11785,11205,10599,9966,9312,8651,7981,7359,6789,6302,5831,5367,4904,4445,3998,3563,3139,2731,2399,2087,1800,1539,1315,1104,935,808
16904,16834,16685,16459,16155,15768,15330,14838,14310,13741,13137,12507,11833,11165,10489,9813,9147,8492,7848,7240,6665,6113,5592,5085,4594,4138,3728,3390,3120,2866,2620,2390,2172,1963,1772,1592,1418,1261,1111
16904,16834,16687,16464,16178,15840,15441,14994,14495,13951,13379,12794,12259,11720,11194,10689,10213,9747,9290,8875,8507,8147,7786,7420,7064,6717,6379,6048,5728,5415,5124,4836,4554,4280,4013,3756,3495,3246,2991
16904,16835,16681,16450,16148,15763,15298,14772,14211,13609,12997,12368,11702,11008,10315,9607,8887,8206,7537,6889,6287,5687,5115,4583,4107,3682,3337,3028,2730,2444,2168,1913,1686,1483,1301,1133,979,838,707
16904,16841,16697,16481,16199,15847,15450,14998,14491,13940,13365,12740,12078,11373,10645,9924,9218,8519,7831,7161,6507,5878,5264,4656,4094,3544,3006,2473,1974,1590,1233,966,730,510,386,303,246,199,158
16904,16839,16698,16484,16190,15836,15405,14912,14352,13733,13053,12319,11561,10763,9984,9205,8427,7654,6881,6108,5404,4727,4065,3423,2858,2429,2094,1798,1530,1283,1060,858,673,504,353,226,114,66,30
16904,16840,16693,16455,16145,15755,15285,14744,14129,13442,12717,11969,11207,10434,9656,8853,8041,7206,6389,5602,4864,4137,3485,2990,2566,2235,1938,1668,1430,1222,1047,895,773,670,580,502,433,371,317
16904,16842,16694,16463,16159,15777,15321,14814,14265,13664,13030,12366,11687,10963,10251,9520,8806,8082,7371,6667,5952,5312,4733,4200,3742,3349,2983,2636,2312,2016,1764,1540,1339,1156,988,841,718,609,522
