0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
30415,30358,30232,30027,29770,29457,29076,28615,28118,27588,27022,26428,25802,25164,24477,23755,23057,22380,21703,21012,20303,19587,18845,18115,17418,16739,16056,15395,14746,14101,13474,12846,12245,11650,11063,10490,9924,9353,8794,8247,7791,7378,7015,6674,6365,6086,5814,5548,5293,5043,4799,4568,4339,4135,3945,3760,3579,3414,3240,3070,2903,2739,2586,2420,2265,2111,1964,1823,1683,1569,1465,1372,1276,1182,1094,1012,930,850,773,705,637,570,510,452,394,340,293,247,207,168,133,103,76,54,37,22,12,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30415,30356,30231,30042,29781,29467,29096,28680,28219,27732,27194,26621,25997,25334,24624,23906,23166,22412,21621,20789,19947,19063,18140,17242,16318,15415,14552,13687,12819,11964,11129,10313,9494,8694,7931,7194,6496,5816,5170,4563,4022,3515,3034,2663,2333,2077,1889,1712,1552,1397,1246,1109,982,867,754,649,560,467,388,309,238,166,99,38,14,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30415,30355,30213,30000,29728,29401,29015,28560,28024,27454,26827,26149,25403,24644,23852,23019,22142,21238,20289,19342,18373,17426,16488,15609,14753,13906,13083,12291,11500,10738,10011,9299,8614,7935,7279,6678,6131,5602,5095,4614,4206,3830,3495,3186,2909,2652,2405,2168,1933,1716,1502,1301,1134,969,819,675,563,468,372,296,229,170,127,90,66,47,33,21,13,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
30415,30353,30215,30004,29740,29423,29057,28625,28141,27598,26981,26324,25632,24889,24103,23265,22430,21567,20665,19759,18884,17991,17055,16108,15157,14205,13276,12371,11509,10708,9902,9181,8497,7847,7212,6616,6058,5533,5028,4555,4104,3673,3308,2962,2652,2364,2099,1878,1689,1515,1354,1207,1080,956,837,728,628,530,438,354,276,205,145,96,62,35,18,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30415,30360,30223,30015,29727,29370,28936,28449,27898,27288,26675,26030,25331,24585,23805,22984,22137,21261,20399,19523,18627,17709,16778,15844,14948,14062,13243,12473,11762,11051,10363,9693,9034,8436,7896,7359,6828,6322,5855,5390,4993,4606,4236,3899,3568,3250,2944,2636,2356,2099,1878,1674,1483,1313,1160,1019,891,779,675,588,510,441,377,325,274,230,188,154,119,90,64,45,27,15,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30415,30367,30255,30068,29823,29531,29212,28853,28444,27995,27513,26981,26417,25815,25201,24596,23964,23323,22662,22037,21437,20842,20247,19655,19075,18489,17912,17330,16751,16179,15598,15007,14407,13820,13246,12661,12102,11526,10972,10394,9826,9244,8709,8197,7691,7188,6686,6203,5730,5273,4854,4472,4112,3772,3443,3134,2822,2528,2258,1998,1740,1491,1262,1045,866,726,631,556,485,422,362,309,262,218,178,144,110,83,62,45,28,17,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
30415,30354,30211,30000,29706,29331,28885,28371,27759,27077,26348,25567,24767,23934,23071,22175,21239,20329,19377,18393,17402,16445,15524,14601,13685,12754,11833,10921,10058,9213,8393,7590,6879,6216,5602,5025,4490,3980,3512,3125,2758,2425,2127,1856,1605,1381,1173,982,812,655,519,397,292,207,136,71,29,10,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
30415,30357,30222,30003,29723,29372,28970,28518,28032,27509,26946,26376,25754,25111,24444,23735,22968,22195,21443,20747,20050,19336,18636,17929,17224,16547,15885,15231,14599,13959,13339,12713,12106,11502,10923,10347,9813,9298,8800,8326,7851,7392,6945,6509,6083,5675,5283,4914,4552,4211,3872,3541,3219,2910,2615,2335,2077,1828,1592,1370,1173,995,840,705,599,503,410,329,254,187,122,75,39,17,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30415,30360,30228,30021,29728,29370,28942,28447,27874,27233,26537,25771,24946,24079,23179,22256,21321,20353,19432,18516,17613,16682,15811,14979,14152,13341,12552,11756,10969,10213,9538,8897,8267,7658,7082,6506,5970,5452,4945,4451,3975,3508,3049,2594,2131,1724,1399,1145,937,827,734,651,579,512,450,393,339,292,247,206,170,138,107,83,59,42,27,17,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
30415,30360,30231,30026,29746,29422,29013,28540,28042,27524,26965,26391,25778,25148,24498,23819,23130,22407,21670,20881,20090,19257,18385,17571,16745,15924,15088,14235,13380,12511,11667,10849,10029,9221,8424,7686,6964,6271,5719,5219,4824,4462,4131,3818,3519,3245,2990,2750,2526,2320,2119,1943,1771,1608,1447,1301,1167,1040,919,797,688,593,503,427,355,288,223,176,133,97,69,46,25,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
