0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
12375,12354,12304,12214,12085,11915,11725,11512,11255,10972,10667,10343,9984,9583,9173,8754,8360,7936,7512,7049,6589,6133,5633,5129,4594,4100,3619,3144,2708,2315,1994,1710,1496,1282,1103,948,819,711,614,528,447,379,325,280,233,174,135,95,65,39,19,9,2,0,0,0
12375,12357,12309,12228,12113,11954,11752,11508,11228,10921,10561,10187,9813,9395,8937,8502,8027,7587,7191,6750,6339,5933,5504,5107,4727,4353,3980,3633,3290,2985,2692,2420,2179,1971,1765,1580,1384,1200,1026,857,714,605,517,432,364,302,242,185,132,100,79,56,40,30,18,8
12375,12351,12299,12212,12087,11924,11745,11522,11306,11060,10776,10493,10181,9851,9488,9143,8782,8418,8036,7641,7229,6833,6454,6080,5733,5369,5039,4709,4379,4111,3854,3628,3433,3232,3022,2847,2684,2554,2427,2299,2173,2071,1958,1872,1773,1685,1599,1516,1440,1356,1265,1182,1094,1030,971,897
12375,12348,12296,12222,12089,11919,11731,11498,11245,10947,10613,10250,9878,9485,9042,8595,8170,7719,7240,6772,6303,5811,5367,4906,4482,4066,3640,3254,2929,2605,2343,2106,1894,1710,1544,1402,1275,1164,1060,971,881,792,718,641,580,511,438,378,306,239,176,118,64,37,13,9
12375,12354,12307,12220,12103,11952,11751,11529,11276,10993,10661,10289,9935,9537,9103,8656,8200,7771,7341,6890,6475,6073,5687,5289,4924,4575,4262,3982,3719,3466,3237,3010,2816,2644,2480,2293,2129,1982,1841,1688,1557,1426,1294,1168,1038,937,829,729,634,545,451,370,307,249,188,147
12375,12358,12313,12235,12126,11980,11777,11551,11305,11040,10729,10401,10077,9732,9347,8957,8566,8157,7764,7392,7020,6671,6320,5990,5669,5371,5067,4788,4511,4245,3978,3715,3470,3232,3018,2833,2637,2452,2307,2141,1984,1855,1734,1608,1483,1356,1238,1127,1038,951,870,777,699,632,558,484
12375,12354,12320,12262,12168,12040,11873,11683,11466,11241,10961,10687,10377,10062,9704,9335,8952,8530,8125,7712,7271,6837,6431,6042,5642,5247,4875,4500,4121,3748,3414,3115,2863,2644,2446,2285,2130,2001,1891,1781,1686,1586,1484,1383,1285,1199,1104,1019,935,865,785,720,652,590,531,462
12375,12340,12280,12176,12043,11873,11666,11431,11181,10880,10546,10204,9840,9463,9034,8656,8245,7846,7451,7058,6704,6337,6000,5659,5316,4951,4615,4308,4034,3788,3541,3327,3131,2947,2763,2596,2419,2239,2047,1891,1728,1584,1441,1302,1146,1029,927,842,770,690,620,561,497,448,402,360
12375,12359,12319,12246,12140,12029,11875,11702,11515,11270,11023,10736,10434,10090,9758,9420,9062,8715,8376,8043,7711,7362,7041,6712,6385,6055,5720,5402,5091,4782,4471,4169,3860,3527,3229,2934,2651,2383,2156,1918,1700,1500,1304,1111,960,848,740,644,560,490,417,345,281,221,182,142
12375,12349,12302,12219,12098,11943,11756,11518,11269,10956,10652,10303,9903,9505,9087,8645,8161,7674,7175,6654,6111,5559,5036,4498,3927,3395,2890,2427,2038,1729,1450,1223,1012,816,655,510,414,334,266,213,165,119,85,62,33,18,10,7,3,0,0,0,0,0,0,0
12375,12361,12317,12236,12128,11989,11806,11578,11296,10982,10638,10237,9798,9356,8849,8342,7800,7234,6658,6096,5555,5006,4482,3977,3503,3057,2661,2308,1994,1725,1470,1236,1011,820,640,502,389,305,242,178,135,101,68,45,28,16,7,1,0,0,0,0,0,0,0,0
12375,12356,12304,12224,12104,11951,11776,11559,11322,11047,10717,10355,10004,9639,9251,8845,8414,7957,7488,7007,6510,6025,5567,5056,4600,4170,3760,3336,2967,2621,2306,2013,1760,1543,1346,1178,1031,929,831,739,668,604,534,483,417,362,302,260,219,182,145,116,90,62,48,34
12375,12355,12316,12231,12116,11961,11779,11539,11263,10970,10651,10330,10000,9658,9301,8929,8598,8244,7869,7512,7188,6816,6445,6071,5722,5327,4946,4568,4205,3846,3471,3097,2759,2469,2212,1972,1750,1554,1375,1222,1071,943,841,730,620,522,438,368,314,261,207,151,109,66,47,29
12375,12346,12286,12197,12062,11900,11690,11469,11199,10909,10587,10284,9948,9579,9167,8749,8314,7902,7526,7115,6712,6301,5896,5551,5204,4881,4559,4268,4003,3767,3547,3343,3117,2924,2772,2616,2460,2337,2233,2124,2027,1918,1819,1725,1632,1545,1450,1365,1272,1189,1114,1034,953,874,788,721
12375,12351,12316,12242,12137,11990,11819,11632,11416,11162,10872,10564,10266,9972,9662,9361,9061,8783,8501,8215,7933,7678,7414,7160,6890,6631,6344,6082,5801,5528,5264,5003,4771,4516,4292,4062,3839,3617,3397,3203,3009,2812,2611,2415,2213,1983,1791,1594,1394,1195,1013,846,678,555,439,334
12375,12351,12307,12229,12125,11975,11778,11569,11319,11024,10730,10431,10114,9795,9477,9127,8795,8462,8090,7750,7409,7064,6735,6371,6032,5688,5351,5033,4747,4438,4125,3839,3536,3237,2970,2749,2527,2337,2168,2009,1843,1674,1530,1384,1260,1121,999,879,766,661,570,476,404,331,267,212
12375,12354,12309,12224,12114,11977,11779,11548,11288,10984,10678,10348,9971,9589,9202,8795,8348,7882,7421,6958,6497,6055,5624,5205,4777,4368,3998,3649,3307,2982,2689,2389,2105,1837,1621,1398,1181,994,825,702,579,458,369,285,224,158,112,82,54,30,15,6,3,2,1,0
12375,12351,12302,12216,12085,11930,11750,11527,11264,10984,10635,10276,9912,9493,9067,8593,8093,7579,7085,6593,6055,5547,5085,4662,4248,3848,3492,3157,2827,2534,2289,2085,1907,1744,1584,1448,1332,1212,1094,991,896,808,732,650,575,496,426,366,312,271,228,188,149,122,99,72
12375,12347,12291,12210,12079,11897,11671,11442,11186,10892,10530,10162,9743,9315,8862,8391,7897,7422,6937,6470,6025,5587,5140,4752,4374,4040,3716,3404,3096,2831,2559,2302,2057,1839,1623,1412,1228,1062,917,800,689,581,484,406,330,270,210,170,141,112,87,71,55,39,30,19
12375,12355,12303,12228,12111,11966,11801,11623,11416,11184,10926,10643,10345,10000,9630,9280,8925,8542,8153,7748,7363,7005,6641,6276,5910,5571,5229,4906,4585,4269,3995,3730,3480,3258,3078,2911,2756,2590,2418,2291,2176,2048,1917,1798,1681,1577,1472,1381,1297,1235,1157,1074,998,924,866,801
12375,12351,12306,12226,12105,11944,11751,11515,11251,10954,10618,10280,9914,9515,9104,8679,8259,7825,7372,6920,6451,5976,5519,5104,4710,4312,3895,3522,3170,2834,2534,2236,1982,1758,1561,1364,1178,1011,870,749,623,537,459,394,340,285,237,199,167,137,106,85,62,46,35,23
12375,12349,12309,12241,12135,11995,11807,11590,11376,11119,10885,10606,10318,10018,9697,9392,9053,8682,8323,7942,7539,7146,6720,6301,5883,5466,5057,4652,4276,3930,3618,3303,2994,2705,2433,2149,1869,1629,1424,1223,1026,848,700,569,447,350,269,197,157,123,96,71,48,39,25,17
12375,12355,12308,12243,12137,12014,11852,11653,11419,11197,10917,10634,10326,10010,9658,9323,8972,8621,8246,7894,7532,7154,6792,6423,6063,5677,5272,4892,4496,4105,3725,3374,3008,2695,2422,2179,1928,1704,1486,1274,1080,890,733,588,465,360,260,185,122,78,47,24,11,6,1,1
12375,12345,12290,12193,12059,11898,11673,11430,11152,10823,10482,10120,9735,9292,8807,8321,7847,7362,6891,6402,5928,5473,5001,4563,4144,3751,3365,3048,2725,2445,2189,1964,1760,1554,1356,1161,989,832,699,576,474,382,312,246,170,114,64,29,12,4,4,1,0,0,0,0
12375,12349,12298,12217,12104,11960,11776,11567,11311,11007,10685,10287,9868,9424,8987,8503,8052,7568,7110,6615,6126,5662,5248,4854,4476,4107,3746,3451,3129,2814,2549,2261,2015,1774,1532,1311,1112,921,759,608,473,367,266,164,90,53,29,11,3,0,0,0,0,0,0,0
12375,12350,12301,12221,12098,11935,11725,11492,11235,10927,10585,10242,9840,9435,9018,8585,8115,7668,7199,6698,6174,5673,5163,4680,4231,3789,3381,3023,2714,2455,2253,2102,1941,1811,1674,1572,1485,1382,1298,1198,1134,1056,976,905,823,769,709,647,585,524,473,419,368,316,276,235
12375,12355,12311,12239,12125,11965,11781,11575,11319,11042,10737,10386,10026,9622,9199,8737,8245,7805,7328,6872,6436,6011,5601,5192,4784,4388,4008,3634,3263,2902,2575,2282,2019,1794,1566,1358,1157,994,871,759,658,570,501,439,384,324,280,223,169,127,94,64,48,26,11,2
12375,12356,12309,12238,12112,11949,11755,11518,11244,10961,10632,10291,9918,9504,9101,8635,8165,7705,7251,6789,6308,5846,5395,4963,4531,4134,3764,3409,3061,2711,2375,2092,1816,1600,1395,1208,1056,912,785,674,562,469,378,297,244,191,153,125,102,84,60,45,30,20,13,5
12375,12356,12310,12233,12131,11982,11818,11608,11376,11121,10842,10548,10238,9892,9525,9142,8776,8380,7997,7599,7171,6752,6329,5889,5474,5067,4711,4374,4070,3780,3474,3187,2943,2695,2474,2250,2013,1801,1613,1424,1239,1074,923,776,656,537,457,357,287,228,177,137,105,82,61,46
12375,12348,12298,12214,12075,11900,11705,11469,11194,10900,10565,10251,9901,9561,9213,8836,8462,8058,7650,7200,6754,6294,5868,5401,4940,4509,4072,3682,3279,2929,2578,2260,1968,1663,1362,1094,833,598,382,225,123,66,32,17,6,2,1,1,1,1,1,1,1,1,1,1
12375,12355,12304,12207,12095,11947,11738,11474,11198,10905,10547,10163,9770,9356,8927,8483,8063,7632,7234,6874,6500,6156,5840,5517,5214,4881,4599,4324,4051,3763,3519,3245,2982,2721,2467,2218,2006,1824,1618,1437,1262,1100,949,854,742,646,546,461,381,300,255,197,147,110,78,50
12375,12358,12316,12233,12121,11974,11774,11538,11256,10930,10592,10208,9802,9364,8944,8500,8000,7548,7068,6582,6119,5671,5260,4864,4501,4174,3871,3603,3333,3089,2869,2663,2469,2288,2115,1955,1807,1662,1529,1379,1258,1142,1031,929,819,731,654,567,491,417,369,321,280,238,201,170
12375,12348,12302,12223,12103,11961,11785,11574,11332,11064,10801,10526,10257,9982,9701,9445,9145,8865,8559,8273,7985,7676,7384,7056,6758,6488,6210,5916,5651,5383,5128,4866,4589,4340,4089,3864,3668,3463,3297,3143,2978,2839,2692,2555,2429,2317,2205,2088,1977,1869,1769,1660,1555,1441,1331,1228
12375,12348,12294,12207,12088,11906,11700,11447,11149,10830,10458,10048,9619,9177,8719,8244,7752,7261,6783,6321,5891,5459,5013,4594,4188,3798,3451,3119,2823,2559,2301,2048,1802,1559,1351,1134,947,774,620,489,409,342,291,241,197,165,142,114,88,69,49,36,21,9,6,4
12375,12349,12289,12199,12083,11931,11756,11543,11282,11002,10665,10300,9928,9588,9232,8869,8527,8168,7807,7420,7040,6652,6223,5829,5442,5073,4732,4424,4136,3888,3647,3415,3189,2963,2764,2533,2321,2126,1920,1710,1526,1335,1147,963,807,661,539,438,353,288,221,179,141,99,67,45
12375,12358,12315,12244,12134,11979,11795,11577,11330,11061,10786,10449,10131,9780,9412,9038,8649,8257,7881,7497,7109,6741,6394,6019,5646,5277,4909,4558,4222,3882,3571,3270,2993,2719,2460,2223,1998,1800,1624,1442,1281,1118,964,816,697,573,474,370,291,207,139,75,46,21,11,8
12375,12351,12303,12225,12102,11943,11757,11500,11231,10933,10593,10225,9856,9434,9004,8569,8134,7704,7252,6782,6312,5865,5394,4909,4396,3918,3462,3069,2712,2409,2115,1873,1647,1416,1235,1066,919,775,669,583,495,422,361,307,259,215,179,150,122,97,78,61,42,31,24,16
12375,12355,12309,12243,12136,11978,11775,11556,11294,11002,10679,10269,9864,9462,9013,8562,8112,7632,7140,6671,6200,5746,5289,4837,4382,3962,3590,3236,2928,2602,2287,1990,1720,1512,1301,1107,938,805,705,605,520,446,379,322,279,232,195,163,137,115,91,67,49,31,20,8
12375,12354,12317,12240,12144,12029,11859,11683,11459,11223,10953,10657,10362,10038,9700,9332,8952,8549,8154,7779,7367,7018,6638,6246,5871,5488,5099,4745,4397,4027,3701,3384,3083,2793,2500,2250,2037,1849,1679,1512,1349,1202,1082,969,860,771,686,611,533,480,416,356,291,237,186,138
12375,12353,12305,12219,12094,11924,11720,11461,11166,10845,10481,10125,9743,9326,8931,8534,8138,7756,7359,6969,6594,6232,5854,5457,5090,4699,4302,3917,3518,3104,2699,2310,1940,1609,1354,1106,892,702,558,442,342,245,173,106,64,41,23,6,1,1,1,1,1,1,1,1
12375,12352,12300,12206,12070,11904,11693,11437,11163,10861,10557,10226,9838,9433,9014,8592,8209,7775,7360,6970,6556,6170,5800,5428,5080,4720,4366,4016,3688,3383,3089,2808,2549,2286,2070,1868,1684,1524,1378,1255,1139,1030,922,821,734,637,571,513,461,408,355,300,255,222,188,159
12375,12351,12308,12230,12109,11967,11799,11597,11334,11052,10753,10416,10072,9715,9344,8932,8496,8074,7594,7109,6613,6141,5719,5279,4891,4471,4078,3719,3376,3035,2720,2422,2145,1882,1649,1432,1250,1079,921,774,646,530,434,353,270,208,151,101,67,31,14,0,0,0,0,0
12375,12352,12307,12220,12084,11912,11713,11455,11142,10819,10450,10048,9631,9194,8762,8286,7839,7413,6967,6550,6156,5782,5450,5156,4927,4707,4540,4379,4212,4041,3875,3715,3551,3395,3240,3073,2918,2758,2594,2442,2303,2175,2061,1933,1819,1687,1566,1454,1347,1232,1127,1039,940,860,763,684
