0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
19297,19288,19258,19211,19148,19063,18960,18855,18712,18561,18408,18227,18028,17797,17567,17303,17050,16774,16478,16181,15881,15551,15208,14840,14475,14140,13760,13391,12965,12561,12137,11690,11246,10765,10315,9910,9480,9042,8634,8199,7771,7335,6940,6549,6229,5918,5583,5267,4959,4661,4385,4128,3902,3656,3442,3206,3001,2797,2596,2420,2237,2078,1932,1802,1668,1535,1425,1306,1188,1089,992
19297,19279,19245,19197,19125,19040,18926,18797,18625,18421,18188,17900,17587,17269,16918,16567,16202,15851,15464,15067,14704,14312,13911,13531,13129,12743,12325,11908,11485,11078,10670,10240,9798,9317,8858,8396,7923,7422,6927,6454,5973,5548,5144,4767,4437,4147,3850,3576,3312,3074,2878,2678,2504,2334,2158,1993,1818,1659,1532,1394,1265,1141,1033,912,800,697,613,537,472,416,369
19297,19277,19241,19176,19095,18978,18835,18652,18465,18219,17960,17647,17321,16943,16594,16233,15856,15455,15032,14607,14178,13740,13289,12821,12346,11859,11353,10841,10306,9747,9204,8656,8100,7558,7051,6552,6088,5632,5154,4725,4323,3932,3567,3204,2877,2507,2204,1923,1687,1483,1292,1120,944,794,645,526,430,360,316,285,277,271,269,265,263,263,263,263,263,263,263
19297,19276,19236,19171,19077,18967,18812,18621,18410,18167,17882,17568,17241,16867,16513,16096,15699,15256,14813,14396,13945,13514,13058,12600,12114,11624,11093,10568,10040,9504,9002,8507,8048,7584,7141,6689,6271,5845,5427,5075,4761,4507,4283,4097,3929,3774,3624,3474,3329,3200,3082,2966,2845,2738,2627,2522,2412,2310,2200,2094,1992,1890,1805,1704,1614,1523,1431,1335,1231,1151,1068
19297,19278,19239,19169,19080,18961,18813,18626,18406,18154,17870,17559,17217,16832,16437,16012,15566,15104,14658,14178,13698,13232,12758,12297,11833,11345,10900,10411,9963,9510,9058,8594,8112,7657,7173,6724,6292,5867,5436,5008,4608,4227,3846,3502,3173,2873,2588,2323,2080,1849,1633,1456,1300,1173,1073,1000,916,852,797,741,688,640,598,561,520,467,428,400,380,356,332
19297,19275,19238,19174,19081,18944,18801,18615,18383,18129,17837,17524,17145,16773,16344,15871,15370,14850,14334,13814,13311,12797,12302,11832,11324,10800,10304,9791,9283,8797,8339,7909,7474,7044,6625,6171,5707,5271,4884,4491,4126,3807,3507,3238,2974,2705,2472,2263,2078,1912,1752,1599,1458,1330,1224,1131,1020,934,859,787,731,670,614,574,537,501,457,421,387,364,341
19297,19278,19237,19180,19099,19000,18868,18686,18482,18241,18001,17702,17394,17043,16670,16279,15909,15511,15086,14645,14134,13634,13117,12631,12111,11598,11100,10648,10164,9683,9227,8770,8339,7918,7445,6982,6528,6103,5702,5317,4968,4637,4331,4041,3715,3442,3196,2944,2746,2541,2336,2149,1959,1785,1621,1489,1350,1226,1103,976,862,760,672,588,515,467,420,383,351,318,293
19297,19277,19237,19164,19058,18929,18760,18558,18326,18057,17753,17417,17057,16631,16212,15746,15282,14770,14255,13739,13201,12657,12105,11560,11015,10510,10015,9557,9122,8742,8371,7994,7592,7222,6843,6481,6181,5900,5632,5345,5093,4845,4589,4326,4068,3830,3584,3368,3139,2917,2722,2535,2372,2186,2030,1860,1713,1565,1427,1282,1142,1023,923,823,731,645,573,518,468,429,385
19297,19276,19240,19187,19108,19001,18869,18705,18522,18319,18095,17815,17509,17163,16800,16432,16004,15526,15041,14553,14063,13575,13097,12632,12188,11707,11238,10746,10263,9783,9343,8870,8396,7925,7455,6980,6517,6046,5612,5208,4784,4401,4043,3701,3349,2998,2668,2364,2098,1858,1633,1446,1273,1130,995,880,770,685,613,558,508,462,430,400,381,358,342,325,310,298,285
19297,19282,19240,19173,19089,18976,18845,18674,18467,18220,17957,17676,17355,17008,16641,16233,15846,15419,14995,14578,14141,13693,13197,12709,12194,11705,11200,10701,10211,9733,9305,8862,8431,8025,7639,7253,6851,6480,6076,5725,5383,5043,4711,4386,4079,3772,3502,3257,3025,2798,2574,2381,2200,2016,1847,1706,1584,1473,1371,1258,1158,1059,975,893,816,755,700,646,607,563,525
19297,19276,19238,19186,19105,18987,18841,18664,18456,18202,17916,17615,17273,16929,16569,16179,15763,15332,14877,14400,13889,13357,12820,12230,11644,11067,10438,9836,9224,8634,8028,7480,6914,6365,5852,5375,4910,4500,4100,3766,3470,3224,2956,2738,2533,2357,2203,2063,1930,1802,1681,1550,1440,1331,1242,1140,1053,974,886,807,741,656,581,515,472,438,407,377,353,329,315
