0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
8293,8238,8106,7900,7625,7287,6889,6470,6030,5593,5172,4742,4308,3863,3409,2961,2538,2179,1842,1532,1244,1019,810,658,519,394,280,211,151,105,69,46,29,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8293,8243,8111,7930,7692,7425,7102,6737,6331,5878,5371,4842,4306,3759,3254,2763,2306,1901,1547,1227,968,746,573,435,312,211,141,85,51,23,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8293,8238,8102,7920,7683,7400,7069,6682,6296,5939,5599,5252,4897,4561,4228,3900,3604,3324,3056,2792,2534,2280,2075,1889,1713,1544,1404,1268,1142,1056,978,898,830,760,690,624,562,505,449,394,346,295,251,211,172,135,100,74,50,33,18,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8293,8242,8099,7885,7618,7295,6921,6499,6055,5616,5215,4806,4440,4073,3734,3413,3115,2815,2535,2263,1998,1787,1606,1455,1323,1199,1087,974,886,810,741,676,616,554,501,448,400,351,305,263,226,189,155,121,93,65,41,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8293,8243,8125,7949,7717,7422,7071,6665,6214,5739,5278,4791,4325,3900,3502,3137,2816,2512,2225,1939,1671,1427,1224,1067,928,801,670,549,436,332,246,178,114,66,32,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8293,8245,8110,7897,7638,7325,6984,6615,6248,5880,5503,5130,4752,4351,3960,3565,3182,2827,2506,2206,1925,1657,1396,1156,980,824,686,572,484,415,355,298,251,212,169,131,98,75,51,30,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8293,8240,8102,7896,7632,7310,6930,6508,6025,5531,5050,4570,4133,3710,3298,2895,2515,2180,1891,1629,1392,1185,985,800,623,458,329,227,142,79,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8293,8237,8118,7936,7689,7412,7100,6777,6440,6087,5740,5392,5065,4736,4443,4189,3956,3729,3511,3300,3112,2949,2789,2643,2496,2360,2237,2119,2006,1901,1798,1696,1600,1503,1409,1311,1219,1123,1036,945,856,773,689,609,531,455,377,308,248,198,151,110,77,48,23,7,0,0,0,0,0,0,0,0,0,0,0
8293,8234,8107,7898,7651,7344,6985,6593,6182,5730,5262,4770,4279,3783,3286,2804,2380,1996,1674,1415,1170,976,823,674,546,436,354,290,232,183,139,98,66,39,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8293,8241,8114,7911,7665,7378,7053,6682,6281,5856,5424,4984,4531,4087,3654,3207,2760,2320,1944,1629,1343,1112,918,759,636,520,420,315,237,168,116,69,26,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
