0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
5788,5733,5602,5395,5137,4817,4477,4131,3795,3483,3190,2917,2656,2400,2188,1996,1833,1686,1543,1413,1299,1186,1083,979,882,789,701,615,525,444,365,298,241,191,153,116,85,58,34,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5729,5592,5376,5096,4765,4405,4033,3640,3240,2823,2422,2099,1826,1585,1362,1173,1010,897,792,684,575,476,375,279,196,126,77,46,24,10,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5726,5581,5355,5082,4754,4386,4039,3688,3329,2978,2644,2371,2127,1920,1734,1577,1437,1299,1172,1046,918,792,676,565,481,400,327,254,198,151,111,80,54,33,18,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5727,5591,5372,5104,4803,4457,4106,3753,3407,3048,2677,2331,1999,1705,1444,1201,989,801,621,488,395,314,246,184,138,101,68,46,29,17,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5721,5576,5348,5059,4717,4365,3999,3617,3226,2822,2392,2004,1679,1430,1234,1062,906,771,649,535,447,383,324,273,228,190,152,119,88,62,41,22,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5731,5602,5387,5120,4829,4528,4204,3858,3494,3112,2719,2314,1933,1590,1279,981,748,536,362,249,157,91,52,26,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5729,5598,5391,5137,4829,4478,4087,3679,3236,2778,2317,1858,1461,1123,856,645,473,332,222,143,82,41,19,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5731,5595,5385,5119,4807,4471,4139,3798,3466,3178,2909,2655,2410,2223,2061,1904,1755,1614,1480,1351,1224,1108,992,885,780,683,589,500,421,345,282,222,172,133,101,74,51,33,19,9,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5788,5733,5611,5422,5171,4862,4499,4095,3701,3337,2991,2651,2320,2013,1746,1501,1320,1155,996,842,697,564,450,350,256,181,121,75,40,17,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5720,5574,5363,5098,4784,4428,4048,3694,3332,2972,2650,2332,2017,1724,1448,1198,988,802,656,528,419,322,238,166,106,55,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5729,5592,5388,5140,4872,4563,4225,3883,3517,3143,2770,2412,2070,1740,1444,1182,942,751,587,439,341,281,231,190,155,120,93,70,49,31,16,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5729,5592,5391,5126,4796,4422,3984,3538,3077,2598,2151,1740,1411,1153,938,749,578,435,335,255,197,151,113,83,57,36,21,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5729,5590,5387,5128,4816,4453,4080,3682,3272,2887,2526,2167,1839,1524,1229,963,746,555,435,353,302,259,218,182,151,123,98,75,55,38,24,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5726,5590,5394,5148,4843,4485,4092,3662,3205,2747,2313,1882,1528,1223,968,740,541,357,218,150,106,67,37,19,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5730,5586,5372,5086,4750,4366,3948,3501,3019,2544,2129,1751,1429,1142,909,712,550,407,288,190,126,78,43,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5734,5600,5404,5162,4880,4567,4227,3885,3539,3202,2878,2586,2295,2028,1790,1554,1334,1128,953,792,666,561,469,386,314,252,193,145,110,79,53,33,18,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5733,5613,5428,5190,4912,4589,4258,3932,3605,3289,2981,2685,2424,2171,1931,1708,1505,1316,1144,995,853,716,585,458,337,222,122,69,42,22,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5728,5585,5381,5114,4816,4485,4143,3791,3423,3038,2666,2281,1891,1514,1203,969,778,612,482,378,292,231,174,126,82,48,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5727,5590,5374,5093,4760,4396,4003,3602,3196,2804,2431,2094,1760,1427,1113,829,569,379,273,215,173,138,109,85,60,40,24,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5725,5580,5354,5064,4708,4297,3872,3448,3019,2571,2173,1823,1534,1293,1091,893,718,560,422,314,221,155,107,68,38,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5732,5601,5411,5176,4906,4605,4276,3951,3631,3298,2953,2596,2246,1907,1616,1367,1152,979,843,730,628,542,464,388,317,256,201,156,113,79,56,36,22,10,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5788,5732,5600,5402,5147,4852,4530,4181,3815,3416,3003,2588,2162,1759,1399,1090,825,588,367,201,100,50,22,8,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5728,5583,5371,5110,4787,4431,4042,3661,3257,2855,2479,2112,1770,1533,1326,1154,993,845,707,588,491,417,343,283,227,183,138,101,69,39,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5737,5598,5399,5127,4775,4391,3984,3555,3107,2656,2204,1792,1406,1045,809,671,556,468,387,312,249,184,125,84,51,31,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5729,5579,5362,5095,4770,4423,4047,3630,3215,2778,2346,1950,1575,1220,928,713,547,426,329,239,160,105,68,46,30,16,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5726,5588,5388,5138,4844,4512,4149,3770,3351,2935,2574,2228,1934,1684,1520,1383,1256,1136,1020,916,822,735,664,594,534,476,421,369,323,281,239,198,163,131,102,74,50,27,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5730,5590,5385,5121,4802,4433,4009,3600,3186,2753,2305,1854,1473,1167,904,695,522,396,293,209,135,79,27,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5731,5613,5435,5226,4985,4743,4466,4177,3886,3580,3287,2994,2734,2493,2258,2023,1789,1565,1357,1149,961,799,642,508,378,253,199,155,117,86,58,35,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5724,5580,5355,5071,4726,4334,3908,3489,3091,2718,2337,1975,1626,1298,1056,851,680,529,400,290,204,139,98,65,41,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5726,5595,5401,5160,4881,4562,4223,3847,3455,3030,2616,2258,1917,1607,1332,1064,797,645,512,411,336,278,230,190,154,123,95,72,51,35,21,12,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5725,5586,5377,5125,4859,4568,4252,3913,3540,3171,2836,2499,2159,1824,1489,1196,948,739,566,418,304,208,130,79,50,28,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5723,5584,5369,5097,4781,4434,4044,3639,3204,2822,2477,2172,1883,1605,1351,1134,957,813,682,567,461,364,279,208,147,101,67,41,24,11,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5727,5586,5382,5110,4782,4402,3993,3561,3125,2669,2231,1818,1492,1209,948,716,508,344,227,154,100,64,39,20,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5731,5597,5393,5146,4873,4579,4272,3963,3633,3316,3008,2717,2436,2156,1878,1603,1329,1100,918,752,619,494,391,309,236,181,136,95,64,40,24,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5729,5593,5387,5135,4863,4555,4220,3886,3537,3210,2885,2584,2300,2015,1755,1510,1296,1115,941,780,636,501,378,285,218,172,131,96,67,44,26,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5736,5618,5424,5172,4870,4519,4168,3797,3424,3075,2772,2492,2237,2008,1791,1602,1421,1269,1143,1027,925,834,753,678,606,537,471,409,350,291,237,187,141,105,75,50,31,16,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5729,5609,5421,5172,4876,4541,4184,3842,3520,3202,2926,2671,2437,2222,2012,1823,1642,1478,1311,1155,1004,876,761,666,594,535,482,429,379,334,291,252,215,179,148,119,94,71,52,35,21,10,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5722,5583,5376,5118,4806,4469,4131,3791,3447,3122,2812,2510,2223,1932,1645,1400,1169,951,737,543,364,256,173,121,81,49,29,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5724,5583,5358,5067,4710,4300,3848,3362,2904,2522,2188,1890,1620,1376,1145,932,739,567,427,312,217,139,80,41,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,5729,5599,5412,5229,5039,4846,4633,4405,4158,3903,3619,3330,3036,2723,2462,2209,1954,1698,1423,1150,881,653,464,359,266,191,129,77,39,15,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5788,5732,5602,5410,5175,4943,4730,4511,4298,4082,3867,3641,3410,3178,2938,2696,2465,2249,2029,1815,1610,1443,1284,1134,988,852,724,596,469,362,279,215,175,143,114,88,67,46,30,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
