0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
18984,18957,18881,18758,18559,18310,17989,17616,17206,16747,16278,15803,15315,14822,14297,13807,13313,12851,12420,11999,11561,11143,10749,10357,9930,9516,9107,8722,8336,7969,7598,7232,6899,6571,6255,5924,5620,5327,5041,4772,4523,4291,4030,3777,3534,3288,3070,2847,2632,2413,2208,1999,1807,1619,1442,1295,1164,1030,908,805,694,601,527,460,398,352,300
18984,18956,18881,18750,18593,18383,18103,17771,17381,16942,16458,15898,15303,14660,13980,13291,12589,11875,11131,10392,9656,8907,8213,7523,6897,6334,5736,5175,4681,4240,3835,3473,3137,2800,2469,2128,1809,1499,1237,1010,793,628,481,347,243,161,103,56,28,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18984,18953,18874,18739,18543,18308,18018,17690,17304,16861,16389,15858,15300,14695,14055,13359,12634,11886,11142,10365,9616,8853,8074,7301,6607,5898,5248,4620,4072,3626,3191,2820,2475,2141,1874,1642,1466,1319,1197,1086,986,890,803,732,653,579,509,451,379,322,263,208,155,104,67,40,19,5,1,0,0,0,0,0,0,0,0
18984,18942,18852,18708,18514,18256,17969,17655,17311,16939,16528,16100,15630,15164,14666,14159,13657,13112,12593,12015,11471,10906,10298,9712,9091,8477,7875,7270,6645,6051,5456,4926,4422,3992,3586,3233,2927,2620,2350,2070,1833,1615,1415,1238,1062,902,750,623,501,390,291,194,127,79,42,15,5,0,0,0,0,0,0,0,0,0,0
18984,18950,18867,18736,18552,18307,18004,17650,17236,16776,16301,15831,15359,14889,14430,13935,13471,12970,12508,12047,11635,11204,10795,10377,9948,9515,9085,8672,8228,7828,7398,6980,6607,6238,5869,5524,5179,4856,4550,4261,4006,3751,3508,3272,3030,2800,2573,2355,2141,1917,1694,1481,1265,1057,856,676,533,416,321,248,194,150,113,88,71,48,26
18984,18947,18863,18726,18530,18282,17992,17649,17275,16817,16303,15735,15162,14532,13857,13190,12490,11746,11051,10372,9730,9090,8478,7914,7381,6843,6361,5942,5554,5191,4836,4519,4232,3971,3716,3478,3268,3045,2838,2645,2471,2301,2146,2000,1888,1770,1669,1555,1434,1339,1237,1134,1022,926,837,749,663,568,488,405,328,267,208,161,116,74,36
18984,18950,18869,18743,18590,18370,18123,17808,17452,17078,16623,16119,15587,15005,14398,13780,13163,12493,11824,11178,10535,9907,9295,8695,8144,7629,7133,6632,6119,5643,5193,4775,4351,3943,3585,3201,2863,2578,2308,2067,1862,1646,1437,1254,1075,916,803,715,635,555,475,408,342,276,220,174,131,98,71,50,31,17,9,3,0,0,0
18984,18954,18886,18767,18599,18386,18094,17770,17391,16953,16483,15997,15454,14931,14355,13773,13185,12589,12005,11480,10950,10411,9898,9403,8962,8540,8116,7711,7305,6912,6546,6202,5885,5581,5279,4981,4716,4468,4208,3980,3750,3538,3314,3125,2957,2801,2655,2508,2380,2264,2144,2029,1911,1801,1701,1590,1474,1372,1279,1186,1082,980,875,780,681,592,509
18984,18958,18894,18773,18598,18370,18086,17756,17375,16951,16463,15976,15484,14968,14440,13895,13355,12782,12188,11597,10975,10359,9739,9080,8449,7862,7307,6760,6219,5693,5184,4675,4184,3720,3266,2811,2379,1960,1584,1231,926,665,432,245,131,66,28,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18984,18951,18870,18720,18521,18287,18000,17695,17368,17024,16653,16259,15833,15374,14919,14442,13950,13421,12874,12361,11842,11356,10837,10348,9840,9357,8878,8408,7963,7493,7063,6615,6219,5863,5518,5213,4939,4665,4403,4164,3947,3744,3549,3366,3218,3044,2887,2745,2606,2472,2338,2218,2094,1968,1845,1728,1606,1505,1388,1290,1177,1068,972,862,777,694,613
