0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
19275,19261,19225,19176,19104,19001,18877,18726,18530,18326,18105,17873,17625,17360,17115,16863,16607,16351,16084,15802,15490,15146,14830,14503,14208,13898,13596,13295,13021,12739,12435,12175,11893,11603,11334,11029,10712,10423,10106,9808,9499,9175,8858,8538,8217,7924,7636,7337,7044,6744,6454,6181,5910,5645,5387,5112,4827,4558,4287,4012,3733,3473,3192,2936,2707,2490,2306,2146,1969,1797,1625,1468,1323,1176,1035,903,772,649,539,465,412,361,316,275,240,200,174,152,135,121,107,96,86,79,75,71,70,70
19275,19257,19223,19172,19089,18984,18861,18709,18529,18330,18117,17870,17632,17355,17033,16718,16388,16059,15689,15310,14937,14528,14094,13664,13241,12834,12405,12005,11549,11132,10742,10323,9918,9544,9172,8807,8478,8101,7729,7396,7047,6693,6356,6054,5709,5406,5095,4791,4522,4258,4011,3771,3534,3310,3085,2869,2648,2414,2199,1983,1792,1611,1430,1261,1125,982,839,710,580,482,383,298,230,157,119,91,72,63,56,51,49,47,47,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
19275,19260,19221,19160,19080,18973,18858,18714,18540,18354,18117,17885,17604,17303,16995,16628,16273,15864,15432,15004,14549,14089,13594,13160,12677,12210,11764,11313,10880,10423,9979,9549,9105,8647,8210,7800,7405,7066,6711,6397,6082,5787,5516,5242,4981,4701,4442,4194,3963,3744,3521,3308,3097,2910,2729,2563,2420,2286,2152,2024,1896,1786,1660,1552,1447,1355,1258,1164,1081,991,913,825,752,677,605,545,479,422,370,314,267,226,198,169,147,126,114,103,92,85,76,69,67,66,65,65,65,65
19275,19259,19219,19148,19044,18921,18759,18589,18398,18167,17907,17618,17312,16950,16573,16153,15743,15323,14836,14357,13871,13362,12875,12363,11854,11321,10831,10351,9868,9384,8905,8457,7982,7563,7147,6766,6378,5984,5629,5267,4938,4621,4288,3966,3668,3388,3143,2911,2701,2499,2304,2117,1952,1807,1666,1554,1429,1324,1233,1137,1068,995,923,850,787,737,685,627,583,536,485,447,404,360,325,288,257,227,189,160,137,115,103,87,74,64,61,58,57,57,56,56,56,55,55,55,55,55
19275,19260,19228,19174,19095,18996,18870,18713,18526,18302,18069,17809,17505,17199,16896,16564,16226,15866,15493,15157,14798,14450,14083,13709,13368,13016,12660,12319,11944,11605,11261,10924,10601,10255,9890,9527,9176,8805,8465,8148,7832,7512,7217,6949,6666,6407,6158,5902,5628,5401,5168,4935,4713,4496,4299,4109,3888,3698,3502,3315,3127,2944,2760,2587,2413,2261,2095,1944,1779,1642,1499,1372,1246,1130,1017,906,787,667,559,450,365,281,218,183,154,135,122,109,99,91,86,80,77,75,74,73,73,73
19275,19257,19220,19166,19101,18992,18852,18709,18537,18326,18084,17832,17564,17283,16981,16702,16370,16022,15667,15296,14904,14497,14127,13719,13342,12983,12593,12236,11881,11561,11257,10947,10635,10318,10054,9769,9509,9230,8964,8710,8443,8199,7954,7709,7450,7207,6937,6682,6439,6211,5990,5754,5563,5396,5239,5084,4926,4778,4630,4469,4312,4181,4033,3887,3742,3610,3466,3346,3220,3085,2968,2839,2725,2600,2466,2339,2232,2131,2036,1948,1860,1768,1679,1588,1507,1425,1350,1278,1204,1135,1067,1003,939,886,841,792,734,673
19275,19254,19219,19158,19079,18973,18826,18632,18415,18179,17893,17607,17271,16918,16524,16107,15666,15207,14702,14208,13732,13209,12727,12187,11641,11122,10597,10077,9587,9101,8659,8154,7691,7228,6782,6338,5933,5551,5219,4915,4645,4377,4123,3884,3659,3456,3287,3112,2962,2813,2658,2535,2423,2304,2193,2095,2002,1917,1831,1732,1649,1569,1484,1411,1340,1266,1204,1135,1062,994,915,849,784,714,651,594,535,470,427,389,354,313,283,250,220,196,172,152,128,104,92,82,71,67,61,56,54,54
19275,19258,19225,19171,19101,19007,18876,18714,18534,18326,18103,17825,17543,17247,16908,16576,16236,15869,15480,15077,14650,14256,13820,13385,12948,12498,12024,11552,11137,10706,10291,9873,9453,9072,8674,8267,7876,7530,7181,6822,6494,6187,5874,5581,5288,4998,4703,4412,4132,3896,3660,3411,3181,2968,2764,2571,2382,2215,2037,1882,1722,1574,1454,1340,1240,1169,1090,1009,943,889,827,771,722,670,620,570,519,469,421,377,329,287,252,215,192,161,140,117,103,88,80,72,68,63,61,58,56,56
19275,19264,19233,19179,19097,18998,18867,18715,18537,18344,18137,17907,17657,17399,17131,16844,16537,16232,15893,15549,15215,14871,14503,14125,13749,13364,12942,12557,12147,11753,11325,10918,10496,10062,9633,9206,8798,8389,7994,7602,7226,6865,6508,6193,5864,5531,5181,4854,4533,4245,3994,3772,3534,3330,3145,2959,2784,2646,2497,2349,2211,2090,1967,1829,1713,1605,1487,1373,1275,1173,1070,960,879,792,712,634,572,515,461,431,383,342,307,268,245,219,199,182,159,144,129,113,101,88,78,71,65,59
19275,19252,19211,19141,19066,18953,18818,18653,18473,18267,18040,17798,17521,17181,16805,16454,16052,15640,15213,14767,14290,13778,13277,12796,12305,11804,11326,10823,10391,9918,9448,8965,8495,8041,7581,7154,6720,6322,5953,5575,5241,4947,4683,4430,4164,3937,3753,3576,3418,3234,3063,2930,2793,2661,2524,2386,2260,2113,1972,1839,1729,1622,1516,1403,1295,1193,1092,1005,920,838,766,695,631,573,512,457,406,364,328,289,252,230,204,181,160,143,122,109,94,80,68,64,60,59,59,59,59,59
