0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
5,18,61,124,220,344,467,590,689,764,808,842,871,904,932,964,1000,1026,1065,1103,1128,1162,1208,1252,1289,1307,1360,1412,1455,1496,1549,1604,1656,1690,1736,1760,1809,1850,1898,1946,1984,2054,2098,2152,2175,2227,2259,2292,2311,2347,2366,2367,2343,2312,2264,2172,2080,1970,1856,1728,1567,1401,1184,953,736,515,330,177,96,46,20,4,0,0,,,,,,,,,,,,,,,,,
5,23,68,142,229,340,475,606,716,819,906,987,1015,1051,1086,1100,1132,1152,1206,1247,1279,1334,1370,1414,1447,1481,1535,1583,1623,1655,1706,1761,1802,1827,1886,1948,2005,2039,2099,2131,2173,2210,2234,2268,2279,2329,2347,2350,2350,2327,2310,2275,2214,2159,2081,1979,1830,1629,1420,1182,963,764,584,441,321,228,138,79,37,15,4,0,0,,,,,,,,,,,,,,,,,,
5,24,79,161,264,392,538,666,752,829,896,916,925,945,985,1006,1023,1072,1110,1145,1173,1208,1244,1287,1334,1377,1418,1470,1516,1550,1581,1623,1671,1709,1755,1816,1876,1929,1977,2040,2080,2114,2140,2173,2215,2229,2283,2320,2326,2336,2312,2305,2243,2175,2142,2056,1955,1803,1662,1516,1332,1140,961,789,610,438,304,211,127,76,49,29,12,0,0,,,,,,,,,,,,,,,,
5,28,83,170,286,408,527,651,756,806,834,850,870,869,869,897,932,972,1020,1064,1111,1178,1226,1292,1335,1380,1426,1454,1484,1526,1574,1610,1665,1706,1747,1770,1827,1890,1912,1962,2003,2059,2078,2099,2151,2200,2241,2286,2295,2324,2334,2311,2332,2283,2265,2208,2097,1988,1815,1636,1420,1193,987,781,607,467,368,285,225,169,118,76,41,24,9,3,0,0,,,,,,,,,,,,,
5,27,84,181,305,444,607,774,892,962,1003,1014,1004,986,976,988,1009,1056,1096,1130,1174,1221,1263,1295,1355,1396,1434,1482,1533,1587,1623,1665,1717,1751,1788,1818,1856,1909,1960,2017,2054,2110,2156,2199,2239,2259,2304,2346,2381,2395,2411,2415,2396,2313,2211,2078,1906,1722,1529,1371,1175,982,795,612,440,271,156,84,37,15,1,0,0,,,,,,,,,,,,,,,,,,
5,24,67,147,248,357,482,613,731,818,885,967,1007,1054,1083,1112,1141,1152,1191,1209,1238,1280,1314,1368,1432,1476,1505,1549,1603,1629,1650,1691,1744,1769,1799,1866,1901,1949,1996,2041,2116,2144,2193,2218,2241,2257,2253,2251,2265,2299,2316,2331,2284,2261,2195,2093,1951,1774,1608,1400,1163,921,717,532,370,230,141,78,36,15,4,0,0,,,,,,,,,,,,,,,,,,
5,24,79,165,274,402,538,668,750,814,856,883,910,936,973,1002,1028,1059,1098,1135,1188,1235,1289,1337,1368,1401,1425,1484,1534,1591,1637,1689,1724,1748,1791,1807,1850,1894,1967,2015,2045,2105,2151,2180,2179,2208,2228,2225,2230,2239,2255,2232,2213,2214,2169,2087,2000,1890,1744,1572,1375,1179,954,748,576,407,287,189,131,84,47,23,7,4,0,0,,,,,,,,,,,,,,,
5,22,62,131,226,344,456,559,651,715,755,781,810,838,865,898,928,960,994,1042,1069,1107,1161,1201,1254,1288,1344,1387,1418,1470,1487,1531,1582,1621,1658,1705,1762,1817,1864,1905,1962,1989,2039,2077,2103,2147,2185,2243,2269,2291,2339,2360,2376,2358,2311,2228,2094,1983,1818,1644,1509,1361,1203,1031,902,782,633,507,409,318,226,144,96,64,40,22,10,4,0,0,,,,,,,,,,,
5,24,70,158,268,405,543,659,769,839,874,900,915,956,973,995,1040,1070,1119,1160,1187,1215,1254,1300,1335,1364,1433,1512,1566,1614,1659,1694,1727,1741,1768,1801,1859,1902,1933,1974,2037,2079,2090,2148,2199,2257,2286,2322,2381,2416,2444,2451,2439,2378,2269,2134,1969,1760,1546,1372,1200,1032,847,679,523,373,246,136,74,44,24,11,4,0,0,,,,,,,,,,,,,,,,
5,23,79,163,268,389,531,672,791,865,924,966,971,974,984,998,1024,1050,1115,1160,1171,1207,1250,1275,1312,1354,1399,1461,1495,1564,1586,1627,1688,1719,1757,1808,1854,1902,1942,1985,2033,2063,2120,2170,2207,2249,2286,2298,2293,2271,2237,2204,2136,2055,1984,1899,1795,1649,1509,1386,1238,1100,982,867,747,615,503,392,296,225,180,150,113,81,54,33,16,6,0,0,,,,,,,,,,,
5,29,83,169,253,351,459,565,647,708,788,863,910,940,976,1005,1016,1019,1058,1087,1120,1162,1222,1284,1330,1379,1433,1476,1513,1560,1586,1622,1650,1685,1728,1764,1826,1884,1929,1980,2016,2049,2085,2121,2165,2210,2261,2292,2339,2384,2430,2437,2432,2434,2350,2231,2082,1919,1734,1539,1378,1224,1026,818,629,454,293,159,84,56,33,16,6,0,0,,,,,,,,,,,,,,,,
5,22,66,140,249,373,504,627,735,793,828,859,872,894,911,950,982,1021,1066,1115,1153,1201,1248,1283,1320,1356,1405,1432,1485,1531,1582,1631,1659,1711,1739,1783,1821,1862,1920,1964,2010,2033,2084,2116,2168,2223,2277,2332,2375,2410,2424,2417,2415,2389,2327,2253,2141,2024,1846,1652,1422,1189,943,701,500,344,233,143,98,69,46,25,14,7,2,0,0,,,,,,,,,,,,,,
5,25,67,136,230,345,457,575,662,719,756,782,814,837,866,904,949,981,1025,1076,1136,1189,1226,1282,1323,1350,1379,1411,1462,1513,1548,1595,1641,1683,1713,1739,1786,1827,1870,1927,1988,2028,2084,2135,2177,2197,2240,2299,2317,2337,2360,2385,2382,2343,2312,2250,2150,2056,1924,1807,1633,1407,1178,936,712,480,312,207,139,82,43,26,9,4,0,0,,,,,,,,,,,,,,,
5,19,70,143,246,381,523,684,794,879,930,929,938,932,948,964,998,1054,1077,1112,1146,1194,1238,1283,1354,1399,1443,1466,1503,1542,1563,1610,1648,1712,1735,1765,1810,1857,1899,1930,1996,2054,2139,2188,2228,2278,2320,2334,2330,2331,2359,2361,2332,2344,2305,2222,2074,1907,1734,1474,1216,991,803,632,473,375,305,239,188,148,117,89,60,41,25,11,3,1,0,0,,,,,,,,,,,
5,22,71,146,240,359,476,597,680,738,794,827,845,868,907,945,975,1007,1061,1097,1132,1168,1210,1265,1303,1343,1380,1418,1463,1488,1533,1575,1603,1638,1682,1734,1768,1820,1877,1930,1976,1998,2056,2077,2121,2160,2196,2252,2304,2342,2386,2396,2389,2361,2296,2235,2121,2010,1873,1725,1532,1351,1172,970,763,577,430,292,174,106,64,32,16,6,1,0,0,,,,,,,,,,,,,,
5,21,70,152,246,338,439,546,625,683,757,828,913,984,1037,1074,1095,1134,1147,1171,1197,1237,1283,1310,1351,1385,1433,1475,1520,1574,1608,1649,1713,1761,1796,1853,1911,1946,1973,2029,2079,2107,2150,2200,2254,2268,2304,2331,2350,2373,2350,2380,2345,2290,2208,2078,1939,1724,1518,1317,1122,948,780,650,543,447,355,281,229,182,136,96,66,43,25,10,3,0,0,,,,,,,,,,,,
5,25,75,166,286,424,573,724,833,893,930,952,959,956,971,1001,1023,1069,1107,1147,1189,1236,1290,1323,1365,1420,1462,1500,1548,1589,1645,1681,1740,1790,1836,1888,1929,1963,1995,2031,2086,2137,2179,2218,2271,2293,2301,2298,2310,2318,2296,2309,2280,2246,2166,2051,1914,1731,1536,1320,1112,923,736,578,451,341,254,187,136,93,57,38,21,12,7,4,1,0,0,,,,,,,,,,,,
5,25,75,158,275,421,558,697,813,897,954,961,977,982,978,981,991,1032,1068,1115,1161,1210,1258,1294,1336,1375,1407,1440,1473,1531,1570,1610,1671,1732,1781,1812,1864,1915,1949,1975,2017,2068,2107,2150,2206,2258,2291,2329,2380,2407,2422,2412,2428,2394,2327,2217,2028,1828,1580,1344,1118,921,784,660,540,418,309,211,131,74,37,21,6,0,0,,,,,,,,,,,,,,,,
5,28,81,180,302,460,602,717,810,853,891,907,923,955,985,1020,1042,1053,1082,1121,1150,1188,1223,1270,1308,1337,1386,1450,1483,1532,1569,1629,1665,1695,1759,1805,1874,1918,1975,2007,2068,2096,2139,2169,2215,2268,2298,2331,2347,2355,2370,2349,2341,2313,2270,2221,2087,1914,1689,1467,1221,974,759,605,464,353,263,191,137,96,65,38,22,10,5,0,0,,,,,,,,,,,,,,
5,32,87,170,291,437,576,702,793,859,884,887,896,902,918,941,977,1032,1065,1113,1152,1210,1250,1276,1341,1380,1422,1471,1519,1553,1590,1631,1683,1719,1765,1813,1847,1899,1950,1978,2018,2074,2126,2150,2190,2243,2276,2294,2314,2338,2320,2294,2265,2219,2099,1968,1857,1721,1582,1452,1318,1170,1004,844,686,514,404,318,240,175,112,74,44,22,9,0,0,,,,,,,,,,,,,,
5,22,67,144,248,364,495,640,762,876,961,1029,1080,1106,1126,1115,1108,1116,1125,1158,1185,1233,1278,1329,1388,1414,1459,1493,1551,1593,1631,1688,1741,1785,1825,1863,1904,1966,1997,2041,2085,2139,2171,2192,2242,2282,2290,2310,2341,2338,2329,2332,2308,2248,2190,2136,2002,1806,1608,1384,1125,860,647,475,338,236,165,103,68,43,25,14,5,2,0,0,,,,,,,,,,,,,,,
5,30,88,161,248,353,466,565,614,656,698,720,744,763,804,849,886,939,975,998,1044,1087,1116,1164,1202,1255,1302,1347,1409,1434,1486,1529,1564,1594,1636,1685,1713,1760,1813,1862,1890,1932,1990,2047,2083,2134,2209,2266,2308,2341,2378,2418,2422,2421,2424,2414,2363,2270,2157,2027,1843,1607,1363,1114,865,624,432,300,203,133,89,60,37,16,6,0,0,,,,,,,,,,,,,,
5,29,77,154,249,367,520,675,825,964,1089,1207,1249,1274,1282,1271,1261,1234,1263,1290,1314,1354,1385,1416,1440,1482,1527,1553,1610,1660,1700,1743,1782,1841,1876,1928,1973,2017,2047,2104,2137,2160,2218,2265,2325,2349,2382,2396,2357,2309,2272,2180,2100,2030,1979,1882,1723,1557,1353,1110,843,617,433,292,182,117,78,42,18,6,1,0,0,,,,,,,,,,,,,,,,,,
5,28,81,149,229,304,382,436,470,499,528,561,588,639,692,736,772,821,875,917,948,997,1034,1075,1101,1145,1198,1226,1290,1328,1390,1433,1471,1525,1558,1595,1645,1665,1705,1739,1787,1833,1868,1930,1998,2047,2084,2138,2176,2215,2242,2280,2322,2346,2391,2365,2313,2263,2173,2078,1927,1817,1687,1538,1423,1267,1081,910,746,582,401,270,193,125,74,44,24,9,3,0,0,,,,,,,,,,
5,25,69,136,222,330,452,544,620,673,722,752,770,811,851,883,920,953,993,1031,1068,1123,1160,1212,1253,1291,1341,1375,1431,1471,1517,1568,1619,1664,1687,1731,1777,1836,1878,1940,1991,2032,2080,2109,2131,2162,2198,2239,2257,2275,2292,2291,2286,2277,2296,2315,2306,2260,2161,1986,1746,1472,1207,949,725,555,420,312,222,157,115,85,59,36,21,12,7,2,0,0,,,,,,,,,,,
5,24,71,130,206,309,414,496,546,593,635,654,672,704,750,787,824,874,917,961,1008,1058,1093,1144,1198,1237,1268,1311,1375,1408,1446,1489,1554,1591,1621,1662,1691,1734,1766,1815,1852,1902,1945,1997,2035,2082,2135,2178,2228,2262,2311,2314,2309,2264,2200,2105,1987,1873,1747,1651,1571,1505,1423,1363,1292,1182,1046,899,750,602,468,351,266,198,148,103,67,46,26,14,8,3,1,0,0,,,,,,
5,32,91,186,314,447,588,694,785,847,869,897,894,936,963,989,1024,1063,1120,1145,1187,1234,1271,1306,1342,1391,1429,1457,1494,1532,1584,1626,1662,1711,1759,1811,1857,1900,1956,1999,2048,2089,2123,2171,2225,2266,2292,2303,2339,2354,2332,2343,2342,2331,2283,2232,2140,1979,1803,1579,1303,1020,780,571,383,254,180,124,75,43,26,13,7,0,0,,,,,,,,,,,,,,,,
5,27,83,158,256,383,522,672,803,930,1041,1119,1173,1191,1180,1173,1171,1177,1192,1212,1259,1290,1316,1348,1397,1433,1474,1519,1560,1615,1642,1695,1739,1782,1825,1855,1910,1954,2011,2054,2105,2139,2177,2244,2267,2315,2345,2383,2382,2341,2312,2251,2162,2054,1946,1826,1692,1528,1359,1183,1007,845,674,528,415,318,240,171,126,97,70,51,32,14,5,0,0,,,,,,,,,,,,,,
5,24,70,141,232,338,463,585,669,755,816,875,912,940,974,991,1026,1059,1094,1118,1167,1227,1254,1285,1321,1373,1420,1433,1497,1545,1604,1637,1680,1739,1759,1804,1825,1883,1914,1972,2026,2052,2117,2153,2203,2221,2265,2316,2331,2349,2355,2344,2304,2230,2131,2025,1883,1728,1565,1414,1272,1121,993,891,771,636,503,383,275,171,106,70,47,34,22,12,4,1,0,0,,,,,,,,,,,
5,23,59,119,210,331,471,623,786,894,972,1022,1045,1038,1015,1041,1065,1082,1112,1143,1184,1211,1261,1308,1343,1391,1428,1468,1486,1546,1601,1658,1690,1733,1776,1821,1855,1892,1947,1991,2028,2055,2113,2139,2188,2249,2312,2342,2343,2374,2371,2309,2238,2163,2058,1911,1718,1552,1362,1168,1012,878,774,666,593,516,448,382,337,296,251,222,188,158,121,96,71,49,31,15,7,0,0,,,,,,,,
5,25,78,149,236,346,458,550,629,685,736,761,790,831,855,904,926,973,997,1031,1086,1118,1175,1212,1275,1325,1357,1395,1426,1457,1495,1550,1573,1593,1660,1720,1768,1794,1864,1931,1963,1985,2024,2061,2106,2150,2200,2261,2275,2285,2278,2262,2230,2166,2128,2099,2033,1956,1850,1772,1675,1538,1370,1186,996,809,613,446,339,262,208,156,120,90,57,34,19,7,2,0,0,,,,,,,,,,
5,27,72,149,254,396,528,640,717,764,792,793,802,812,849,887,921,969,1010,1059,1096,1135,1179,1205,1257,1296,1347,1397,1457,1506,1546,1589,1634,1672,1701,1749,1772,1825,1873,1911,1952,1989,2054,2091,2118,2166,2224,2260,2292,2331,2373,2407,2413,2423,2395,2305,2195,2034,1834,1602,1378,1191,1005,865,743,661,556,455,346,238,155,72,30,4,0,0,,,,,,,,,,,,,,,
5,25,74,160,273,421,590,745,877,960,1021,1052,1066,1072,1089,1122,1154,1185,1210,1251,1275,1314,1361,1397,1433,1468,1510,1546,1569,1622,1656,1703,1770,1835,1873,1915,1970,2019,2048,2076,2131,2168,2219,2287,2329,2353,2373,2384,2357,2306,2274,2227,2177,2096,2041,1950,1817,1637,1411,1193,956,719,513,366,268,187,122,80,49,29,14,5,0,0,,,,,,,,,,,,,,,,,
5,22,61,122,212,298,404,508,600,690,745,809,840,866,904,912,930,967,1010,1053,1086,1142,1194,1232,1270,1321,1362,1391,1437,1458,1506,1548,1591,1637,1679,1733,1790,1818,1855,1897,1927,1969,1993,2050,2106,2125,2159,2184,2193,2197,2186,2204,2214,2223,2239,2215,2168,2094,1976,1832,1659,1479,1294,1106,930,762,616,489,381,292,219,158,100,59,31,13,3,0,0,,,,,,,,,,,,
5,27,78,170,276,401,542,668,765,817,852,874,866,863,873,897,922,955,1008,1054,1090,1130,1199,1233,1268,1312,1361,1404,1426,1470,1504,1555,1592,1636,1693,1743,1797,1842,1895,1931,1969,2012,2059,2100,2133,2178,2216,2261,2308,2341,2384,2415,2420,2382,2308,2196,2035,1852,1651,1471,1283,1130,1008,882,776,674,607,510,405,313,225,149,70,27,6,0,0,,,,,,,,,,,,,,
5,34,73,138,224,323,437,549,669,779,890,988,1072,1121,1165,1192,1179,1181,1189,1211,1228,1248,1305,1351,1381,1426,1477,1521,1565,1600,1644,1691,1739,1779,1798,1850,1887,1929,1959,2037,2090,2121,2199,2221,2266,2274,2320,2343,2350,2359,2364,2360,2338,2318,2221,2112,1917,1701,1468,1217,989,782,627,494,379,289,229,179,137,101,69,44,22,11,4,1,0,0,,,,,,,,,,,,,
5,25,75,151,270,397,532,668,786,861,926,963,997,1013,1022,1069,1084,1131,1172,1223,1269,1301,1334,1354,1396,1444,1493,1528,1571,1620,1660,1679,1728,1803,1843,1887,1916,1970,2003,2022,2081,2122,2175,2229,2270,2323,2339,2366,2417,2430,2445,2448,2438,2413,2329,2194,1989,1749,1484,1210,935,708,531,366,255,162,91,42,14,4,0,0,,,,,,,,,,,,,,,,,,,
5,26,75,145,232,351,475,597,698,788,853,887,919,932,942,953,976,1020,1049,1097,1147,1179,1230,1260,1312,1344,1384,1425,1463,1507,1554,1604,1643,1699,1745,1803,1836,1892,1947,1985,2034,2063,2109,2148,2167,2218,2244,2283,2319,2341,2371,2371,2343,2289,2216,2120,1966,1771,1582,1370,1161,959,812,702,616,564,514,455,399,340,276,212,152,110,74,49,31,16,4,0,0,,,,,,,,,,
5,28,79,172,293,446,623,797,973,1117,1228,1290,1308,1325,1308,1266,1243,1237,1266,1284,1310,1359,1405,1455,1478,1519,1556,1594,1624,1649,1697,1741,1786,1841,1895,1950,1979,2002,2045,2074,2107,2147,2191,2244,2303,2365,2389,2421,2452,2431,2352,2237,2138,1990,1821,1668,1507,1344,1155,943,750,561,396,253,148,97,55,25,10,3,0,0,,,,,,,,,,,,,,,,,,,
5,27,83,160,260,373,514,655,781,892,981,1056,1096,1132,1147,1162,1181,1200,1228,1245,1286,1324,1343,1378,1430,1474,1507,1553,1623,1666,1704,1740,1777,1810,1843,1902,1925,1977,2031,2067,2122,2149,2218,2270,2319,2384,2416,2455,2444,2390,2315,2222,2113,1990,1873,1785,1676,1551,1394,1241,1053,853,660,483,342,213,135,77,43,17,7,2,0,0,,,,,,,,,,,,,,,,,
5,24,63,132,225,355,486,598,710,809,875,904,941,989,1004,1008,1045,1084,1101,1141,1186,1232,1257,1297,1355,1385,1427,1457,1500,1528,1561,1614,1667,1721,1765,1817,1861,1892,1932,1986,2020,2069,2121,2153,2200,2235,2285,2321,2338,2376,2372,2372,2387,2383,2350,2292,2182,2001,1760,1505,1265,996,778,608,470,347,237,165,104,64,36,15,4,0,0,,,,,,,,,,,,,,,,
5,26,81,160,274,404,550,684,783,881,939,984,1003,1023,1045,1045,1080,1113,1146,1182,1221,1272,1290,1333,1389,1427,1473,1521,1558,1589,1619,1671,1716,1742,1810,1863,1909,1943,1988,2029,2052,2099,2134,2187,2230,2291,2346,2365,2402,2407,2400,2392,2358,2317,2256,2162,1999,1772,1539,1285,1022,772,587,451,333,246,174,133,100,69,46,27,16,8,2,0,0,,,,,,,,,,,,,,
5,23,70,138,236,352,482,617,748,882,978,1069,1131,1179,1207,1202,1217,1205,1227,1250,1275,1329,1373,1433,1466,1505,1548,1574,1604,1638,1686,1733,1782,1837,1890,1932,1990,2020,2051,2081,2118,2171,2199,2253,2302,2358,2378,2416,2440,2407,2363,2271,2201,2072,1934,1821,1703,1559,1374,1166,978,773,556,391,255,171,87,44,20,3,1,0,0,,,,,,,,,,,,,,,,,,
5,24,73,146,235,346,473,601,728,824,902,953,977,1000,996,1024,1035,1070,1133,1182,1227,1241,1299,1351,1368,1401,1429,1490,1536,1581,1614,1671,1710,1750,1779,1817,1871,1909,1965,2012,2057,2098,2159,2190,2252,2288,2333,2387,2424,2465,2473,2481,2462,2384,2305,2190,2040,1845,1611,1383,1127,883,661,484,351,244,164,109,71,40,25,11,5,0,0,,,,,,,,,,,,,,,,
5,21,65,125,202,306,421,548,680,816,940,1049,1126,1167,1167,1150,1138,1115,1130,1160,1209,1254,1297,1338,1365,1418,1443,1487,1538,1578,1631,1648,1698,1726,1746,1798,1839,1897,1951,2015,2078,2118,2169,2233,2259,2290,2307,2330,2307,2257,2228,2198,2156,2122,2100,2030,1918,1762,1624,1459,1281,1099,936,773,586,405,250,147,71,29,13,7,1,0,0,,,,,,,,,,,,,,,,
5,26,76,149,248,343,429,510,567,603,625,642,685,729,772,814,851,907,948,993,1027,1086,1126,1177,1210,1243,1296,1325,1354,1393,1441,1471,1500,1539,1601,1649,1706,1752,1795,1851,1889,1912,1942,2006,2048,2072,2118,2178,2224,2269,2312,2343,2375,2407,2420,2348,2262,2135,1964,1748,1539,1387,1229,1117,1014,902,797,680,581,468,374,305,236,182,144,116,85,62,43,29,16,7,1,0,0,,,,,,
5,24,72,141,238,354,481,593,683,746,780,807,822,839,861,880,923,960,997,1039,1079,1138,1183,1218,1263,1314,1347,1368,1403,1430,1460,1502,1555,1604,1665,1724,1776,1806,1842,1894,1910,1971,2006,2054,2089,2134,2189,2214,2259,2286,2305,2275,2240,2212,2154,2089,2008,1931,1827,1687,1530,1352,1190,1047,892,767,670,602,542,448,369,281,202,125,52,19,6,0,0,,,,,,,,,,,,
5,30,77,152,239,337,437,522,596,641,693,733,765,800,835,876,909,941,989,1033,1075,1135,1169,1216,1252,1291,1327,1358,1414,1463,1505,1536,1581,1621,1656,1689,1745,1791,1824,1865,1919,1963,1997,2046,2087,2126,2141,2203,2234,2275,2323,2320,2329,2280,2257,2194,2108,1993,1822,1640,1435,1246,1068,937,840,765,688,606,524,452,382,315,258,222,182,141,110,80,58,33,18,8,2,0,0,,,,,,
5,27,87,164,272,395,525,633,729,804,851,877,896,920,926,946,965,1004,1037,1107,1155,1203,1255,1308,1348,1378,1424,1472,1518,1549,1602,1617,1651,1675,1713,1756,1807,1863,1923,1969,1997,2044,2066,2105,2139,2184,2241,2286,2339,2411,2458,2497,2504,2448,2358,2188,1972,1715,1468,1251,1038,880,761,683,608,537,489,418,349,279,215,164,115,78,51,34,18,6,0,0,,,,,,,,,,,
5,24,73,153,254,392,520,638,708,753,778,770,782,796,839,868,905,954,994,1029,1077,1127,1178,1215,1249,1289,1321,1361,1384,1433,1497,1550,1596,1638,1706,1740,1776,1821,1851,1896,1928,1982,2018,2080,2126,2176,2231,2276,2311,2305,2333,2333,2309,2250,2177,2106,1999,1877,1754,1648,1536,1422,1315,1207,1056,878,706,534,373,232,142,87,54,31,14,4,0,0,,,,,,,,,,,,,
5,25,70,144,249,356,476,558,634,660,687,705,716,749,768,825,863,908,953,999,1048,1095,1116,1156,1204,1248,1294,1347,1391,1455,1479,1538,1588,1612,1670,1708,1758,1796,1835,1894,1931,1967,2013,2049,2112,2168,2221,2248,2295,2321,2371,2388,2416,2424,2391,2354,2243,2090,1936,1780,1615,1459,1288,1126,939,762,610,449,321,243,191,153,109,80,53,33,15,3,1,0,0,,,,,,,,,,
5,24,71,140,242,370,524,684,834,960,1051,1109,1137,1143,1130,1131,1132,1162,1200,1225,1293,1334,1397,1428,1463,1511,1514,1547,1588,1651,1703,1741,1802,1850,1882,1919,1946,2002,2041,2082,2132,2165,2231,2278,2326,2365,2386,2407,2390,2385,2351,2297,2230,2138,2023,1906,1765,1600,1393,1177,957,708,493,317,192,99,46,18,5,2,0,0,,,,,,,,,,,,,,,,,,,
