0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,0,0,10,46,134,294,503,779,1124,1523,1970,2459,2963,3476,4051,4641,5258,5848,6452,7075,7711,8315,8868,9424,9961,10452,10867,11252,11616,11980,12333,12698,13036,13318,13602,13869,14099,14326,14538,14723,14895,15027,15143,15231,15319,15397,15459,15512,15551,15587,15606,15617,15623,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,53,156,317,556,821,1171,1571,2020,2529,3055,3620,4197,4766,5362,5977,6588,7169,7714,8217,8680,9117,9552,9946,10324,10684,11031,11369,11667,11962,12236,12495,12762,13001,13228,13449,13648,13844,14027,14185,14338,14480,14612,14732,14824,14922,15002,15073,15140,15205,15256,15303,15354,15396,15429,15459,15497,15533,15558,15579,15598,15612,15620,15624,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,43,136,297,525,819,1170,1557,2015,2494,3041,3584,4161,4719,5287,5849,6401,6951,7504,8089,8654,9253,9827,10352,10891,11395,11835,12245,12609,12953,13263,13520,13752,13953,14113,14272,14406,14546,14661,14780,14890,14987,15081,15179,15268,15342,15417,15482,15548,15594,15613,15622,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,48,145,300,512,808,1130,1510,1942,2409,2936,3496,4066,4654,5257,5859,6437,7041,7601,8158,8709,9222,9725,10169,10541,10873,11187,11462,11724,11987,12226,12451,12674,12877,13056,13231,13387,13541,13686,13822,13958,14087,14207,14317,14417,14526,14621,14714,14805,14886,14969,15046,15129,15211,15283,15348,15406,15455,15498,15539,15576,15600,15614,15624,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,50,164,330,570,877,1248,1684,2184,2680,3211,3749,4354,4953,5562,6163,6774,7367,7948,8482,8957,9375,9759,10107,10428,10730,11011,11307,11587,11864,12137,12393,12632,12865,13086,13302,13513,13720,13902,14088,14247,14390,14515,14639,14743,14844,14936,15030,15108,15184,15249,15310,15364,15418,15468,15513,15544,15565,15583,15597,15608,15616,15621,15624,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,53,162,340,577,878,1252,1690,2181,2737,3294,3914,4569,5271,5953,6661,7401,8124,8834,9522,10187,10847,11520,12149,12731,13232,13653,14004,14337,14618,14860,15059,15220,15327,15406,15467,15514,15555,15588,15608,15618,15622,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,51,157,308,535,806,1146,1506,1929,2380,2860,3353,3879,4424,5023,5599,6224,6875,7532,8155,8765,9300,9796,10250,10692,11105,11477,11797,12089,12374,12644,12906,13145,13381,13596,13794,13978,14146,14303,14438,14541,14634,14720,14808,14896,14974,15046,15117,15185,15245,15310,15361,15420,15473,15522,15566,15599,15616,15624,15624,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,53,146,292,506,769,1096,1493,1929,2425,2960,3551,4142,4764,5410,6036,6664,7311,7998,8665,9316,9918,10517,11045,11515,11947,12343,12695,12997,13277,13560,13817,14063,14314,14540,14758,14946,15108,15242,15373,15471,15535,15573,15600,15616,15623,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,50,152,312,530,825,1197,1604,2076,2604,3181,3812,4462,5133,5780,6372,6986,7544,8059,8548,9023,9483,9929,10365,10794,11180,11529,11842,12133,12400,12653,12900,13126,13331,13535,13736,13918,14055,14176,14299,14404,14503,14602,14699,14803,14886,14965,15049,15122,15184,15240,15291,15339,15384,15428,15469,15501,15534,15564,15590,15608,15623,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
0,0,0,10,44,146,317,528,813,1149,1568,2014,2533,3077,3659,4272,4914,5552,6196,6885,7602,8241,8857,9456,10022,10609,11145,11649,12125,12547,12936,13309,13650,13978,14254,14476,14677,14833,15009,15172,15308,15428,15499,15533,15561,15581,15594,15609,15620,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625,15625
