CELL;CPU_TIME;WALL_TIME
data_acquisition;674;2840
add_time_detector_head_fpga_col;328;314
identify_events;729000;730000
display_info_after_identify_events;1930;1950
remove_groups_with_less_than_3_hits;50300;50300
remove_groups_with_no_trigger_act;53100;52800
sort_by_time;43400;43400
remove_events_distributed_along_multiple_detectors;189000;189000
remove_groups_with_less_than_3_hits;12100;12100
remove_groups_with_less_than_3_layers_active;29900;29800
remove_groups_with_multiple_hits_on_same_layer;18500;18500
draw_6_events;427;435
remove_groups_not_close;289000;289000
draw_6_events;990;994
assign_time_pedestal_drift_times;54300;54300
remove_groups_with_too_large_drift_times;3400;3410
add_column_col;83.4;70.5
draw_10_events;5480;5480
add_xr_xl_col_remove_others;13.1;13.4
compute_xr_xl;176000;176000
add_y_col;37.4;41.4
solve_ambiguity;108000;109000
add_m_q_col;53000;53100
draw_10_events;5580;5590
check_compatib_with_exp_unc;21400;21500
draw_10_events;853;859
